"date","geography","geography code","Proficiency in English language: Total: All usual residents aged 3 years and over","Proficiency in English language: Main language is English (English or Welsh in Wales)","Proficiency in English language: Main language is not English (English or Welsh in Wales)","Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well","Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well","Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well","Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English"
2021,"Barnet 041","E02000064",6366,4795,1571,748,565,228,30
2021,"Bexley 001","E02000065",7774,6698,1076,499,377,164,36
2021,"Bexley 002","E02000066",9094,7703,1391,542,489,303,57
2021,"Bexley 003","E02000067",9775,8092,1683,676,665,290,52
2021,"Bexley 004","E02000068",7761,6633,1128,499,415,190,24
2021,"Bexley 005","E02000069",6906,6046,860,398,304,132,26
2021,"Bexley 006","E02000070",7849,7017,832,406,297,115,14
2021,"Bexley 007","E02000071",7404,6789,615,274,231,94,16
2021,"Bexley 008","E02000072",12318,10972,1346,670,475,177,24
2021,"Bexley 009","E02000073",10382,9470,912,502,248,143,19
2021,"Bexley 010","E02000074",8526,7769,757,353,274,113,17
2021,"Bexley 011","E02000075",7770,7212,558,328,152,65,13
2021,"Bexley 013","E02000077",7864,6781,1083,534,358,158,33
2021,"Bexley 014","E02000078",7640,7165,475,232,170,61,12
2021,"Bexley 015","E02000079",8459,7509,950,480,318,131,21
2021,"Bexley 016","E02000080",9759,8514,1245,628,421,177,19
2021,"Bexley 017","E02000081",8014,7348,666,341,219,89,17
2021,"Bexley 018","E02000082",9008,8231,777,417,228,111,21
2021,"Bexley 019","E02000083",10839,9831,1008,519,338,132,19
2021,"Bexley 020","E02000084",10756,9977,779,455,205,107,12
2021,"Bexley 021","E02000085",7670,7171,499,229,171,83,16
2021,"Bexley 022","E02000086",6963,6623,340,202,105,28,5
2021,"Bexley 023","E02000087",7942,7551,391,215,127,42,7
2021,"Bexley 024","E02000088",7476,7182,294,180,69,37,8
2021,"Bexley 025","E02000089",7615,7256,359,205,114,31,9
2021,"Bexley 026","E02000090",9342,8709,633,337,213,73,10
2021,"Bexley 027","E02000091",9834,9214,620,356,178,74,12
2021,"Bexley 028","E02000092",6502,6073,429,201,158,60,10
2021,"Brent 001","E02000093",11482,6813,4669,1764,1992,783,130
2021,"Brent 002","E02000094",10044,6576,3468,1380,1348,649,91
2021,"Brent 003","E02000095",10121,5946,4175,1579,1740,723,133
2021,"Brent 004","E02000096",7370,5059,2311,1086,825,344,56
2021,"Brent 005","E02000097",9199,5790,3409,1217,1525,582,85
2021,"Brent 006","E02000098",8497,5637,2860,1217,1057,505,81
2021,"Brent 007","E02000099",9103,5283,3820,1456,1596,649,119
2021,"Brent 008","E02000100",8096,5618,2478,1252,862,311,53
2021,"Brent 009","E02000101",9597,6605,2992,1121,1208,570,93
2021,"Brent 010","E02000102",7936,4890,3046,1016,1158,740,132
2021,"Brent 011","E02000103",9577,6625,2952,1042,1269,550,91
2021,"Brent 012","E02000104",7294,4737,2557,1003,1056,434,64
2021,"Brent 013","E02000105",9467,5675,3792,1493,1539,656,104
2021,"Brent 014","E02000106",9953,5998,3955,1246,1675,857,177
2021,"Brent 015","E02000107",10581,7208,3373,1428,1271,567,107
2021,"Brent 016","E02000108",7008,4191,2817,1103,1134,507,73
2021,"Brent 018","E02000110",7885,5780,2105,917,783,335,70
2021,"Brent 019","E02000111",10857,5889,4968,1749,1955,1012,252
2021,"Brent 020","E02000112",11374,7181,4193,1506,1646,880,161
2021,"Brent 021","E02000113",9359,6893,2466,828,1008,538,92
2021,"Brent 022","E02000114",8712,5902,2810,1198,1028,472,112
2021,"Brent 023","E02000115",8346,6120,2226,1082,735,330,79
2021,"Brent 024","E02000116",8191,5254,2937,989,1136,657,155
2021,"Brent 025","E02000117",12235,8728,3507,1182,1440,775,110
2021,"Brent 026","E02000118",10913,5531,5382,1645,1997,1347,393
2021,"Brent 027","E02000119",10175,7517,2658,1030,1000,537,91
2021,"Brent 028","E02000120",8702,6519,2183,1105,712,323,43
2021,"Brent 029","E02000121",11790,5880,5910,1979,2123,1353,455
2021,"Brent 030","E02000122",7936,6328,1608,812,522,227,47
2021,"Brent 031","E02000123",13102,9158,3944,1392,1589,834,129
2021,"Brent 032","E02000124",9549,7737,1812,985,547,241,39
2021,"Brent 033","E02000125",9563,7770,1793,810,645,281,57
2021,"Brent 034","E02000126",7951,6027,1924,902,706,262,54
2021,"Bromley 001","E02000127",8951,7904,1047,545,339,147,16
2021,"Bromley 002","E02000128",7470,6969,501,305,136,53,7
2021,"Bromley 004","E02000130",8086,7274,812,408,271,117,16
2021,"Bromley 005","E02000131",9935,8577,1358,773,400,162,23
2021,"Bromley 006","E02000132",9424,8266,1158,718,319,104,17
2021,"Bromley 007","E02000133",10414,9890,524,360,112,47,5
2021,"Bromley 008","E02000134",11258,9748,1510,830,480,174,26
2021,"Bromley 009","E02000135",9494,8114,1380,615,517,208,40
2021,"Bromley 010","E02000136",5565,5207,358,204,105,42,7
2021,"Bromley 011","E02000137",8124,7421,703,430,202,60,11
2021,"Bromley 012","E02000138",8241,7484,757,492,209,49,7
2021,"Bromley 013","E02000139",7413,6841,572,301,181,79,11
2021,"Bromley 014","E02000140",8305,7593,712,355,260,83,14
2021,"Bromley 015","E02000141",6913,6245,668,339,219,93,17
2021,"Bromley 016","E02000142",8492,7804,688,427,183,62,16
2021,"Bromley 018","E02000144",9673,8209,1464,918,418,112,16
2021,"Bromley 019","E02000145",8413,7548,865,437,308,103,17
2021,"Bromley 020","E02000146",9304,8564,740,436,215,82,7
2021,"Bromley 021","E02000147",7960,7465,495,323,125,43,4
2021,"Bromley 022","E02000148",6521,6181,340,220,80,38,2
2021,"Bromley 023","E02000149",7857,7248,609,344,178,72,15
2021,"Bromley 024","E02000150",8294,7864,430,261,108,57,4
2021,"Bromley 025","E02000151",7275,6865,410,280,98,26,6
2021,"Bromley 026","E02000152",7665,7055,610,364,164,64,18
2021,"Bromley 027","E02000153",7905,7561,344,242,71,25,6
2021,"Bromley 028","E02000154",8243,7386,857,506,263,78,10
2021,"Bromley 029","E02000155",6928,6430,498,278,148,58,14
2021,"Bromley 030","E02000156",12005,11486,519,266,162,79,12
2021,"Bromley 031","E02000157",8170,7695,475,355,96,23,1
2021,"Bromley 032","E02000158",7508,6902,606,366,189,42,9
2021,"Bromley 033","E02000159",6948,6675,273,156,78,30,9
2021,"Bromley 034","E02000160",7944,7662,282,158,98,21,5
2021,"Bromley 035","E02000161",8468,7728,740,540,155,35,10
2021,"Bromley 036","E02000162",6956,6596,360,225,101,29,5
2021,"Bromley 037","E02000163",7499,7067,432,306,83,36,7
2021,"Bromley 039","E02000165",6938,6783,155,98,40,15,2
2021,"Camden 001","E02000166",7541,6773,768,472,203,81,12
2021,"Camden 002","E02000167",6988,5969,1019,772,179,62,6
2021,"Camden 003","E02000168",7607,6618,989,605,250,109,25
2021,"Camden 004","E02000169",6911,5583,1328,867,325,121,15
2021,"Camden 005","E02000170",7675,6158,1517,920,422,153,22
2021,"Camden 006","E02000171",7195,6075,1120,748,234,116,22
2021,"Camden 007","E02000172",9686,7740,1946,911,607,378,50
2021,"Camden 008","E02000173",7194,5482,1712,1240,357,104,11
2021,"Camden 009","E02000174",7868,6612,1256,729,354,153,20
2021,"Camden 010","E02000175",8787,6917,1870,1171,471,196,32
2021,"Camden 011","E02000176",5704,4530,1174,865,229,72,8
2021,"Camden 012","E02000177",8233,6667,1566,844,418,249,55
2021,"Camden 013","E02000178",8591,6510,2081,1135,593,305,48
2021,"Camden 014","E02000179",5575,4406,1169,726,305,120,18
2021,"Camden 015","E02000180",7680,6149,1531,888,409,197,37
2021,"Camden 016","E02000181",7778,6060,1718,1293,322,90,13
2021,"Camden 017","E02000182",6829,4928,1901,1033,586,253,29
2021,"Camden 018","E02000183",7357,6177,1180,749,293,109,29
2021,"Camden 019","E02000184",8655,6559,2096,1131,638,287,40
2021,"Camden 020","E02000185",8605,6245,2360,1114,818,379,49
2021,"Camden 021","E02000186",6078,4723,1355,868,337,128,22
2021,"Camden 022","E02000187",9495,7128,2367,1080,868,348,71
2021,"Camden 023","E02000188",6975,5124,1851,843,665,293,50
2021,"Camden 026","E02000191",5263,3780,1483,1007,339,121,16
2021,"Camden 027","E02000192",6526,5090,1436,753,418,209,56
2021,"Camden 028","E02000193",5868,4478,1390,890,347,137,16
2021,"Croydon 001","E02000194",8823,7719,1104,542,375,158,29
2021,"Croydon 002","E02000195",9325,7753,1572,721,560,250,41
2021,"Croydon 003","E02000196",7620,5804,1816,735,695,334,52
2021,"Croydon 004","E02000197",8744,6551,2193,861,862,387,83
2021,"Croydon 005","E02000198",8543,6842,1701,608,652,375,66
2021,"Croydon 006","E02000199",8108,6796,1312,547,502,215,48
2021,"Croydon 007","E02000200",8652,7298,1354,645,464,206,39
2021,"Croydon 008","E02000201",8332,7010,1322,534,516,240,32
2021,"Croydon 009","E02000202",8644,6364,2280,823,900,490,67
2021,"Croydon 010","E02000203",7650,5802,1848,725,723,339,61
2021,"Croydon 011","E02000204",9275,6685,2590,1049,1001,461,79
2021,"Croydon 013","E02000206",10289,8273,2016,759,820,382,55
2021,"Croydon 014","E02000207",8583,7573,1010,438,371,172,29
2021,"Croydon 015","E02000208",10269,7605,2664,1116,1007,474,67
2021,"Croydon 016","E02000209",8751,6022,2729,1082,1142,440,65
2021,"Croydon 017","E02000210",8376,7097,1279,555,461,232,31
2021,"Croydon 018","E02000211",8030,7316,714,378,244,84,8
2021,"Croydon 019","E02000212",9057,6492,2565,1013,1046,451,55
2021,"Croydon 020","E02000213",12133,9076,3057,1290,1170,526,71
2021,"Croydon 021","E02000214",6022,5373,649,295,239,92,23
2021,"Croydon 022","E02000215",11210,8707,2503,1130,908,411,54
2021,"Croydon 023","E02000216",6895,5256,1639,1001,434,173,31
2021,"Croydon 024","E02000217",11338,8683,2655,1257,934,400,64
2021,"Croydon 025","E02000218",6469,5801,668,303,258,102,5
2021,"Croydon 026","E02000219",7453,6831,622,340,194,72,16
2021,"Croydon 028","E02000221",10416,8844,1572,736,584,221,31
2021,"Croydon 029","E02000222",8022,6941,1081,579,366,119,17
2021,"Croydon 030","E02000223",8254,7388,866,387,315,152,12
2021,"Croydon 031","E02000224",7666,6562,1104,511,404,158,31
2021,"Croydon 032","E02000225",7270,6622,648,309,234,88,17
2021,"Croydon 033","E02000226",7408,6750,658,394,186,65,13
2021,"Croydon 034","E02000227",11278,10470,808,436,257,101,14
2021,"Croydon 035","E02000228",7721,7251,470,323,107,36,4
2021,"Croydon 036","E02000229",6026,5562,464,244,143,65,12
2021,"Croydon 037","E02000230",10125,8984,1141,620,353,140,28
2021,"Croydon 038","E02000231",7691,6928,763,458,212,80,13
2021,"Croydon 039","E02000232",6038,5731,307,168,90,41,8
2021,"Croydon 040","E02000233",6139,5592,547,309,160,64,14
2021,"Croydon 041","E02000234",9079,8275,804,450,245,90,19
2021,"Croydon 042","E02000235",6672,6247,425,283,105,32,5
2021,"Croydon 043","E02000236",8681,8159,522,353,113,46,10
2021,"Croydon 044","E02000237",7336,7037,299,174,88,30,7
2021,"Ealing 001","E02000238",10322,6711,3611,1418,1509,614,70
2021,"Ealing 002","E02000239",8772,5619,3153,1258,1300,521,74
2021,"Ealing 003","E02000240",10781,7286,3495,1391,1446,564,94
2021,"Ealing 004","E02000241",7128,4731,2397,952,998,389,58
2021,"Ealing 005","E02000242",6690,4027,2663,1040,1067,483,73
2021,"Ealing 006","E02000243",8467,5640,2827,1076,1128,545,78
2021,"Ealing 007","E02000244",7614,4906,2708,1113,1063,446,86
2021,"Ealing 008","E02000245",8819,6147,2672,1106,1064,415,87
2021,"Ealing 009","E02000246",9092,6238,2854,1139,1172,448,95
2021,"Ealing 010","E02000247",10734,7237,3497,1365,1381,613,138
2021,"Ealing 011","E02000248",7388,4602,2786,1223,1048,435,80
2021,"Ealing 012","E02000249",8056,5280,2776,1028,1138,510,100
2021,"Ealing 013","E02000250",6308,5276,1032,589,316,108,19
2021,"Ealing 014","E02000251",8030,5016,3014,1152,1216,549,97
2021,"Ealing 015","E02000252",11896,8076,3820,1822,1381,556,61
2021,"Ealing 016","E02000253",10001,7337,2664,1023,1054,498,89
2021,"Ealing 017","E02000254",8948,4914,4034,1437,1565,854,178
2021,"Ealing 018","E02000255",9555,7518,2037,969,673,349,46
2021,"Ealing 019","E02000256",8893,6754,2139,1079,735,281,44
2021,"Ealing 021","E02000258",6659,4541,2118,766,816,454,82
2021,"Ealing 022","E02000259",6400,4976,1424,586,594,227,17
2021,"Ealing 023","E02000260",9530,5373,4157,1453,1600,943,161
2021,"Ealing 024","E02000261",12193,8347,3846,1786,1427,532,101
2021,"Ealing 025","E02000262",8995,6633,2362,1059,841,406,56
2021,"Ealing 026","E02000263",13254,7362,5892,1966,2319,1362,245
2021,"Ealing 027","E02000264",8271,6057,2214,1107,763,284,60
2021,"Ealing 028","E02000265",10817,8187,2630,1167,912,498,53
2021,"Ealing 029","E02000266",12611,8517,4094,1503,1536,894,161
2021,"Ealing 030","E02000267",7852,6118,1734,759,629,299,47
2021,"Ealing 031","E02000268",8982,7233,1749,935,533,237,44
2021,"Ealing 032","E02000269",7879,6433,1446,776,449,196,25
2021,"Ealing 033","E02000270",9146,6676,2470,1229,814,360,67
2021,"Ealing 034","E02000271",6698,5592,1106,741,260,95,10
2021,"Ealing 035","E02000272",6529,5590,939,486,318,126,9
2021,"Ealing 038","E02000275",7903,4701,3202,1163,1154,694,191
2021,"Ealing 039","E02000276",6487,5190,1297,744,400,135,18
2021,"Enfield 001","E02000277",7249,5796,1453,482,532,376,63
2021,"Enfield 002","E02000278",9108,6941,2167,569,833,625,140
2021,"Enfield 003","E02000279",11784,9024,2760,911,956,763,130
2021,"Enfield 004","E02000280",8296,7463,833,342,295,174,22
2021,"Enfield 005","E02000281",9254,7727,1527,592,556,323,56
2021,"Enfield 006","E02000282",9497,7113,2384,672,905,691,116
2021,"Enfield 007","E02000283",8244,6334,1910,617,757,459,77
2021,"Enfield 008","E02000284",8389,7369,1020,419,362,203,36
2021,"Enfield 009","E02000285",6434,5819,615,250,237,111,17
2021,"Enfield 010","E02000286",8378,7376,1002,449,359,172,22
2021,"Enfield 011","E02000287",7127,6109,1018,430,398,163,27
2021,"Enfield 012","E02000288",12282,8795,3487,951,1396,972,168
2021,"Enfield 013","E02000289",6594,5928,666,312,241,100,13
2021,"Enfield 014","E02000290",6373,4643,1730,523,663,460,84
2021,"Enfield 015","E02000291",9719,7638,2081,752,822,425,82
2021,"Enfield 016","E02000292",9437,7659,1778,634,640,449,55
2021,"Enfield 017","E02000293",6226,5581,645,293,226,101,25
2021,"Enfield 018","E02000294",9078,6599,2479,767,945,659,108
2021,"Enfield 019","E02000295",8387,6842,1545,605,589,309,42
2021,"Enfield 020","E02000296",9979,7216,2763,1115,1047,498,103
2021,"Enfield 021","E02000297",9080,7719,1361,565,497,253,46
2021,"Enfield 022","E02000298",7989,7165,824,357,305,151,11
2021,"Enfield 023","E02000299",9144,6071,3073,879,1205,823,166
2021,"Enfield 024","E02000300",8443,5772,2671,784,1108,668,111
2021,"Enfield 025","E02000301",9844,6804,3040,858,1214,838,130
2021,"Enfield 026","E02000302",8391,6483,1908,657,783,395,73
2021,"Enfield 027","E02000303",8051,5563,2488,712,929,721,126
2021,"Enfield 028","E02000304",7790,6578,1212,570,401,207,34
2021,"Enfield 029","E02000305",8541,6387,2154,895,802,395,62
2021,"Enfield 030","E02000306",8761,5863,2898,818,1073,842,165
2021,"Enfield 031","E02000307",9767,6790,2977,858,1182,808,129
2021,"Enfield 032","E02000308",8457,6044,2413,955,904,490,64
2021,"Enfield 033","E02000309",11299,7480,3819,1120,1480,1035,184
2021,"Enfield 035","E02000311",10166,6661,3505,1261,1318,814,112
2021,"Enfield 036","E02000312",10831,7409,3422,1359,1331,642,90
2021,"Greenwich 001","E02000313",6226,5372,854,387,315,137,15
2021,"Greenwich 002","E02000314",13509,11089,2420,1106,819,424,71
2021,"Greenwich 003","E02000315",9423,7838,1585,661,620,272,32
2021,"Greenwich 005","E02000317",7262,5711,1551,593,552,350,56
2021,"Greenwich 006","E02000318",10559,6602,3957,1303,1684,739,231
2021,"Greenwich 007","E02000319",10166,7549,2617,1012,1025,475,105
2021,"Greenwich 008","E02000320",6785,5434,1351,517,562,225,47
2021,"Greenwich 009","E02000321",7419,5855,1564,572,630,294,68
2021,"Greenwich 011","E02000323",12315,8925,3390,1363,1230,656,141
2021,"Greenwich 012","E02000324",7564,6254,1310,598,448,221,43
2021,"Greenwich 014","E02000326",7530,6318,1212,618,371,184,39
2021,"Greenwich 015","E02000327",6330,5276,1054,423,377,213,41
2021,"Greenwich 016","E02000328",6312,5608,704,443,173,69,19
2021,"Greenwich 017","E02000329",6074,5086,988,430,359,171,28
2021,"Greenwich 019","E02000331",7897,6432,1465,644,524,250,47
2021,"Greenwich 020","E02000332",7159,6211,948,459,299,165,25
2021,"Greenwich 021","E02000333",6042,5367,675,451,135,77,12
2021,"Greenwich 022","E02000334",6385,5411,974,489,325,137,23
2021,"Greenwich 023","E02000335",6403,5824,579,311,165,81,22
2021,"Greenwich 025","E02000337",8194,7004,1190,571,404,191,24
2021,"Greenwich 027","E02000339",6079,5501,578,271,186,102,19
2021,"Greenwich 028","E02000340",6616,5771,845,400,274,144,27
2021,"Greenwich 029","E02000341",7685,6744,941,401,340,174,26
2021,"Greenwich 030","E02000342",6126,5383,743,415,245,64,19
2021,"Greenwich 031","E02000343",6808,5931,877,438,285,123,31
2021,"Greenwich 032","E02000344",6193,5650,543,288,181,64,10
2021,"Hackney 001","E02000345",7613,5881,1732,538,708,420,66
2021,"Hackney 002","E02000346",8965,6553,2412,1082,778,460,92
2021,"Hackney 003","E02000347",7598,5903,1695,522,659,420,94
2021,"Hackney 004","E02000348",7549,5739,1810,546,619,526,119
2021,"Hackney 006","E02000350",9793,7686,2107,873,689,452,93
2021,"Hackney 007","E02000351",8935,7172,1763,902,525,282,54
2021,"Hackney 008","E02000352",6445,5363,1082,428,368,249,37
2021,"Hackney 009","E02000353",7515,6423,1092,552,290,215,35
2021,"Hackney 010","E02000354",9343,7453,1890,763,571,476,80
2021,"Hackney 011","E02000355",7891,6676,1215,599,354,219,43
2021,"Hackney 012","E02000356",6808,5888,920,498,234,163,25
2021,"Hackney 013","E02000357",6614,5396,1218,469,385,304,60
2021,"Hackney 014","E02000358",10778,8598,2180,1011,647,429,93
2021,"Hackney 015","E02000359",6402,5348,1054,493,314,192,55
2021,"Hackney 016","E02000360",11118,8885,2233,958,689,508,78
2021,"Hackney 017","E02000361",7826,6283,1543,792,418,286,47
2021,"Hackney 018","E02000362",6764,5776,988,442,315,198,33
2021,"Hackney 019","E02000363",11437,9157,2280,923,709,531,117
2021,"Hackney 020","E02000364",8947,7649,1298,700,313,226,59
2021,"Hackney 022","E02000366",8084,6983,1101,526,304,234,37
2021,"Hackney 023","E02000367",10139,8467,1672,1001,373,252,46
2021,"Hackney 024","E02000368",9625,7629,1996,904,564,433,95
2021,"Hackney 025","E02000369",13011,10296,2715,1441,706,487,81
2021,"Hackney 026","E02000370",8607,6547,2060,1148,555,325,32
2021,"Hammersmith and Fulham 001","E02000372",9707,7130,2577,1224,969,330,54
2021,"Hammersmith and Fulham 002","E02000373",6807,5140,1667,728,640,259,40
2021,"Hammersmith and Fulham 003","E02000374",6689,5223,1466,773,505,173,15
2021,"Hammersmith and Fulham 004","E02000375",7244,5478,1766,951,601,192,22
2021,"Hammersmith and Fulham 005","E02000376",6521,4882,1639,917,520,163,39
2021,"Hammersmith and Fulham 006","E02000377",7540,5974,1566,844,549,164,9
2021,"Hammersmith and Fulham 007","E02000378",6264,4641,1623,986,451,163,23
2021,"Hammersmith and Fulham 008","E02000379",7137,5817,1320,786,365,146,23
2021,"Hammersmith and Fulham 009","E02000380",5326,4425,901,576,229,82,14
2021,"Hammersmith and Fulham 010","E02000381",7388,5755,1633,1100,372,145,16
2021,"Hammersmith and Fulham 011","E02000382",6012,4773,1239,722,356,131,30
2021,"Hammersmith and Fulham 012","E02000383",8267,6087,2180,1403,567,180,30
2021,"Hammersmith and Fulham 013","E02000384",8070,6023,2047,1173,625,226,23
2021,"Hammersmith and Fulham 014","E02000385",5475,4320,1155,763,305,77,10
2021,"Hammersmith and Fulham 015","E02000386",7387,5667,1720,878,589,227,26
2021,"Hammersmith and Fulham 016","E02000387",5870,4576,1294,796,382,100,16
2021,"Hammersmith and Fulham 017","E02000388",8422,6660,1762,1196,428,117,21
2021,"Hammersmith and Fulham 018","E02000389",8394,6748,1646,1096,388,145,17
2021,"Hammersmith and Fulham 019","E02000390",5980,4852,1128,689,300,124,15
2021,"Hammersmith and Fulham 020","E02000391",7343,6101,1242,868,268,91,15
2021,"Hammersmith and Fulham 021","E02000392",8951,7400,1551,999,399,132,21
2021,"Hammersmith and Fulham 022","E02000393",5736,4780,956,713,193,45,5
2021,"Hammersmith and Fulham 023","E02000394",8922,7176,1746,1103,471,157,15
2021,"Hammersmith and Fulham 024","E02000395",5520,4642,878,612,202,50,14
2021,"Hammersmith and Fulham 025","E02000396",6666,5396,1270,819,301,122,28
2021,"Haringey 001","E02000397",7647,4947,2700,1087,973,553,87
2021,"Haringey 002","E02000398",7243,4740,2503,697,946,729,131
2021,"Haringey 004","E02000400",7745,5879,1866,779,653,374,60
2021,"Haringey 005","E02000401",6691,4736,1955,585,710,566,94
2021,"Haringey 006","E02000402",6261,4347,1914,510,708,570,126
2021,"Haringey 007","E02000403",7183,4425,2758,993,1110,568,87
2021,"Haringey 008","E02000404",6925,4220,2705,829,1080,681,115
2021,"Haringey 009","E02000405",6259,5626,633,349,191,77,16
2021,"Haringey 010","E02000406",6525,4286,2239,757,837,562,83
2021,"Haringey 011","E02000407",7358,4723,2635,733,1002,733,167
2021,"Haringey 012","E02000408",7950,5148,2802,868,1104,705,125
2021,"Haringey 013","E02000409",5863,4033,1830,594,670,484,82
2021,"Haringey 014","E02000410",6224,5359,865,546,225,77,17
2021,"Haringey 015","E02000411",10967,7325,3642,1287,1430,769,156
2021,"Haringey 016","E02000412",7129,4657,2472,849,1001,547,75
2021,"Haringey 017","E02000413",7511,6488,1023,615,258,131,19
2021,"Haringey 018","E02000414",6803,4483,2320,809,934,507,70
2021,"Haringey 019","E02000415",6997,4481,2516,904,980,522,110
2021,"Haringey 020","E02000416",8154,6623,1531,758,456,270,47
2021,"Haringey 021","E02000417",6382,5551,831,530,194,86,21
2021,"Haringey 022","E02000418",5288,4820,468,266,110,67,25
2021,"Haringey 023","E02000419",8438,5497,2941,1167,968,666,140
2021,"Haringey 024","E02000420",7723,5100,2623,809,1075,617,122
2021,"Haringey 025","E02000421",8186,5311,2875,897,948,840,190
2021,"Haringey 026","E02000422",7153,4737,2416,735,921,649,111
2021,"Haringey 027","E02000423",6707,4470,2237,844,722,539,132
2021,"Haringey 028","E02000424",6544,5741,803,444,206,131,22
