"date","geography","geography code","UK armed forces veteran indicator: Total: All usual residents","UK armed forces veteran indicator: Previously served in UK armed forces","UK armed forces veteran indicator: Previously served in UK reserve armed forces","UK armed forces veteran indicator: Previously served in both regular and reserve UK armed forces","UK armed forces veteran indicator: Has not previously served in any UK armed forces"
2021,"Croydon 004","E02000197",7316,42,23,5,7246
2021,"Croydon 005","E02000198",7017,44,36,4,6933
2021,"Croydon 006","E02000199",6748,53,27,1,6667
2021,"Croydon 007","E02000200",7354,62,28,6,7258
2021,"Croydon 008","E02000201",6783,67,28,2,6686
2021,"Croydon 009","E02000202",7140,44,26,4,7066
2021,"Croydon 010","E02000203",6293,38,20,1,6234
2021,"Croydon 011","E02000204",7612,31,29,3,7549
2021,"Croydon 013","E02000206",8346,60,29,4,8253
2021,"Croydon 014","E02000207",7212,41,35,5,7131
2021,"Croydon 015","E02000208",8128,34,31,2,8061
2021,"Croydon 016","E02000209",7001,35,25,4,6937
2021,"Croydon 017","E02000210",6942,67,29,5,6841
2021,"Croydon 018","E02000211",6829,126,46,13,6644
2021,"Croydon 019","E02000212",7203,42,11,1,7149
2021,"Croydon 020","E02000213",9888,62,34,2,9790
2021,"Croydon 021","E02000214",5086,64,23,5,4994
2021,"Croydon 022","E02000215",9620,98,61,2,9459
2021,"Croydon 023","E02000216",5751,68,34,4,5645
2021,"Croydon 024","E02000217",9314,80,52,2,9180
2021,"Croydon 025","E02000218",5127,71,30,4,5022
2021,"Croydon 026","E02000219",6509,111,35,12,6351
2021,"Croydon 028","E02000221",8358,87,58,1,8212
2021,"Croydon 029","E02000222",6727,88,35,1,6603
2021,"Croydon 030","E02000223",6016,61,25,6,5924
2021,"Croydon 031","E02000224",6406,58,30,5,6313
2021,"Croydon 032","E02000225",5826,77,38,2,5709
2021,"Croydon 033","E02000226",6283,115,49,6,6113
2021,"Croydon 034","E02000227",9378,152,60,16,9150
2021,"Croydon 035","E02000228",6396,132,64,9,6191
2021,"Croydon 036","E02000229",4729,75,25,0,4629
2021,"Croydon 037","E02000230",8574,117,45,9,8403
2021,"Croydon 038","E02000231",6543,82,36,3,6422
2021,"Croydon 039","E02000232",5071,118,37,7,4909
2021,"Croydon 040","E02000233",4998,83,27,8,4880
2021,"Croydon 041","E02000234",7421,121,45,3,7252
2021,"Croydon 042","E02000235",5608,104,45,7,5452
2021,"Croydon 043","E02000236",7067,87,49,9,6922
2021,"Croydon 044","E02000237",6124,142,51,10,5921
2021,"Ealing 001","E02000238",8610,82,29,4,8495
2021,"Ealing 002","E02000239",7455,61,14,3,7377
2021,"Ealing 003","E02000240",8733,149,32,4,8548
2021,"Ealing 004","E02000241",5909,97,25,4,5783
2021,"Ealing 005","E02000242",5643,32,9,1,5601
2021,"Ealing 006","E02000243",7115,60,33,9,7013
2021,"Ealing 007","E02000244",6385,43,14,2,6326
2021,"Ealing 008","E02000245",6941,63,24,4,6850
2021,"Ealing 009","E02000246",7193,81,25,7,7080
2021,"Ealing 010","E02000247",8649,108,32,7,8502
2021,"Ealing 011","E02000248",6141,33,22,2,6084
2021,"Ealing 012","E02000249",6682,57,22,3,6600
2021,"Ealing 013","E02000250",5210,50,30,1,5129
2021,"Ealing 014","E02000251",6645,39,14,2,6590
2021,"Ealing 015","E02000252",10461,73,24,0,10364
2021,"Ealing 016","E02000253",8046,56,31,5,7954
2021,"Ealing 017","E02000254",7495,39,16,2,7438
2021,"Ealing 018","E02000255",7877,44,29,5,7799
2021,"Ealing 019","E02000256",7779,49,34,3,7693
2021,"Ealing 021","E02000258",5484,46,23,3,5412
2021,"Ealing 022","E02000259",5160,31,30,2,5097
2021,"Ealing 023","E02000260",7834,16,12,3,7803
2021,"Ealing 024","E02000261",10371,46,30,2,10293
2021,"Ealing 025","E02000262",7600,34,43,3,7520
2021,"Ealing 026","E02000263",10847,18,24,1,10804
2021,"Ealing 027","E02000264",7290,59,40,2,7189
2021,"Ealing 028","E02000265",9084,51,28,4,9001
2021,"Ealing 029","E02000266",10326,59,32,1,10234
2021,"Ealing 030","E02000267",6421,46,26,4,6345
2021,"Ealing 031","E02000268",7795,93,50,6,7646
2021,"Ealing 032","E02000269",6593,53,25,5,6510
2021,"Ealing 033","E02000270",7770,37,46,7,7680
2021,"Ealing 034","E02000271",5635,43,35,5,5552
2021,"Ealing 035","E02000272",5361,53,9,2,5297
2021,"Ealing 038","E02000275",6561,25,11,1,6524
2021,"Ealing 039","E02000276",5424,51,30,3,5340
2021,"Enfield 001","E02000277",5725,65,20,0,5640
2021,"Enfield 002","E02000278",7154,46,22,7,7079
2021,"Enfield 003","E02000279",9079,63,35,3,8978
2021,"Enfield 004","E02000280",6738,92,33,4,6609
2021,"Enfield 005","E02000281",7378,68,32,4,7274
2021,"Enfield 006","E02000282",7161,59,29,1,7072
2021,"Enfield 007","E02000283",6497,39,35,4,6419
2021,"Enfield 008","E02000284",6916,72,40,5,6799
2021,"Enfield 009","E02000285",5374,87,34,2,5251
2021,"Enfield 010","E02000286",7074,132,41,9,6892
2021,"Enfield 011","E02000287",6019,72,25,2,5920
2021,"Enfield 012","E02000288",9489,55,34,4,9396
2021,"Enfield 013","E02000289",5470,79,28,4,5359
2021,"Enfield 014","E02000290",4853,16,17,2,4818
2021,"Enfield 015","E02000291",8045,108,43,3,7891
2021,"Enfield 016","E02000292",7613,66,32,1,7514
2021,"Enfield 017","E02000293",5224,76,38,7,5103
2021,"Enfield 018","E02000294",7190,51,18,1,7120
2021,"Enfield 019","E02000295",6893,72,30,4,6787
2021,"Enfield 020","E02000296",8267,68,35,6,8158
2021,"Enfield 021","E02000297",7729,93,34,6,7596
2021,"Enfield 022","E02000298",6674,61,31,7,6575
2021,"Enfield 023","E02000299",7142,31,27,2,7082
2021,"Enfield 024","E02000300",6741,48,22,3,6668
2021,"Enfield 025","E02000301",7750,40,31,0,7679
2021,"Enfield 026","E02000302",6996,58,26,10,6902
2021,"Enfield 027","E02000303",6473,39,19,10,6405
2021,"Enfield 028","E02000304",6550,74,23,2,6451
2021,"Enfield 029","E02000305",7312,55,20,5,7232
2021,"Enfield 030","E02000306",6843,27,24,3,6789
2021,"Enfield 031","E02000307",7819,35,20,3,7761
2021,"Enfield 032","E02000308",7049,46,26,7,6970
2021,"Enfield 033","E02000309",8797,44,29,4,8720
2021,"Enfield 035","E02000311",8511,36,28,0,8447
2021,"Enfield 036","E02000312",9318,47,29,5,9237
2021,"Greenwich 001","E02000313",4863,61,19,3,4780
2021,"Greenwich 002","E02000314",10650,119,42,3,10486
2021,"Greenwich 003","E02000315",7288,86,25,4,7173
2021,"Greenwich 005","E02000317",5789,54,22,2,5711
2021,"Greenwich 006","E02000318",8718,304,25,16,8373
2021,"Greenwich 007","E02000319",8331,158,34,1,8138
2021,"Greenwich 008","E02000320",5480,75,18,3,5384
2021,"Greenwich 009","E02000321",5982,90,25,0,5867
2021,"Greenwich 011","E02000323",9962,151,45,4,9762
2021,"Greenwich 012","E02000324",6121,88,26,4,6003
2021,"Greenwich 014","E02000326",6275,65,26,5,6179
2021,"Greenwich 015","E02000327",5131,65,24,4,5038
2021,"Greenwich 016","E02000328",5354,70,36,2,5246
2021,"Greenwich 017","E02000329",5032,83,20,7,4922
2021,"Greenwich 019","E02000331",6480,92,27,2,6359
2021,"Greenwich 020","E02000332",5928,95,37,7,5789
2021,"Greenwich 021","E02000333",5123,92,52,7,4972
2021,"Greenwich 022","E02000334",5322,67,29,2,5224
2021,"Greenwich 023","E02000335",5286,91,44,10,5141
2021,"Greenwich 025","E02000337",6646,100,35,4,6507
2021,"Greenwich 027","E02000339",5083,100,26,5,4952
2021,"Greenwich 028","E02000340",5610,94,46,5,5465
2021,"Greenwich 029","E02000341",6045,76,35,6,5928
2021,"Greenwich 030","E02000342",5106,60,32,2,5012
2021,"Greenwich 031","E02000343",5606,91,33,4,5478
2021,"Greenwich 032","E02000344",5172,92,38,7,5035
2021,"Hackney 001","E02000345",5363,16,7,1,5339
2021,"Hackney 002","E02000346",7516,31,25,11,7449
2021,"Hackney 003","E02000347",5504,25,27,1,5451
2021,"Hackney 004","E02000348",5398,16,11,1,5370
2021,"Hackney 006","E02000350",8130,33,32,1,8064
2021,"Hackney 007","E02000351",7940,29,25,3,7883
2021,"Hackney 008","E02000352",5263,26,17,0,5220
2021,"Hackney 009","E02000353",6483,32,18,1,6432
2021,"Hackney 010","E02000354",8005,26,39,3,7937
2021,"Hackney 011","E02000355",6789,30,29,3,6727
2021,"Hackney 012","E02000356",5903,19,13,2,5869
2021,"Hackney 013","E02000357",5384,30,22,0,5332
2021,"Hackney 014","E02000358",9405,42,32,3,9328
2021,"Hackney 015","E02000359",5388,18,25,0,5345
2021,"Hackney 016","E02000360",9217,35,43,2,9137
2021,"Hackney 017","E02000361",6870,23,17,0,6830
2021,"Hackney 018","E02000362",5814,23,21,2,5768
2021,"Hackney 019","E02000363",9160,42,23,2,9093
2021,"Hackney 020","E02000364",7784,41,23,1,7719
2021,"Hackney 022","E02000366",6857,47,18,3,6789
2021,"Hackney 023","E02000367",8900,42,36,2,8820
2021,"Hackney 024","E02000368",8182,31,28,2,8121
2021,"Hackney 025","E02000369",11252,56,21,5,11170
2021,"Hackney 026","E02000370",7453,28,29,4,7392
2021,"Hammersmith and Fulham 001","E02000372",8509,53,40,7,8409
2021,"Hammersmith and Fulham 002","E02000373",5462,19,22,2,5419
2021,"Hammersmith and Fulham 003","E02000374",5627,38,32,3,5554
2021,"Hammersmith and Fulham 004","E02000375",6301,42,30,6,6223
2021,"Hammersmith and Fulham 005","E02000376",5833,27,26,1,5779
2021,"Hammersmith and Fulham 006","E02000377",6581,52,23,3,6503
2021,"Hammersmith and Fulham 007","E02000378",5579,38,31,1,5509
2021,"Hammersmith and Fulham 008","E02000379",5968,50,37,3,5878
2021,"Hammersmith and Fulham 009","E02000380",4569,41,29,3,4496
2021,"Hammersmith and Fulham 010","E02000381",6312,58,41,5,6208
2021,"Hammersmith and Fulham 011","E02000382",5258,44,25,4,5185
2021,"Hammersmith and Fulham 012","E02000383",7529,79,26,5,7419
2021,"Hammersmith and Fulham 013","E02000384",7137,47,29,2,7059
2021,"Hammersmith and Fulham 014","E02000385",5101,32,32,2,5035
2021,"Hammersmith and Fulham 015","E02000386",6445,48,34,3,6360
2021,"Hammersmith and Fulham 016","E02000387",5220,42,23,2,5153
2021,"Hammersmith and Fulham 017","E02000388",7591,61,57,2,7471
2021,"Hammersmith and Fulham 018","E02000389",7311,71,52,6,7182
2021,"Hammersmith and Fulham 019","E02000390",5290,48,34,2,5206
2021,"Hammersmith and Fulham 020","E02000391",6256,132,37,12,6075
2021,"Hammersmith and Fulham 021","E02000392",7692,56,45,5,7586
2021,"Hammersmith and Fulham 022","E02000393",4984,51,25,0,4908
2021,"Hammersmith and Fulham 023","E02000394",7722,60,31,3,7628
2021,"Hammersmith and Fulham 024","E02000395",4876,68,40,5,4763
2021,"Hammersmith and Fulham 025","E02000396",5474,48,29,2,5395
2021,"Haringey 001","E02000397",6541,38,25,3,6475
2021,"Haringey 002","E02000398",5924,21,18,0,5885
2021,"Haringey 004","E02000400",6356,34,25,0,6297
2021,"Haringey 005","E02000401",5607,33,17,0,5557
2021,"Haringey 006","E02000402",5192,26,13,4,5149
2021,"Haringey 007","E02000403",6218,26,22,1,6169
2021,"Haringey 008","E02000404",5903,29,11,1,5862
2021,"Haringey 009","E02000405",4983,27,15,2,4939
2021,"Haringey 010","E02000406",5743,22,19,1,5701
2021,"Haringey 011","E02000407",6172,37,13,1,6121
2021,"Haringey 012","E02000408",6477,27,26,3,6421
2021,"Haringey 013","E02000409",5012,17,14,0,4981
2021,"Haringey 014","E02000410",5194,31,15,1,5147
2021,"Haringey 015","E02000411",9370,22,18,2,9328
2021,"Haringey 016","E02000412",6304,26,14,0,6264
2021,"Haringey 017","E02000413",6039,42,30,1,5966
2021,"Haringey 018","E02000414",5844,18,15,0,5811
2021,"Haringey 019","E02000415",6065,21,18,1,6025
2021,"Haringey 020","E02000416",7085,40,24,0,7021
2021,"Haringey 021","E02000417",5443,40,22,5,5376
2021,"Haringey 022","E02000418",4447,30,23,0,4394
2021,"Haringey 023","E02000419",7401,32,21,0,7348
2021,"Haringey 024","E02000420",6757,34,32,3,6688
2021,"Haringey 025","E02000421",7078,25,23,1,7029
2021,"Haringey 026","E02000422",6024,25,21,0,5978
2021,"Haringey 027","E02000423",5952,21,27,3,5901
2021,"Haringey 028","E02000424",5651,20,24,3,5604
2021,"Haringey 029","E02000425",5117,27,19,1,5070
2021,"Haringey 030","E02000426",5323,48,24,5,5246
2021,"Haringey 031","E02000427",5780,31,18,2,5729
2021,"Haringey 032","E02000428",6847,13,24,0,6810
2021,"Haringey 033","E02000429",5621,39,22,2,5558
2021,"Haringey 034","E02000430",5826,26,23,0,5777
2021,"Haringey 035","E02000431",5085,38,20,1,5026
2021,"Haringey 036","E02000432",5340,18,25,4,5293
2021,"Harrow 001","E02000433",7180,107,29,6,7038
2021,"Harrow 002","E02000434",8108,52,28,0,8028
2021,"Harrow 003","E02000435",6575,77,24,2,6472
2021,"Harrow 004","E02000436",4822,65,26,2,4729
2021,"Harrow 005","E02000437",7064,90,31,6,6937
2021,"Harrow 006","E02000438",6699,104,40,4,6551
2021,"Harrow 007","E02000439",7347,41,27,7,7272
2021,"Harrow 008","E02000440",7698,53,28,2,7615
2021,"Harrow 009","E02000441",5983,63,27,5,5888
2021,"Harrow 010","E02000442",7698,33,18,1,7646
2021,"Harrow 011","E02000443",8385,83,22,3,8277
2021,"Harrow 012","E02000444",6907,33,16,1,6857
2021,"Harrow 013","E02000445",9150,55,47,1,9047
2021,"Harrow 015","E02000447",6476,47,21,1,6407
2021,"Harrow 016","E02000448",5648,85,38,4,5521
2021,"Harrow 017","E02000449",6809,44,18,1,6746
2021,"Harrow 019","E02000451",5478,57,31,2,5388
2021,"Harrow 020","E02000452",7530,38,28,4,7460
2021,"Harrow 021","E02000453",6694,42,28,2,6622
2021,"Harrow 022","E02000454",5731,67,34,8,5622
2021,"Harrow 023","E02000455",9517,52,46,1,9418
2021,"Harrow 024","E02000456",6400,44,28,7,6321
2021,"Harrow 025","E02000457",5778,53,26,5,5694
2021,"Harrow 027","E02000459",7344,71,17,3,7253
2021,"Harrow 028","E02000460",5673,35,17,0,5621
2021,"Harrow 029","E02000461",5816,47,27,2,5740
2021,"Harrow 030","E02000462",5647,108,17,2,5520
2021,"Harrow 031","E02000463",6937,55,23,1,6858
2021,"Havering 001","E02000464",6065,124,44,8,5889
2021,"Havering 002","E02000465",7117,99,28,2,6988
2021,"Havering 003","E02000466",7133,108,46,10,6969
2021,"Havering 004","E02000467",8363,107,50,5,8201
2021,"Havering 005","E02000468",6808,111,37,5,6655
2021,"Havering 006","E02000469",5586,97,30,4,5455
2021,"Havering 007","E02000470",8048,149,50,5,7844
2021,"Havering 008","E02000471",6491,142,37,3,6309
2021,"Havering 009","E02000472",7569,129,50,3,7387
2021,"Havering 010","E02000473",8381,147,55,8,8171
2021,"Havering 011","E02000474",7204,112,50,8,7034
2021,"Havering 012","E02000475",7904,135,34,10,7725
2021,"Havering 013","E02000476",7553,95,46,4,7408
2021,"Havering 014","E02000477",7887,143,48,5,7691
2021,"Havering 015","E02000478",5090,89,26,3,4972
2021,"Havering 016","E02000479",7503,82,36,9,7376
2021,"Havering 017","E02000480",10613,118,50,5,10440
2021,"Havering 018","E02000481",6659,186,45,7,6421
2021,"Havering 019","E02000482",5410,135,41,6,5228
2021,"Havering 020","E02000483",6641,125,41,13,6462
2021,"Havering 021","E02000484",7003,123,39,7,6834
2021,"Havering 022","E02000485",6885,128,35,13,6709
2021,"Havering 023","E02000486",6168,126,47,7,5988
2021,"Havering 024","E02000487",6598,113,41,6,6438
2021,"Havering 025","E02000488",6343,126,42,2,6173
2021,"Havering 026","E02000489",6867,126,35,4,6702
2021,"Havering 027","E02000490",6778,137,39,8,6594
2021,"Havering 028","E02000491",8249,126,53,11,8059
2021,"Havering 029","E02000492",5627,134,36,1,5456
2021,"Havering 030","E02000493",5181,73,29,0,5079
2021,"Hillingdon 001","E02000494",6590,112,34,7,6437
2021,"Hillingdon 002","E02000495",8386,111,53,9,8213
2021,"Hillingdon 003","E02000496",6384,159,48,14,6163
2021,"Hillingdon 004","E02000497",7606,140,46,11,7409
2021,"Hillingdon 005","E02000498",5178,103,34,5,5036
2021,"Hillingdon 006","E02000499",6368,116,36,10,6206
2021,"Hillingdon 007","E02000500",6921,142,50,8,6721
2021,"Hillingdon 008","E02000501",6808,127,51,4,6626
2021,"Hillingdon 009","E02000502",7029,139,44,4,6842
2021,"Hillingdon 010","E02000503",6953,106,46,6,6795
2021,"Hillingdon 011","E02000504",6152,147,28,8,5969
2021,"Hillingdon 013","E02000506",6582,142,41,4,6395
2021,"Hillingdon 014","E02000507",6402,94,34,3,6271
2021,"Hillingdon 015","E02000508",9804,112,44,5,9643
2021,"Hillingdon 016","E02000509",8854,78,36,3,8737
