"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
2021,"Barnet 032","E02000055",11725,5451,3103,1234,1037,900
2021,"Barnet 033","E02000056",9130,5717,2196,511,400,306
2021,"Barnet 034","E02000057",8013,4566,1778,736,569,364
2021,"Barnet 035","E02000058",10227,5882,2634,774,558,379
2021,"Barnet 036","E02000059",11626,4861,3832,1494,876,563
2021,"Barnet 037","E02000060",11559,6800,2737,867,730,425
2021,"Barnet 038","E02000061",8345,3998,2389,737,655,566
2021,"Barnet 039","E02000062",6958,3242,2376,627,436,277
2021,"Barnet 040","E02000063",7584,3252,2681,800,516,335
2021,"Barnet 041","E02000064",6674,3466,1919,542,476,271
2021,"Barnet 042","E02006953",9169,3382,2417,1239,1041,1090
2021,"Barnet 043","E02006954",10113,4192,3378,1154,793,596
2021,"Bexley 001","E02000065",8062,4434,2432,585,347,264
2021,"Bexley 002","E02000066",9430,5712,2674,548,287,209
2021,"Bexley 003","E02000067",10228,6673,2129,761,394,271
2021,"Bexley 004","E02000068",8176,5523,1801,405,240,207
2021,"Bexley 005","E02000069",7213,5270,1323,357,148,115
2021,"Bexley 006","E02000070",8111,6493,1146,249,135,88
2021,"Bexley 007","E02000071",7672,6364,965,176,104,63
2021,"Bexley 008","E02000072",12924,9022,2732,628,329,213
2021,"Bexley 009","E02000073",10726,8813,1489,232,116,76
2021,"Bexley 010","E02000074",8863,7063,1297,285,144,74
2021,"Bexley 011","E02000075",7987,6810,936,124,72,45
2021,"Bexley 013","E02000077",8141,6267,1305,305,157,107
2021,"Bexley 014","E02000078",7933,6841,768,171,91,62
2021,"Bexley 015","E02000079",8768,6881,1154,372,200,161
2021,"Bexley 016","E02000080",10065,7661,1662,400,209,133
2021,"Bexley 017","E02000081",8306,6866,997,215,146,82
2021,"Bexley 018","E02000082",9336,7733,1185,221,122,75
2021,"Bexley 019","E02000083",11268,9131,1479,328,187,143
2021,"Bexley 020","E02000084",11113,9329,1312,234,147,91
2021,"Bexley 021","E02000085",7961,6871,772,170,77,71
2021,"Bexley 022","E02000086",7177,6405,584,115,46,27
2021,"Bexley 023","E02000087",8207,7132,777,138,86,74
2021,"Bexley 024","E02000088",7750,6888,693,87,54,28
2021,"Bexley 025","E02000089",7869,7001,690,113,26,39
2021,"Bexley 026","E02000090",9638,8209,878,236,182,133
2021,"Bexley 027","E02000091",10164,8679,1064,218,139,64
2021,"Bexley 028","E02000092",6756,5728,767,135,75,51
2021,"Bexley 029","E02006785",6624,4913,1121,292,179,119
2021,"Brent 001","E02000093",11879,4837,4399,1244,800,599
2021,"Brent 002","E02000094",10458,4581,3747,970,680,480
2021,"Brent 003","E02000095",10461,4013,3981,1063,737,667
2021,"Brent 004","E02000096",7632,3504,2950,523,354,301
2021,"Brent 005","E02000097",9532,4065,3623,841,616,387
2021,"Brent 006","E02000098",8742,3817,3208,778,501,438
2021,"Brent 007","E02000099",9560,3849,3172,1127,782,630
2021,"Brent 008","E02000100",8320,3590,3165,520,495,550
2021,"Brent 009","E02000101",9937,4428,3496,869,691,453
2021,"Brent 010","E02000102",8329,3646,2925,927,542,289
2021,"Brent 011","E02000103",9973,4622,3562,797,602,390
2021,"Brent 012","E02000104",7505,3044,2768,748,565,380
2021,"Brent 013","E02000105",9845,3875,3602,1006,670,692
2021,"Brent 014","E02000106",10352,4089,3687,1132,909,535
2021,"Brent 015","E02000107",10940,4923,3357,1037,1006,617
2021,"Brent 016","E02000108",7259,2883,2748,720,483,425
2021,"Brent 018","E02000110",8175,4233,2422,660,535,325
2021,"Brent 019","E02000111",11284,3712,3875,1640,1233,824
2021,"Brent 020","E02000112",11749,3481,3757,1835,1566,1110
2021,"Brent 021","E02000113",9630,5044,3566,513,322,185
2021,"Brent 022","E02000114",8996,3906,2535,1083,843,629
2021,"Brent 023","E02000115",8622,4192,2518,842,653,417
2021,"Brent 024","E02000116",8549,3666,2799,935,720,429
2021,"Brent 025","E02000117",12733,6376,4447,889,546,475
2021,"Brent 026","E02000118",11293,3480,4249,1682,1022,860
2021,"Brent 027","E02000119",10625,5313,3792,709,460,351
2021,"Brent 028","E02000120",9017,4486,2351,923,702,555
2021,"Brent 029","E02000121",12238,3907,4534,1813,1113,871
2021,"Brent 030","E02000122",8177,4698,2296,537,371,275
2021,"Brent 031","E02000123",13578,6588,4473,1111,831,575
2021,"Brent 032","E02000124",9956,5862,2393,715,586,400
2021,"Brent 033","E02000125",9940,5928,2756,565,417,274
2021,"Brent 034","E02000126",8195,4236,2802,513,366,278
2021,"Brent 035","E02006955",7507,2839,1564,929,1074,1101
2021,"Brent 036","E02006956",8829,3526,2700,947,878,778
2021,"Bromley 001","E02000127",9329,7035,1554,427,193,120
2021,"Bromley 002","E02000128",7787,6548,892,163,103,81
2021,"Bromley 004","E02000130",8426,6307,1436,365,200,118
2021,"Bromley 005","E02000131",10485,7146,2072,674,378,215
2021,"Bromley 006","E02000132",9834,6910,1758,599,333,234
2021,"Bromley 007","E02000133",10753,8774,1490,260,128,101
2021,"Bromley 008","E02000134",11751,8508,1745,615,532,351
2021,"Bromley 009","E02000135",9871,6632,2204,516,310,209
2021,"Bromley 010","E02000136",5746,4758,772,109,56,51
2021,"Bromley 011","E02000137",8398,6428,1317,329,227,97
2021,"Bromley 012","E02000138",8502,6393,1454,335,202,118
2021,"Bromley 013","E02000139",7715,6135,1042,258,186,94
2021,"Bromley 014","E02000140",8681,7015,1209,257,120,80
2021,"Bromley 015","E02000141",7232,5479,1188,299,150,116
2021,"Bromley 016","E02000142",8816,6932,1205,289,233,157
2021,"Bromley 018","E02000144",10063,6751,1715,629,568,400
2021,"Bromley 019","E02000145",8824,6775,1410,355,182,102
2021,"Bromley 020","E02000146",9702,7665,1261,304,265,207
2021,"Bromley 021","E02000147",8190,6731,1065,167,137,90
2021,"Bromley 022","E02000148",6724,5598,856,123,77,70
2021,"Bromley 023","E02000149",8166,6712,998,258,103,95
2021,"Bromley 024","E02000150",8516,7136,1055,142,85,98
2021,"Bromley 025","E02000151",7545,6340,893,181,77,54
2021,"Bromley 026","E02000152",7964,6375,1123,215,155,96
2021,"Bromley 027","E02000153",8105,7117,775,94,73,46
2021,"Bromley 028","E02000154",8527,6516,1257,324,241,189
2021,"Bromley 029","E02000155",7158,5908,925,169,92,64
2021,"Bromley 030","E02000156",12293,10591,1295,185,124,98
2021,"Bromley 031","E02000157",8369,7021,932,200,126,90
2021,"Bromley 032","E02000158",7788,6258,1152,190,115,73
2021,"Bromley 033","E02000159",7117,6169,697,85,79,87
2021,"Bromley 034","E02000160",8111,7209,677,130,62,33
2021,"Bromley 035","E02000161",8703,6972,1204,241,180,106
2021,"Bromley 036","E02000162",7123,6097,688,145,111,82
2021,"Bromley 037","E02000163",7716,6581,834,134,81,86
2021,"Bromley 039","E02000165",7172,6668,402,51,36,15
2021,"Bromley 040","E02006782",8126,6123,1445,258,187,113
2021,"Bromley 041","E02006787",7894,6411,1055,217,116,95
2021,"Bromley 042","E02006789",6776,6333,346,59,31,7
2021,"Camden 001","E02000166",7745,5478,1609,267,225,166
2021,"Camden 002","E02000167",7201,4122,1538,516,566,459
2021,"Camden 003","E02000168",7813,5382,1530,353,304,244
2021,"Camden 004","E02000169",7177,3589,1766,600,659,563
2021,"Camden 005","E02000170",7916,4306,1949,693,577,391
2021,"Camden 006","E02000171",7391,4574,1651,430,413,323
2021,"Camden 007","E02000172",9996,6172,2475,442,397,510
2021,"Camden 008","E02000173",7493,3465,1774,805,710,739
2021,"Camden 009","E02000174",8086,5204,1738,418,404,322
2021,"Camden 010","E02000175",9081,4769,2079,816,781,636
2021,"Camden 011","E02000176",5914,2796,1468,602,615,433
2021,"Camden 012","E02000177",8488,5106,2095,477,433,377
2021,"Camden 013","E02000178",8903,4614,2319,827,642,501
2021,"Camden 014","E02000179",5747,3053,1566,462,329,337
2021,"Camden 015","E02000180",7879,4687,1757,528,438,469
2021,"Camden 016","E02000181",8076,4064,1904,845,755,508
2021,"Camden 017","E02000182",7117,3138,1834,645,726,774
2021,"Camden 018","E02000183",7591,4423,1686,500,474,508
2021,"Camden 019","E02000184",8908,4792,2083,504,568,961
2021,"Camden 020","E02000185",8882,4372,2814,631,595,470
2021,"Camden 021","E02000186",6223,3336,1383,384,463,657
2021,"Camden 022","E02000187",9784,5289,2582,433,503,977
2021,"Camden 023","E02000188",7180,3852,2104,290,347,587
2021,"Camden 026","E02000191",5337,2214,1018,339,494,1272
2021,"Camden 027","E02000192",6659,3563,1772,372,393,559
2021,"Camden 028","E02000193",5961,2811,1241,353,502,1054
2021,"Camden 029","E02007115",11588,5476,2746,550,820,1996
2021,"Croydon 001","E02000194",9211,6414,1866,435,326,170
2021,"Croydon 002","E02000195",9648,5977,2783,397,264,227
2021,"Croydon 003","E02000196",7914,4399,2473,557,271,214
2021,"Croydon 004","E02000197",9023,4789,2933,641,398,262
2021,"Croydon 005","E02000198",8888,5109,2555,605,387,232
2021,"Croydon 006","E02000199",8414,5058,2359,501,293,203
2021,"Croydon 007","E02000200",9049,5756,2163,587,334,209
2021,"Croydon 008","E02000201",8692,5386,2245,574,287,200
2021,"Croydon 009","E02000202",8929,4501,2921,651,467,389
2021,"Croydon 010","E02000203",7965,4136,2522,540,493,274
2021,"Croydon 011","E02000204",9656,4803,3313,697,449,394
2021,"Croydon 013","E02000206",10816,6322,2843,878,441,332
2021,"Croydon 014","E02000207",8903,5975,2095,456,235,142
2021,"Croydon 015","E02000208",10864,5654,3320,848,584,458
2021,"Croydon 016","E02000209",9067,4419,3186,676,423,363
2021,"Croydon 017","E02000210",8713,5738,1911,541,315,208
2021,"Croydon 018","E02000211",8274,6349,1571,167,100,87
2021,"Croydon 019","E02000212",9461,4764,3107,754,431,405
2021,"Croydon 020","E02000213",12798,6479,3369,1243,1053,654
2021,"Croydon 021","E02000214",6236,4538,1262,233,123,80
2021,"Croydon 022","E02000215",11825,6686,2825,992,803,519
2021,"Croydon 023","E02000216",7163,3565,2094,624,485,395
2021,"Croydon 024","E02000217",11925,6778,3033,1060,713,341
2021,"Croydon 025","E02000218",6673,4872,1474,153,76,98
2021,"Croydon 026","E02000219",7629,5874,1441,160,90,64
2021,"Croydon 028","E02000221",10858,7114,2850,415,281,198
2021,"Croydon 029","E02000222",8350,5814,1722,409,276,129
2021,"Croydon 030","E02000223",8529,6196,1859,268,146,60
2021,"Croydon 031","E02000224",8053,5550,1599,445,288,171
2021,"Croydon 032","E02000225",7501,5851,1237,253,104,56
2021,"Croydon 033","E02000226",7616,5820,1356,166,116,158
2021,"Croydon 034","E02000227",11680,9242,1898,309,138,93
2021,"Croydon 035","E02000228",7956,6467,1210,151,70,58
2021,"Croydon 036","E02000229",6234,4910,1054,179,46,45
2021,"Croydon 037","E02000230",10502,7449,2236,381,268,168
2021,"Croydon 038","E02000231",7930,5689,1771,229,134,107
2021,"Croydon 039","E02000232",6197,5204,808,95,56,34
2021,"Croydon 040","E02000233",6365,4926,1078,185,96,80
2021,"Croydon 041","E02000234",9448,7176,1737,277,162,96
2021,"Croydon 042","E02000235",6892,5594,1049,119,87,43
2021,"Croydon 043","E02000236",9129,7516,1197,273,93,50
2021,"Croydon 044","E02000237",7601,6501,903,108,54,35
2021,"Croydon 045","E02006788",7610,5389,1696,275,148,102
2021,"Croydon 046","E02006987",7371,3556,1552,922,757,584
2021,"Croydon 047","E02006988",7161,4232,1646,606,388,289
2021,"Ealing 001","E02000238",10707,5015,3769,971,560,392
2021,"Ealing 002","E02000239",9042,3949,3495,815,475,308
2021,"Ealing 003","E02000240",11209,5728,3863,799,446,373
2021,"Ealing 004","E02000241",7395,3594,2541,630,359,271
2021,"Ealing 005","E02000242",6885,2847,2865,575,361,237
2021,"Ealing 006","E02000243",8723,4115,3169,751,416,272
2021,"Ealing 007","E02000244",7892,3382,3068,742,439,261
2021,"Ealing 008","E02000245",9310,4963,3095,672,356,224
2021,"Ealing 009","E02000246",9461,5111,3183,623,378,166
2021,"Ealing 010","E02000247",11155,5674,3908,850,464,259
2021,"Ealing 011","E02000248",7717,3100,2587,907,671,452
2021,"Ealing 012","E02000249",8378,3969,3008,707,430,264
2021,"Ealing 013","E02000250",6482,4037,1642,310,282,211
2021,"Ealing 014","E02000251",8313,3644,3322,629,433,285
2021,"Ealing 015","E02000252",12238,5572,3188,1085,1011,1382
2021,"Ealing 016","E02000253",10342,5786,3478,551,336,191
2021,"Ealing 017","E02000254",9208,3755,3762,731,581,379
2021,"Ealing 018","E02000255",9862,5711,2803,642,448,258
2021,"Ealing 019","E02000256",9183,4847,2176,825,777,558
2021,"Ealing 021","E02000258",6900,3199,1811,620,734,536
2021,"Ealing 022","E02000259",6586,3941,1815,430,261,139
2021,"Ealing 023","E02000260",9837,3584,3601,1127,877,648
2021,"Ealing 024","E02000261",12652,5579,3735,1394,1101,843
2021,"Ealing 025","E02000262",9348,4928,2491,839,674,416
2021,"Ealing 026","E02000263",13706,4848,5081,1569,1213,995
2021,"Ealing 027","E02000264",8494,4208,2292,787,699,508
2021,"Ealing 028","E02000265",11229,6266,3034,858,608,463
2021,"Ealing 029","E02000266",13114,6437,4745,865,616,451
2021,"Ealing 030","E02000267",8150,4974,1976,593,351,256
2021,"Ealing 031","E02000268",9250,5555,2180,642,464,409
2021,"Ealing 032","E02000269",8167,5153,1715,609,439,251
2021,"Ealing 033","E02000270",9607,4951,2815,837,615,389
2021,"Ealing 034","E02000271",6950,4176,1632,460,407,275
2021,"Ealing 035","E02000272",6713,4441,1640,301,208,123
2021,"Ealing 038","E02000275",8170,3191,2778,953,732,516
2021,"Ealing 039","E02000276",6763,4010,1592,559,386,216
2021,"Ealing 040","E02006791",7566,4478,1762,540,480,306
2021,"Ealing 041","E02006968",8351,3886,2105,795,819,746
2021,"Ealing 042","E02006969",6424,2680,1392,728,839,785
2021,"Ealing 043","E02006970",7345,2275,2221,1218,1044,587
2021,"Ealing 044","E02006971",8294,3002,2941,953,885,513
2021,"Enfield 001","E02000277",7524,4877,1988,330,187,142
2021,"Enfield 002","E02000278",9433,5816,2655,527,245,190
2021,"Enfield 003","E02000279",12320,7261,3516,720,573,250
2021,"Enfield 004","E02000280",8634,6849,1368,230,99,88
2021,"Enfield 005","E02000281",9655,6747,2210,349,210,139
2021,"Enfield 006","E02000282",9951,5982,2911,556,260,242
2021,"Enfield 007","E02000283",8538,5204,2536,393,246,159
2021,"Enfield 008","E02000284",8740,6491,1507,344,234,164
2021,"Enfield 009","E02000285",6644,5181,1139,148,110,66
2021,"Enfield 010","E02000286",8688,6365,1575,338,251,159
2021,"Enfield 011","E02000287",7355,4956,1761,251,231,156
2021,"Enfield 012","E02000288",12784,6782,4347,882,469,304
2021,"Enfield 013","E02000289",6774,5015,1472,142,92,53
2021,"Enfield 014","E02000290",6684,3724,2160,370,242,188
2021,"Enfield 015","E02000291",10161,6416,2340,620,501,284
2021,"Enfield 016","E02000292",9837,6395,2428,541,285,188
2021,"Enfield 017","E02000293",6397,4801,1249,158,107,82
2021,"Enfield 018","E02000294",9369,4985,3217,629,347,191
2021,"Enfield 019","E02000295",8692,5507,2170,422,347,246
2021,"Enfield 020","E02000296",10343,5555,2760,885,750,393
2021,"Enfield 021","E02000297",9401,6457,2170,371,291,112
2021,"Enfield 022","E02000298",8252,6106,1615,233,179,119
2021,"Enfield 023","E02000299",9495,4599,3317,775,504,300
2021,"Enfield 024","E02000300",8855,4319,2867,850,571,248
2021,"Enfield 025","E02000301",10222,5215,3485,781,440,301
2021,"Enfield 026","E02000302",8667,5107,2575,410,329,246
2021,"Enfield 027","E02000303",8370,4396,2795,525,386,268
2021,"Enfield 028","E02000304",8042,5312,2023,298,261,148
2021,"Enfield 029","E02000305",8878,5256,2063,732,560,267
2021,"Enfield 030","E02000306",9134,4614,3327,575,318,300
2021,"Enfield 031","E02000307",10113,5076,3536,787,409,305
2021,"Enfield 032","E02000308",8760,4638,2544,677,562,339
2021,"Enfield 033","E02000309",11793,5530,4022,1021,712,508
2021,"Enfield 035","E02000311",10544,4887,3615,887,599,556
2021,"Enfield 036","E02000312",11303,5704,3223,1082,840,454
2021,"Enfield 037","E02006793",9645,4700,3469,673,451,352
2021,"Greenwich 001","E02000313",6489,3949,1795,392,210,143
2021,"Greenwich 002","E02000314",14106,7743,4086,1175,673,429
2021,"Greenwich 003","E02000315",9874,5958,2554,631,372,359
2021,"Greenwich 005","E02000317",7561,4392,2036,541,371,221
2021,"Greenwich 006","E02000318",11064,4983,3202,1161,977,741
2021,"Greenwich 007","E02000319",10617,5674,2893,945,645,460
2021,"Greenwich 008","E02000320",7040,4256,1737,509,340,198
2021,"Greenwich 009","E02000321",7721,4426,2048,632,343,272
2021,"Greenwich 011","E02000323",12861,6532,3670,1086,827,746
2021,"Greenwich 012","E02000324",7868,5105,1881,447,237,198
2021,"Greenwich 014","E02000326",7800,5200,1543,575,300,182
2021,"Greenwich 015","E02000327",6623,4011,1789,381,241,201
2021,"Greenwich 016","E02000328",6513,4607,1151,362,242,151
2021,"Greenwich 017","E02000329",6334,4396,1283,346,191,118
2021,"Greenwich 019","E02000331",8235,5272,1847,511,347,258
2021,"Greenwich 020","E02000332",7451,5152,1502,376,259,162
2021,"Greenwich 021","E02000333",6242,4509,1062,327,217,127
2021,"Greenwich 022","E02000334",6639,4439,1450,420,216,114
2021,"Greenwich 023","E02000335",6675,5299,938,265,96,77
2021,"Greenwich 025","E02000337",8470,6173,1521,399,239,138
2021,"Greenwich 027","E02000339",6291,4951,889,236,136,79
2021,"Greenwich 028","E02000340",6862,5058,1075,330,229,170
2021,"Greenwich 029","E02000341",7994,5880,1509,315,183,107
2021,"Greenwich 030","E02000342",6347,4756,964,295,150,182
2021,"Greenwich 031","E02000343",7046,5267,1254,279,153,93
2021,"Greenwich 032","E02000344",6430,5135,992,155,102,46
2021,"Greenwich 033","E02006786",7558,4815,1798,511,262,172
2021,"Greenwich 034","E02006927",12367,7918,2670,831,554,394
2021,"Greenwich 035","E02006928",12093,6677,2413,1069,874,1060
2021,"Greenwich 037","E02006930",9846,6059,1866,894,619,408
2021,"Greenwich 038","E02006931",9462,6187,1769,657,471,378
2021,"Greenwich 039","E02006991",6319,3136,1372,838,570,403
2021,"Greenwich 040","E02006992",8229,4610,1659,868,650,442
2021,"Greenwich 041","E02006993",8400,4316,1760,971,744,609
2021,"Greenwich 042","E02006994",7641,3737,2125,767,559,453
2021,"Hackney 001","E02000345",8199,5516,1644,497,352,190
2021,"Hackney 002","E02000346",9398,4873,2621,834,593,477
2021,"Hackney 003","E02000347",8153,5502,1566,538,292,255
2021,"Hackney 004","E02000348",8106,5374,1951,370,243,168
2021,"Hackney 006","E02000350",10241,6635,2142,643,469,352
2021,"Hackney 007","E02000351",9288,5494,2227,673,555,339
2021,"Hackney 008","E02000352",6746,4588,1443,368,218,129
2021,"Hackney 009","E02000353",7762,5105,1574,452,401,230
2021,"Hackney 010","E02000354",9611,5774,2587,572,403,275
2021,"Hackney 011","E02000355",8195,5331,1859,460,344,201
2021,"Hackney 012","E02000356",7034,4772,1368,423,289,182
2021,"Hackney 013","E02000357",6845,3914,2296,314,188,133
2021,"Hackney 014","E02000358",11090,6482,2759,888,568,393
2021,"Hackney 015","E02000359",6696,4348,1606,318,240,184
2021,"Hackney 016","E02000360",11512,6623,3508,725,385,271
2021,"Hackney 017","E02000361",8059,4617,1909,654,533,346
2021,"Hackney 018","E02000362",6958,4577,1609,357,257,158
2021,"Hackney 019","E02000363",11882,7146,3485,576,370,305
2021,"Hackney 020","E02000364",9217,5856,2130,493,428,310
2021,"Hackney 022","E02000366",8327,5651,1818,356,291,211
2021,"Hackney 023","E02000367",10419,6220,2214,778,739,468
2021,"Hackney 024","E02000368",9922,5746,2875,542,424,335
2021,"Hackney 025","E02000369",13458,7312,3476,1086,899,685
2021,"Hackney 026","E02000370",8863,4590,2337,648,694,594
2021,"Hackney 028","E02006918",8400,5185,2193,537,273,212
2021,"Hackney 029","E02006921",7927,5243,1808,426,295,155
2021,"Hackney 030","E02007108",5944,3239,1198,652,495,360
2021,"Hackney 031","E02007109",7615,4597,1770,500,427,321
2021,"Hackney 032","E02007110",7334,3410,1674,673,686,891
2021,"Hackney 033","E02007111",5949,2498,1117,588,721,1025
2021,"Hammersmith and Fulham 001","E02000372",9983,5110,2508,699,737,929
2021,"Hammersmith and Fulham 002","E02000373",7034,3753,2475,317,273,216
2021,"Hammersmith and Fulham 003","E02000374",6913,3968,1717,442,365,421
2021,"Hammersmith and Fulham 004","E02000375",7485,3876,2019,568,570,452
2021,"Hammersmith and Fulham 005","E02000376",6701,3439,1637,637,588,400
2021,"Hammersmith and Fulham 006","E02000377",7794,4530,1845,594,444,381
2021,"Hammersmith and Fulham 007","E02000378",6432,3080,1641,677,572,462
2021,"Hammersmith and Fulham 008","E02000379",7386,4453,1866,449,370,248
2021,"Hammersmith and Fulham 009","E02000380",5506,3346,1183,414,301,262
2021,"Hammersmith and Fulham 010","E02000381",7628,4062,1921,684,561,400
2021,"Hammersmith and Fulham 011","E02000382",6190,3422,1360,502,439,467
2021,"Hammersmith and Fulham 012","E02000383",8462,3717,2380,864,819,682
2021,"Hammersmith and Fulham 013","E02000384",8267,4234,1927,670,758,678
2021,"Hammersmith and Fulham 014","E02000385",5614,2892,1181,520,535,486
2021,"Hammersmith and Fulham 015","E02000386",7582,4114,2009,535,511,413
2021,"Hammersmith and Fulham 016","E02000387",6025,3188,1542,437,371,487
2021,"Hammersmith and Fulham 017","E02000388",8657,4527,1928,803,726,673
2021,"Hammersmith and Fulham 018","E02000389",8647,4842,1819,739,677,570
2021,"Hammersmith and Fulham 019","E02000390",6195,3659,1301,457,434,344
2021,"Hammersmith and Fulham 020","E02000391",7587,4359,1712,555,492,469
2021,"Hammersmith and Fulham 021","E02000392",9229,5260,2057,680,659,573
2021,"Hammersmith and Fulham 022","E02000393",5972,3499,1167,468,471,367
2021,"Hammersmith and Fulham 023","E02000394",9282,5135,2103,732,680,632
2021,"Hammersmith and Fulham 024","E02000395",5682,3364,1178,426,384,330
2021,"Hammersmith and Fulham 025","E02000396",6900,3987,1580,501,475,357
2021,"Haringey 001","E02000397",7908,3802,2316,786,688,316
2021,"Haringey 002","E02000398",7519,3360,2646,704,566,243
2021,"Haringey 004","E02000400",7988,4610,2223,527,391,237
2021,"Haringey 005","E02000401",6864,3660,2322,404,246,232
2021,"Haringey 006","E02000402",6473,3391,2152,410,286,234
2021,"Haringey 007","E02000403",7513,3241,2137,1053,723,359
2021,"Haringey 008","E02000404",7111,3032,2349,731,547,452
2021,"Haringey 009","E02000405",6475,4706,1147,272,235,115
2021,"Haringey 010","E02000406",6737,3196,2051,615,477,398
2021,"Haringey 011","E02000407",7605,3330,2469,926,509,371
2021,"Haringey 012","E02000408",8252,3814,2778,809,442,409
2021,"Haringey 013","E02000409",6062,2928,2228,421,284,201
2021,"Haringey 014","E02000410",6418,4328,1242,353,307,188
2021,"Haringey 015","E02000411",11426,5361,3468,1100,773,724
2021,"Haringey 016","E02000412",7321,3098,2466,807,557,393
2021,"Haringey 017","E02000413",7762,5356,1553,390,270,193
2021,"Haringey 018","E02000414",7080,3332,2253,727,475,293
2021,"Haringey 019","E02000415",7240,3283,2209,782,605,361
2021,"Haringey 020","E02000416",8453,5358,1961,543,402,189
2021,"Haringey 021","E02000417",6555,4350,1363,402,269,171
2021,"Haringey 022","E02000418",5431,4116,923,179,136,77
2021,"Haringey 023","E02000419",8737,4129,2202,975,852,579
2021,"Haringey 024","E02000420",7988,3687,2599,813,562,327
2021,"Haringey 025","E02000421",8511,3769,2650,800,704,588
2021,"Haringey 026","E02000422",7458,3552,2270,733,533,370
