"date","geography","geography code","Passports held: Total: All usual residents; measures: Value","Passports held: Europe; measures: Value","Passports held: Europe: United Kingdom; measures: Value","Passports held: Europe: Ireland; measures: Value","Passports held: Europe: Other Europe; measures: Value","Passports held: Europe: Other Europe: EU Member countries; measures: Value","Passports held: Europe: Other Europe: EU Member countries: France; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value","Passports held: Europe: Other Europe: Rest of Europe; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Passports held: Africa; measures: Value","Passports held: Africa: North Africa; measures: Value","Passports held: Africa: Central and Western Africa; measures: Value","Passports held: Africa: Central and Western Africa: Ghana; measures: Value","Passports held: Africa: Central and Western Africa: Nigeria; measures: Value","Passports held: Africa: Central and Western Africa: Other Central and Western Africa; measures: Value","Passports held: Africa: South and Eastern Africa; measures: Value","Passports held: Africa: South and Eastern Africa: Kenya; measures: Value","Passports held: Africa: South and Eastern Africa: Somalia; measures: Value","Passports held: Africa: South and Eastern Africa: South Africa; measures: Value","Passports held: Africa: South and Eastern Africa: Zimbabwe; measures: Value","Passports held: Africa: South and Eastern Africa: Other South and Eastern Africa; measures: Value","Passports held: Middle East and Asia; measures: Value","Passports held: Middle East and Asia: Middle East; measures: Value","Passports held: Middle East and Asia: Middle East: Iran; measures: Value","Passports held: Middle East and Asia: Middle East: Iraq; measures: Value","Passports held: Middle East and Asia: Middle East: Other Middle East; measures: Value","Passports held: Middle East and Asia: Eastern Asia; measures: Value","Passports held: Middle East and Asia: Eastern Asia: China; measures: Value","Passports held: Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China); measures: Value","Passports held: Middle East and Asia: Eastern Asia: Japan; measures: Value","Passports held: Middle East and Asia: Eastern Asia: Other Eastern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia: Afghanistan; measures: Value","Passports held: Middle East and Asia: Southern Asia: Bangladesh; measures: Value","Passports held: Middle East and Asia: Southern Asia: India; measures: Value","Passports held: Middle East and Asia: Southern Asia: Pakistan; measures: Value","Passports held: Middle East and Asia: Southern Asia: Sri Lanka; measures: Value","Passports held: Middle East and Asia: Southern Asia: Other Southern Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia: Malaysia; measures: Value","Passports held: Middle East and Asia: South-East Asia: Philippines; measures: Value","Passports held: Middle East and Asia: South-East Asia: Singapore; measures: Value","Passports held: Middle East and Asia: South-East Asia: Other South-East Asia; measures: Value","Passports held: Middle East and Asia: Central Asia; measures: Value","Passports held: The Americas and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: North America; measures: Value","Passports held: The Americas and the Caribbean: North America: Canada; measures: Value","Passports held: The Americas and the Caribbean: North America: United States; measures: Value","Passports held: The Americas and the Caribbean: Central America; measures: Value","Passports held: The Americas and the Caribbean: South America; measures: Value","Passports held: The Americas and the Caribbean: The Caribbean; measures: Value","Passports held: The Americas and the Caribbean: The Caribbean: Jamaica; measures: Value","Passports held: The Americas and the Caribbean: The Caribbean: Other Caribbean; measures: Value","Passports held: Antarctica and Oceania; measures: Value","Passports held: Antarctica and Oceania: Australasia; measures: Value","Passports held: Antarctica and Oceania: Australasia: Australia; measures: Value","Passports held: Antarctica and Oceania: Australasia: New Zealand; measures: Value","Passports held: Antarctica and Oceania: Other Antarctica and Oceania; measures: Value","Passports held: British Overseas Territories; measures: Value","Passports held: No passport held; measures: Value"
2021,"Barking and Dagenham 013","E02000014",9866,7956,6066,60,1830,1770,29,16,99,117,44,396,115,647,307,60,11,49,305,7,267,67,185,15,31,9,0,3,14,5,280,2,1,1,0,27,22,2,0,3,229,2,92,71,53,4,7,22,3,14,1,4,0,22,6,0,6,0,2,14,6,8,2,2,0,2,0,0,1301
2021,"Barking and Dagenham 014","E02000015",8233,6619,5389,52,1178,1135,30,25,102,81,40,213,75,328,241,43,6,37,400,15,336,48,266,22,49,7,0,5,16,21,201,9,2,0,7,18,16,0,1,1,146,1,64,27,48,1,5,27,2,22,0,3,1,28,6,1,5,0,9,13,6,7,2,2,2,0,0,0,983
2021,"Barking and Dagenham 015","E02000016",10570,7997,5723,58,2216,2114,83,21,411,201,104,226,141,468,459,102,14,88,422,26,315,62,185,68,81,15,0,6,10,50,1379,9,6,0,3,33,26,1,1,5,1296,5,263,818,189,17,4,41,16,15,1,9,0,61,17,2,15,6,15,23,17,6,2,2,1,1,0,0,709
2021,"Barking and Dagenham 016","E02000017",9134,7725,5508,35,2182,2099,29,38,266,133,67,253,73,774,466,83,11,72,154,5,128,23,86,19,21,4,0,1,3,13,735,1,0,0,1,20,18,1,0,1,690,8,155,230,259,33,5,24,11,6,1,6,0,39,8,0,8,0,6,25,17,8,8,8,3,5,0,0,473
2021,"Barking and Dagenham 017","E02000018",9549,7755,5984,36,1735,1670,43,19,125,141,54,353,86,582,267,65,3,62,266,6,234,47,161,26,26,7,0,1,7,11,311,1,0,0,1,10,9,1,0,0,290,0,111,82,82,2,13,10,1,5,0,4,0,41,8,2,6,0,13,20,13,7,3,0,0,0,3,0,1173
2021,"Barking and Dagenham 018","E02000019",9660,8040,6298,49,1693,1630,35,42,198,114,34,367,106,381,353,63,8,55,284,11,244,52,187,5,29,9,0,4,5,11,281,4,1,0,3,18,15,1,1,1,242,6,115,64,45,9,3,17,3,11,0,3,0,35,3,2,1,1,13,18,13,5,1,1,1,0,0,0,1019
2021,"Barking and Dagenham 019","E02000020",14051,11516,8846,55,2615,2541,54,41,295,232,56,374,188,720,581,74,14,60,458,18,342,87,219,36,98,13,1,4,21,59,840,4,2,0,2,21,18,2,0,1,777,9,251,244,223,46,4,38,4,15,1,18,0,62,13,7,6,1,24,24,11,13,8,8,0,8,0,0,1167
2021,"Barking and Dagenham 020","E02000021",8759,7191,5405,87,1699,1634,37,41,127,122,53,394,151,479,230,65,4,61,432,18,366,62,284,20,48,13,0,1,8,26,245,3,3,0,0,7,6,0,1,0,219,0,63,71,76,6,3,12,4,7,0,1,4,39,3,2,1,0,14,22,11,11,1,1,1,0,0,0,851
2021,"Barking and Dagenham 021","E02000022",7740,6345,4992,37,1316,1263,47,30,173,150,40,177,133,236,277,53,10,43,344,17,280,55,182,43,47,8,1,3,5,30,439,5,3,1,1,10,7,0,0,3,408,3,151,132,104,15,3,15,7,2,0,6,1,46,13,3,10,0,12,21,9,12,6,4,4,0,2,0,560
2021,"Barking and Dagenham 022","E02000023",8019,6511,5355,19,1137,1083,41,53,111,137,31,156,75,251,228,54,6,48,447,7,365,96,224,45,75,14,1,0,28,32,253,5,2,1,2,4,3,0,1,0,231,2,79,61,86,3,0,11,3,6,0,2,2,47,3,1,2,3,19,22,15,7,2,2,0,2,0,0,759
2021,"Barking and Dagenham 023","E02006799",12039,9918,7920,80,1918,1847,66,29,294,119,97,325,118,500,299,71,5,66,258,15,200,39,112,49,43,13,0,1,1,28,639,3,2,1,0,9,4,1,2,2,611,4,116,296,178,6,11,16,4,8,1,3,0,44,10,4,6,0,11,23,8,15,5,5,2,3,0,0,1175
2021,"Barnet 001","E02000024",10842,9939,8719,249,971,889,67,56,134,126,56,21,85,101,243,82,20,62,84,15,36,7,15,14,33,7,0,15,5,6,275,31,19,3,9,85,28,12,42,3,97,5,3,64,13,6,6,61,19,34,4,4,1,71,35,17,18,3,30,3,2,1,18,18,16,2,0,0,455
2021,"Barnet 002","E02000025",8580,7800,6711,188,901,815,40,19,80,36,23,39,151,118,309,86,17,69,77,11,31,5,18,8,35,5,0,16,2,12,154,24,21,1,2,45,15,0,22,8,51,4,0,31,6,8,2,32,12,13,1,6,2,42,19,2,17,1,20,2,1,1,20,20,13,7,0,0,487
2021,"Barnet 003","E02000026",6456,5952,5392,78,482,415,19,7,64,20,20,2,59,69,155,67,24,43,38,5,8,4,3,1,25,1,0,12,5,7,89,16,12,2,2,25,6,0,18,1,25,1,7,10,0,7,0,19,7,4,3,5,4,38,26,5,21,3,7,2,2,0,10,10,7,3,0,0,329
2021,"Barnet 004","E02000027",9645,8473,7337,192,944,867,37,20,107,96,88,32,136,116,235,77,26,51,110,10,61,25,29,7,39,2,0,10,8,19,212,12,12,0,0,71,27,7,34,3,92,5,1,48,10,23,5,36,13,13,2,8,1,52,24,3,21,2,19,7,4,3,9,9,7,2,0,0,789
2021,"Barnet 005","E02000028",6531,5975,5063,143,769,676,42,36,67,46,54,23,89,108,211,93,19,74,59,8,24,6,15,3,27,0,0,8,7,12,156,33,24,0,9,32,11,4,14,3,70,2,5,37,7,17,2,19,7,7,2,3,2,52,16,7,9,0,25,11,4,7,12,12,11,1,0,0,277
2021,"Barnet 006","E02000029",9675,8719,7356,137,1226,1063,31,27,117,86,58,23,142,174,405,163,42,121,95,8,40,13,20,7,47,2,20,10,10,5,217,58,51,2,5,37,17,1,14,5,72,4,5,43,6,14,0,48,16,15,2,15,2,63,16,9,7,2,39,6,4,2,14,14,11,3,0,0,567
2021,"Barnet 007","E02000030",9454,8634,7898,114,622,582,83,30,53,44,11,14,77,95,175,40,9,31,79,8,56,8,44,4,15,5,1,2,3,4,254,38,26,0,12,80,18,7,54,1,86,10,1,54,11,8,2,44,10,23,10,1,6,46,30,11,19,1,11,4,0,4,18,18,15,3,0,0,423
2021,"Barnet 008","E02000031",8332,7567,6565,200,802,694,22,21,110,26,46,14,113,90,252,108,29,79,45,16,11,3,7,1,18,2,0,8,1,7,311,79,59,0,20,110,34,10,52,14,76,4,2,54,5,9,2,46,16,22,3,5,0,75,37,9,28,1,28,9,2,7,27,27,25,2,0,0,307
2021,"Barnet 009","E02000032",7939,7544,6718,131,695,594,43,22,66,12,36,16,71,79,249,101,59,42,28,3,14,0,13,1,11,1,0,1,7,2,123,8,6,0,2,45,18,10,16,1,52,6,7,26,9,4,0,18,11,1,4,2,0,44,21,3,18,0,20,3,1,2,10,10,9,1,0,0,190
2021,"Barnet 010","E02000033",8891,8169,6889,186,1094,998,34,13,87,59,46,26,188,201,344,96,29,67,70,19,25,4,20,1,26,2,0,4,5,15,170,66,62,0,4,18,14,0,1,3,63,2,0,31,9,19,2,22,9,7,4,2,1,49,21,7,14,2,16,10,5,5,4,4,1,3,0,0,429
2021,"Barnet 011","E02000034",9084,8239,6729,207,1303,1165,43,34,162,35,48,38,201,155,449,138,34,104,65,20,26,4,17,5,19,2,1,12,1,3,229,56,35,4,17,66,23,10,28,5,78,5,5,41,13,14,0,29,10,11,1,7,0,85,38,11,27,1,35,11,5,6,32,32,16,16,0,0,434
2021,"Barnet 012","E02000035",8535,7325,5841,137,1347,1170,50,44,132,102,62,28,141,246,365,177,62,115,127,22,67,13,36,18,38,4,1,9,2,22,591,135,103,1,31,218,42,17,149,10,155,22,4,98,18,9,4,81,32,26,4,19,2,102,52,16,36,2,36,12,2,10,23,19,17,2,4,0,367
2021,"Barnet 013","E02000036",11239,10155,8492,103,1560,1488,39,23,68,118,33,21,165,725,296,72,3,69,119,6,84,43,31,10,29,1,0,17,3,8,309,79,32,9,38,30,16,1,11,2,147,16,7,65,31,26,2,50,14,28,5,3,3,60,29,7,22,1,22,8,3,5,10,9,6,3,1,0,586
2021,"Barnet 014","E02000037",10832,10040,8896,65,1079,1002,43,40,48,65,33,24,71,439,239,77,16,61,87,11,60,27,30,3,16,4,0,8,0,4,289,80,31,15,34,48,32,1,10,5,124,18,6,75,16,9,0,33,11,16,2,4,4,46,41,8,33,0,3,2,1,1,4,4,4,0,0,0,366
2021,"Barnet 015","E02000038",10723,9714,8000,215,1499,1350,41,25,180,56,79,31,195,197,546,149,37,112,113,31,54,20,27,7,28,3,0,6,5,14,293,76,52,5,19,60,14,2,40,4,119,9,10,66,12,18,4,34,19,10,1,4,4,108,54,10,44,8,33,13,4,9,35,35,30,5,0,0,460
2021,"Barnet 016","E02000039",7172,6619,5663,128,828,767,60,24,57,69,37,22,59,227,212,61,4,57,69,5,34,10,20,4,30,3,0,21,1,5,196,48,29,0,19,43,16,7,17,3,68,23,2,30,3,8,2,34,10,21,1,2,3,46,25,5,20,3,16,2,2,0,9,9,8,1,0,0,233
2021,"Barnet 017","E02000040",9142,8107,7127,101,879,795,51,45,103,64,40,37,103,133,219,84,33,51,136,38,46,6,25,15,52,7,0,30,4,11,412,87,65,0,22,158,122,9,20,7,105,10,4,66,14,9,2,52,16,17,14,5,10,73,35,17,18,1,31,6,5,1,14,14,13,1,0,0,400
2021,"Barnet 018","E02000041",9450,8504,6628,117,1759,1672,34,34,128,93,43,20,185,834,301,87,9,78,139,16,90,46,32,12,33,4,0,13,9,7,363,33,12,4,17,60,34,3,20,3,209,28,8,84,28,34,27,61,14,39,2,6,0,55,32,5,27,0,20,3,2,1,10,10,9,1,0,0,379
2021,"Barnet 019","E02000042",11562,10125,7974,207,1944,1740,89,64,275,79,90,67,223,304,549,204,44,160,126,39,41,8,22,11,46,6,2,17,10,11,730,143,99,3,41,261,63,18,148,32,193,25,3,116,28,16,5,94,24,42,2,26,39,135,59,14,45,1,70,5,3,2,39,39,30,9,0,0,407
2021,"Barnet 020","E02000043",7571,6505,5632,83,790,715,53,29,113,28,40,5,142,74,231,75,19,56,46,10,19,7,6,6,17,1,0,10,1,5,730,120,26,1,93,473,41,6,409,17,74,5,0,58,5,5,1,63,35,16,7,5,0,87,45,13,32,0,31,11,9,2,22,22,15,7,0,0,181
2021,"Barnet 021","E02000044",8842,7815,6237,144,1434,1381,29,17,69,147,99,29,164,531,296,53,3,50,163,26,113,55,45,13,24,1,2,8,2,11,335,55,30,1,24,54,33,1,12,8,141,25,4,39,9,19,45,78,13,59,1,5,7,48,8,3,5,2,29,9,5,4,3,3,2,1,0,0,478
2021,"Barnet 022","E02000045",10522,9506,7673,189,1644,1479,90,48,177,92,67,42,218,196,549,165,35,130,117,29,49,13,29,7,39,9,0,10,2,18,263,60,32,0,28,76,30,6,24,16,77,5,5,39,18,8,2,47,23,17,2,5,3,107,46,10,36,7,46,8,6,2,20,20,17,3,0,0,509
2021,"Barnet 023","E02000046",6963,6096,4619,119,1358,1224,64,40,130,53,60,32,221,240,384,134,27,107,88,17,33,8,18,7,38,9,0,21,2,6,458,78,48,1,29,188,40,1,129,18,143,3,13,109,8,2,8,49,16,24,3,6,0,77,44,13,31,0,29,4,0,4,22,22,17,5,0,0,222
2021,"Barnet 024","E02000047",12398,10634,7765,218,2651,2560,35,26,120,196,95,49,236,1424,379,91,8,83,252,25,178,53,114,11,49,6,2,5,3,33,642,27,17,1,9,131,95,18,12,6,324,42,28,74,20,30,130,159,49,83,3,24,1,94,20,4,16,0,57,17,11,6,7,7,5,2,0,0,769
2021,"Barnet 025","E02000048",10278,9310,7904,120,1286,1195,91,43,120,64,70,30,184,259,334,91,25,66,126,4,90,18,70,2,32,3,1,11,0,17,385,141,61,4,76,62,20,0,33,9,109,20,5,61,9,10,4,71,16,34,11,10,2,115,57,10,47,5,50,3,1,2,27,27,20,7,0,0,315
2021,"Barnet 026","E02000049",10530,9006,7346,105,1555,1496,33,34,94,216,46,22,238,446,367,59,2,57,204,25,141,55,65,21,38,9,1,5,8,15,477,59,35,3,21,89,59,1,19,10,200,36,9,87,42,12,14,113,46,52,5,10,16,68,14,4,10,2,30,22,12,10,22,22,17,5,0,0,753
2021,"Barnet 027","E02000050",10382,9330,7608,202,1520,1342,68,32,143,82,68,42,236,174,497,178,36,142,123,36,56,15,32,9,31,6,1,15,0,9,324,77,35,0,42,70,25,5,23,17,127,7,6,73,24,12,5,50,5,29,3,13,0,116,61,8,53,6,37,12,5,7,15,15,10,5,0,0,474
2021,"Barnet 028","E02000051",9160,8035,6678,106,1251,1150,73,29,145,62,61,39,197,155,389,101,28,73,121,9,75,18,44,13,37,7,0,16,0,14,564,203,81,0,122,138,23,8,104,3,135,9,1,96,23,2,4,87,17,52,6,12,1,104,49,9,40,0,54,1,0,1,27,27,24,3,0,0,309
2021,"Barnet 029","E02000052",9847,8854,7166,215,1473,1327,95,61,227,96,85,31,149,177,406,146,44,102,83,18,27,14,6,7,38,4,0,18,3,13,306,79,19,0,60,86,30,11,37,8,97,2,4,68,9,9,5,41,6,21,1,13,3,136,72,18,54,2,57,5,2,3,48,47,35,12,1,0,420
2021,"Barnet 031","E02000054",7629,6751,4881,82,1788,1681,61,42,132,95,66,29,380,435,441,107,11,96,140,13,75,13,36,26,52,14,2,15,6,15,412,126,38,7,81,63,25,4,21,13,142,21,3,80,18,14,6,79,25,40,2,12,2,71,24,5,19,5,39,3,2,1,9,9,6,3,0,0,246
2021,"Barnet 032","E02000055",11726,10323,7237,104,2982,2776,111,47,218,213,130,96,499,710,752,206,20,186,248,43,95,18,52,25,110,23,1,36,14,36,577,111,43,5,63,122,55,11,40,16,180,6,4,136,19,12,3,157,52,88,3,14,7,159,89,9,80,4,54,12,4,8,21,21,15,6,0,1,397
2021,"Barnet 033","E02000056",9131,8281,7284,97,900,786,77,57,110,39,40,21,80,68,294,114,31,83,90,14,19,2,13,4,57,11,0,28,1,17,338,107,29,7,71,71,21,9,28,13,105,1,9,41,41,7,6,54,14,23,8,9,1,176,108,25,83,7,57,4,1,3,69,68,53,15,1,0,177
2021,"Barnet 034","E02000057",8012,7240,5613,72,1555,1445,66,28,101,74,74,30,222,458,392,110,11,99,115,20,36,2,7,27,59,7,1,15,1,35,272,100,28,7,65,55,17,5,22,11,69,8,1,40,7,11,2,48,7,30,4,7,0,103,67,9,58,0,32,4,1,3,10,10,8,2,0,0,272
2021,"Barnet 035","E02000058",10228,9197,7506,116,1575,1452,78,94,193,51,95,29,228,167,517,123,13,110,93,17,41,2,36,3,35,4,0,21,4,6,425,157,62,0,95,83,28,3,39,13,89,4,7,54,11,9,4,96,9,63,5,19,0,156,113,22,91,3,35,5,3,2,45,45,39,6,0,0,312
2021,"Barnet 036","E02000059",11627,10117,6960,209,2948,2808,61,52,192,181,102,62,383,1194,581,140,21,119,159,25,101,21,68,12,33,7,0,10,2,14,601,85,49,6,30,87,53,4,20,10,295,44,9,171,36,27,8,132,46,58,7,21,2,155,26,6,20,0,115,14,7,7,16,16,15,1,0,0,579
2021,"Barnet 037","E02000060",11555,10553,8778,52,1723,1530,154,59,138,71,75,22,250,172,589,193,26,167,66,8,33,2,26,5,25,4,0,7,8,6,399,134,38,14,82,68,21,3,39,5,80,4,2,58,10,5,1,117,14,89,5,9,0,160,120,25,95,3,25,12,6,6,31,31,27,4,0,0,346
2021,"Barnet 038","E02000061",8341,7229,5755,59,1415,1265,116,67,184,77,89,32,147,140,413,150,36,114,136,18,56,18,33,5,62,8,0,19,15,20,528,98,41,4,53,196,36,23,84,53,110,2,3,87,9,3,6,117,17,84,3,13,7,180,123,26,97,6,48,3,2,1,32,27,18,9,5,0,236
2021,"Barnet 039","E02000062",6950,6110,4627,132,1351,1285,35,19,175,127,105,23,207,224,370,66,8,58,133,55,53,9,20,24,25,2,5,5,1,12,273,44,22,8,14,37,19,4,14,0,89,20,4,45,4,3,13,100,26,52,2,20,3,83,26,7,19,1,47,9,5,4,20,20,6,14,0,0,331
