"date","geography","geography code","Multiple main languages in household: Total: All households","Multiple main languages in household: One-person household","Multiple main languages in household: All household members have the same main language","Multiple main languages in household: Main language differs between generations, but not within partnerships","Multiple main languages in household: Main language differs within partnerships","Multiple main languages in household: Any other combination of multiple main languages"
2021,"Barnet 023","E02000046",2879,822,1521,129,217,190
2021,"Barnet 024","E02000047",4210,959,2241,449,211,350
2021,"Barnet 025","E02000048",3950,1044,2313,219,186,188
2021,"Barnet 026","E02000049",3802,1024,1937,422,187,232
2021,"Barnet 027","E02000050",4034,1147,2200,249,207,231
2021,"Barnet 028","E02000051",3792,1197,2039,180,199,177
2021,"Barnet 029","E02000052",4191,1321,2222,201,263,184
2021,"Barnet 031","E02000054",2970,926,1433,162,178,271
2021,"Barnet 032","E02000055",4508,1335,2285,274,251,363
2021,"Barnet 033","E02000056",3442,844,2156,104,172,166
2021,"Barnet 034","E02000057",2706,686,1569,116,140,195
2021,"Barnet 035","E02000058",4097,1331,2182,187,204,193
2021,"Barnet 036","E02000059",4436,1334,2116,310,271,405
2021,"Barnet 037","E02000060",3693,1104,2060,135,172,222
2021,"Barnet 038","E02000061",3573,1303,1729,106,223,212
2021,"Barnet 039","E02000062",2615,812,1170,266,147,220
2021,"Barnet 040","E02000063",2834,855,1326,239,198,216
2021,"Barnet 041","E02000064",2761,833,1395,222,157,154
2021,"Bexley 001","E02000065",2775,658,1796,126,94,101
2021,"Bexley 002","E02000066",3547,1129,2006,167,105,140
2021,"Bexley 003","E02000067",3982,1129,2422,149,147,135
2021,"Bexley 004","E02000068",3196,959,1916,125,95,101
2021,"Bexley 005","E02000069",2812,781,1780,77,99,75
2021,"Bexley 006","E02000070",3140,789,2110,85,80,76
2021,"Bexley 007","E02000071",2834,655,1996,73,61,49
2021,"Bexley 008","E02000072",4688,1148,3122,161,131,126
2021,"Bexley 009","E02000073",3958,809,2871,101,95,82
2021,"Bexley 010","E02000074",3505,1042,2221,90,83,69
2021,"Bexley 011","E02000075",3148,727,2250,71,51,49
2021,"Bexley 013","E02000077",2936,619,2033,108,83,93
2021,"Bexley 014","E02000078",3020,653,2207,54,52,54
2021,"Bexley 015","E02000079",3586,1049,2246,118,94,79
2021,"Bexley 016","E02000080",3816,932,2501,141,124,118
2021,"Bexley 017","E02000081",3278,901,2143,93,88,53
2021,"Bexley 018","E02000082",3443,725,2464,119,70,65
2021,"Bexley 019","E02000083",4441,1195,2962,100,107,77
2021,"Bexley 020","E02000084",4199,936,2996,71,109,87
2021,"Bexley 021","E02000085",3073,745,2148,57,59,64
2021,"Bexley 022","E02000086",2788,627,2049,41,46,25
2021,"Bexley 023","E02000087",3320,868,2296,51,67,38
2021,"Bexley 024","E02000088",2980,625,2239,40,53,23
2021,"Bexley 025","E02000089",2902,582,2177,56,56,31
2021,"Bexley 026","E02000090",4193,1485,2482,78,95,53
2021,"Bexley 027","E02000091",4449,1539,2714,69,85,42
2021,"Bexley 028","E02000092",2714,777,1778,82,41,36
2021,"Brent 001","E02000093",3740,692,2055,353,219,421
2021,"Brent 002","E02000094",3467,732,1838,372,186,339
2021,"Brent 003","E02000095",3184,574,1714,331,179,386
2021,"Brent 004","E02000096",2496,467,1487,170,116,256
2021,"Brent 005","E02000097",3038,635,1640,302,159,302
2021,"Brent 006","E02000098",2875,621,1555,285,146,268
2021,"Brent 007","E02000099",2917,558,1519,322,196,322
2021,"Brent 008","E02000100",2567,512,1456,201,110,288
2021,"Brent 009","E02000101",3382,870,1681,329,202,300
2021,"Brent 010","E02000102",2685,692,1295,321,143,234
2021,"Brent 011","E02000103",3464,884,1738,367,204,271
2021,"Brent 012","E02000104",2416,615,1150,252,122,277
2021,"Brent 013","E02000105",3107,685,1565,319,174,364
2021,"Brent 014","E02000106",3586,1018,1652,358,195,363
2021,"Brent 015","E02000107",4361,1498,1940,256,258,409
2021,"Brent 016","E02000108",2272,436,1188,293,138,217
2021,"Brent 018","E02000110",3094,928,1578,146,176,266
2021,"Brent 019","E02000111",3190,592,1632,383,177,406
2021,"Brent 020","E02000112",3494,649,1850,348,190,457
2021,"Brent 021","E02000113",3290,840,1618,445,145,242
2021,"Brent 022","E02000114",3707,1245,1685,222,223,332
2021,"Brent 023","E02000115",3877,1488,1763,208,205,213
2021,"Brent 024","E02000116",3239,951,1493,373,175,247
2021,"Brent 025","E02000117",4759,1611,2174,499,197,278
2021,"Brent 026","E02000118",3157,605,1628,388,142,394
2021,"Brent 027","E02000119",3952,1255,1851,444,182,220
2021,"Brent 028","E02000120",4243,1699,1911,164,239,230
2021,"Brent 029","E02000121",3627,735,1762,497,220,413
2021,"Brent 030","E02000122",3159,947,1651,153,153,255
2021,"Brent 031","E02000123",5539,1874,2591,486,209,379
2021,"Brent 032","E02000124",4161,1287,2215,192,230,237
2021,"Brent 033","E02000125",3942,1182,2124,155,202,279
2021,"Brent 034","E02000126",3406,1270,1441,307,186,202
2021,"Bromley 001","E02000127",3785,1152,2298,112,119,104
2021,"Bromley 002","E02000128",3063,776,2090,60,97,40
2021,"Bromley 004","E02000130",3664,1148,2222,77,131,86
2021,"Bromley 005","E02000131",5070,1876,2733,139,238,84
2021,"Bromley 006","E02000132",4942,2039,2500,95,232,76
2021,"Bromley 007","E02000133",4328,1083,2990,48,158,49
2021,"Bromley 008","E02000134",5300,1840,2996,111,250,103
2021,"Bromley 009","E02000135",4444,1680,2278,199,188,99
2021,"Bromley 010","E02000136",2295,666,1505,40,51,33
2021,"Bromley 011","E02000137",3675,1218,2214,68,132,43
2021,"Bromley 012","E02000138",4140,1599,2255,59,166,61
2021,"Bromley 013","E02000139",3309,1040,2058,48,120,43
2021,"Bromley 014","E02000140",3338,988,2125,71,98,56
2021,"Bromley 015","E02000141",3095,962,1877,71,123,62
2021,"Bromley 016","E02000142",3453,897,2298,71,125,62
2021,"Bromley 018","E02000144",4313,1298,2536,143,231,105
2021,"Bromley 019","E02000145",3513,1041,2211,101,91,69
2021,"Bromley 020","E02000146",4041,1243,2524,75,124,75
2021,"Bromley 021","E02000147",3169,781,2192,57,94,45
2021,"Bromley 022","E02000148",2699,673,1871,40,80,35
2021,"Bromley 023","E02000149",3284,898,2189,65,75,57
2021,"Bromley 024","E02000150",3115,654,2259,50,96,56
2021,"Bromley 025","E02000151",2970,644,2147,51,91,37
2021,"Bromley 026","E02000152",3096,825,2045,84,96,46
2021,"Bromley 027","E02000153",2893,516,2211,48,83,35
2021,"Bromley 028","E02000154",3573,997,2312,94,104,66
2021,"Bromley 029","E02000155",3040,899,1968,58,68,47
2021,"Bromley 030","E02000156",4861,1195,3434,51,115,66
2021,"Bromley 031","E02000157",3278,732,2379,78,71,18
2021,"Bromley 032","E02000158",3034,715,2097,85,91,46
2021,"Bromley 033","E02000159",2821,661,2035,33,54,38
2021,"Bromley 034","E02000160",3043,657,2246,41,69,30
2021,"Bromley 035","E02000161",3345,740,2371,95,99,40
2021,"Bromley 036","E02000162",2963,932,1899,61,43,28
2021,"Bromley 037","E02000163",3068,734,2170,56,64,44
2021,"Bromley 039","E02000165",2741,566,2112,17,30,16
2021,"Camden 001","E02000166",3396,1197,1837,95,147,120
2021,"Camden 002","E02000167",3373,1273,1714,77,215,94
2021,"Camden 003","E02000168",3494,1256,1831,101,169,137
2021,"Camden 004","E02000169",3027,878,1692,122,220,115
2021,"Camden 005","E02000170",3465,1158,1806,111,217,173
2021,"Camden 006","E02000171",3331,1209,1671,110,200,141
2021,"Camden 007","E02000172",4035,1452,1903,265,209,206
2021,"Camden 008","E02000173",3501,1426,1559,114,258,144
2021,"Camden 009","E02000174",3551,1273,1778,167,182,151
2021,"Camden 010","E02000175",4309,1706,2057,113,263,170
2021,"Camden 011","E02000176",3002,1345,1286,87,210,74
2021,"Camden 012","E02000177",3653,1328,1715,228,189,193
2021,"Camden 013","E02000178",4166,1611,1896,214,235,210
2021,"Camden 014","E02000179",2548,972,1145,161,151,119
2021,"Camden 015","E02000180",3516,1288,1660,163,177,228
2021,"Camden 016","E02000181",3751,1295,1877,131,308,140
2021,"Camden 017","E02000182",3082,1100,1437,172,205,168
2021,"Camden 018","E02000183",3613,1537,1653,131,166,126
2021,"Camden 019","E02000184",3634,1322,1593,246,191,282
2021,"Camden 020","E02000185",4069,1749,1565,330,210,215
2021,"Camden 021","E02000186",2940,1212,1281,108,143,196
2021,"Camden 022","E02000187",3817,1373,1570,372,210,292
2021,"Camden 023","E02000188",2719,937,1096,260,167,259
2021,"Camden 026","E02000191",2106,1068,740,55,105,138
2021,"Camden 027","E02000192",3090,1305,1236,176,187,186
2021,"Camden 028","E02000193",3100,1630,1084,84,136,166
2021,"Croydon 001","E02000194",4202,1522,2283,120,186,91
2021,"Croydon 002","E02000195",3488,825,2137,177,161,188
2021,"Croydon 003","E02000196",2816,707,1616,149,133,211
2021,"Croydon 004","E02000197",3318,843,1901,195,166,213
2021,"Croydon 005","E02000198",3501,1100,1941,183,118,159
2021,"Croydon 006","E02000199",3205,828,1986,134,131,126
2021,"Croydon 007","E02000200",4002,1433,2159,139,157,114
2021,"Croydon 008","E02000201",3821,1377,2033,156,139,116
2021,"Croydon 009","E02000202",3034,724,1724,196,134,256
2021,"Croydon 010","E02000203",3119,1049,1633,158,88,191
2021,"Croydon 011","E02000204",3227,744,1791,259,153,280
2021,"Croydon 013","E02000206",4465,1496,2393,237,194,145
2021,"Croydon 014","E02000207",3560,1088,2131,127,95,119
2021,"Croydon 015","E02000208",4097,1276,2089,328,185,219
2021,"Croydon 016","E02000209",3062,639,1733,361,125,204
2021,"Croydon 017","E02000210",3444,934,2152,103,132,123
2021,"Croydon 018","E02000211",3293,859,2158,93,112,71
2021,"Croydon 019","E02000212",3263,718,1873,299,153,220
2021,"Croydon 020","E02000213",5392,1886,2642,318,282,264
2021,"Croydon 021","E02000214",2326,483,1613,74,85,71
2021,"Croydon 022","E02000215",5257,1920,2687,199,252,199
2021,"Croydon 023","E02000216",2942,940,1582,176,140,104
2021,"Croydon 024","E02000217",5022,1650,2629,256,268,219
2021,"Croydon 025","E02000218",2352,457,1632,128,65,70
2021,"Croydon 026","E02000219",2984,715,2050,66,67,86
2021,"Croydon 028","E02000221",3988,1096,2350,247,149,146
2021,"Croydon 029","E02000222",3635,1176,2086,117,154,102
2021,"Croydon 030","E02000223",2789,579,1902,184,60,64
2021,"Croydon 031","E02000224",3272,940,2015,97,116,104
2021,"Croydon 032","E02000225",2658,580,1862,101,61,54
2021,"Croydon 033","E02000226",2781,562,2016,65,69,69
2021,"Croydon 034","E02000227",4838,1475,3038,112,117,96
2021,"Croydon 035","E02000228",3007,627,2186,60,71,63
2021,"Croydon 036","E02000229",2237,559,1510,81,48,39
2021,"Croydon 037","E02000230",4231,1215,2597,137,167,115
2021,"Croydon 038","E02000231",2746,496,1978,70,96,106
2021,"Croydon 039","E02000232",2370,524,1717,36,48,45
2021,"Croydon 040","E02000233",2397,527,1669,54,79,68
2021,"Croydon 041","E02000234",3720,967,2460,106,135,52
2021,"Croydon 042","E02000235",2657,544,1952,46,77,38
2021,"Croydon 043","E02000236",3309,562,2553,65,78,51
2021,"Croydon 044","E02000237",3034,758,2155,25,59,37
2021,"Ealing 001","E02000238",3736,881,1992,399,180,284
2021,"Ealing 002","E02000239",2929,535,1620,282,154,338
2021,"Ealing 003","E02000240",3897,862,2159,438,181,257
2021,"Ealing 004","E02000241",2599,578,1445,265,137,174
2021,"Ealing 005","E02000242",2231,409,1143,299,134,246
2021,"Ealing 006","E02000243",3128,848,1565,274,158,283
2021,"Ealing 007","E02000244",2937,826,1388,292,196,235
2021,"Ealing 008","E02000245",3354,865,1741,362,200,186
2021,"Ealing 009","E02000246",3072,634,1684,375,150,229
2021,"Ealing 010","E02000247",3891,962,2076,398,220,235
2021,"Ealing 011","E02000248",2989,881,1409,253,197,249
2021,"Ealing 012","E02000249",2913,735,1525,286,138,229
2021,"Ealing 013","E02000250",2544,660,1527,113,137,107
2021,"Ealing 014","E02000251",2542,463,1361,282,151,285
2021,"Ealing 015","E02000252",4410,1643,1920,279,259,309
2021,"Ealing 016","E02000253",3839,1090,1897,396,229,227
2021,"Ealing 017","E02000254",2610,384,1291,397,152,386
2021,"Ealing 018","E02000255",3791,1042,2089,266,226,168
2021,"Ealing 019","E02000256",4026,1261,2159,162,246,198
2021,"Ealing 021","E02000258",2602,740,1368,133,160,201
2021,"Ealing 022","E02000259",2395,499,1492,165,120,119
2021,"Ealing 023","E02000260",2754,492,1301,399,151,411
2021,"Ealing 024","E02000261",4977,1536,2396,320,300,425
2021,"Ealing 025","E02000262",3946,1368,1915,222,220,221
2021,"Ealing 026","E02000263",3646,633,1593,576,217,627
2021,"Ealing 027","E02000264",3543,1140,1804,141,218,240
2021,"Ealing 028","E02000265",4734,1546,2412,284,264,228
2021,"Ealing 029","E02000266",4295,1071,2053,574,252,345
2021,"Ealing 030","E02000267",3219,852,1884,192,156,135
2021,"Ealing 031","E02000268",3863,1167,2153,144,201,198
2021,"Ealing 032","E02000269",3304,883,1947,117,193,164
2021,"Ealing 033","E02000270",4116,1389,1917,293,289,228
2021,"Ealing 034","E02000271",2975,865,1764,73,169,104
2021,"Ealing 035","E02000272",2540,625,1573,100,139,103
2021,"Ealing 038","E02000275",2348,441,1218,256,139,294
2021,"Ealing 039","E02000276",2724,707,1555,101,188,173
2021,"Enfield 001","E02000277",2627,539,1598,216,99,175
2021,"Enfield 002","E02000278",3336,825,1837,373,154,147
2021,"Enfield 003","E02000279",4415,1089,2526,395,192,213
2021,"Enfield 004","E02000280",3412,927,2159,152,99,75
2021,"Enfield 005","E02000281",3549,943,2055,242,162,147
2021,"Enfield 006","E02000282",3467,863,1806,460,128,210
2021,"Enfield 007","E02000283",2799,479,1710,319,115,176
2021,"Enfield 008","E02000284",3619,1088,2170,131,132,98
2021,"Enfield 009","E02000285",2462,496,1733,67,103,63
2021,"Enfield 010","E02000286",4001,1475,2197,100,164,65
2021,"Enfield 011","E02000287",2873,769,1784,119,115,86
2021,"Enfield 012","E02000288",4053,971,1967,554,220,341
2021,"Enfield 013","E02000289",2425,466,1679,88,116,76
2021,"Enfield 014","E02000290",2519,726,1221,325,128,119
2021,"Enfield 015","E02000291",4330,1467,2256,268,200,139
2021,"Enfield 016","E02000292",3569,832,2145,249,173,170
2021,"Enfield 017","E02000293",2490,619,1640,64,95,72
2021,"Enfield 018","E02000294",3086,636,1660,398,172,220
2021,"Enfield 019","E02000295",3351,930,1919,180,167,155
2021,"Enfield 020","E02000296",4039,1175,2095,298,251,220
2021,"Enfield 021","E02000297",3475,864,2181,139,146,145
2021,"Enfield 022","E02000298",3053,731,2025,77,107,113
2021,"Enfield 023","E02000299",3314,847,1664,407,167,229
2021,"Enfield 024","E02000300",2997,756,1548,325,145,223
2021,"Enfield 025","E02000301",3725,1030,1874,446,180,195
2021,"Enfield 026","E02000302",3114,752,1778,229,153,202
2021,"Enfield 027","E02000303",2976,864,1410,362,134,206
2021,"Enfield 028","E02000304",2908,607,1850,127,163,161
2021,"Enfield 029","E02000305",3454,924,2004,152,192,182
2021,"Enfield 030","E02000306",3404,1027,1577,461,150,189
2021,"Enfield 031","E02000307",3340,665,1795,406,183,291
2021,"Enfield 032","E02000308",3226,830,1696,266,175,259
2021,"Enfield 033","E02000309",3987,977,2024,483,189,314
2021,"Enfield 035","E02000311",3635,824,1813,375,234,389
2021,"Enfield 036","E02000312",4495,1271,2278,300,306,340
2021,"Greenwich 001","E02000313",2597,966,1388,104,58,81
2021,"Greenwich 002","E02000314",4536,1130,2699,281,223,203
2021,"Greenwich 003","E02000315",3490,916,2114,211,112,137
2021,"Greenwich 005","E02000317",2822,784,1570,200,120,148
2021,"Greenwich 006","E02000318",3581,922,1938,217,126,378
2021,"Greenwich 007","E02000319",3919,1115,2171,223,147,263
2021,"Greenwich 008","E02000320",2556,677,1517,134,95,133
2021,"Greenwich 009","E02000321",2960,933,1608,183,104,132
2021,"Greenwich 011","E02000323",4820,1507,2413,322,238,340
2021,"Greenwich 012","E02000324",2854,814,1610,168,122,140
2021,"Greenwich 014","E02000326",3050,859,1744,139,149,159
2021,"Greenwich 015","E02000327",2635,919,1386,144,91,95
2021,"Greenwich 016","E02000328",2946,1032,1665,53,129,67
2021,"Greenwich 017","E02000329",2461,677,1509,88,84,103
2021,"Greenwich 019","E02000331",3192,959,1794,138,134,167
2021,"Greenwich 020","E02000332",2999,859,1855,88,103,94
2021,"Greenwich 021","E02000333",2883,1032,1583,53,161,54
2021,"Greenwich 022","E02000334",2543,689,1531,93,119,111
2021,"Greenwich 023","E02000335",2592,610,1759,61,104,58
2021,"Greenwich 025","E02000337",3087,735,1969,126,134,123
2021,"Greenwich 027","E02000339",2591,817,1572,48,92,62
2021,"Greenwich 028","E02000340",3020,1078,1695,66,101,80
2021,"Greenwich 029","E02000341",2941,732,1878,137,101,93
2021,"Greenwich 030","E02000342",2343,699,1435,69,89,51
2021,"Greenwich 031","E02000343",2695,750,1685,87,103,70
2021,"Greenwich 032","E02000344",2449,599,1656,64,70,60
2021,"Hackney 001","E02000345",2589,746,1379,92,229,143
2021,"Hackney 002","E02000346",3972,1229,1976,298,233,236
2021,"Hackney 003","E02000347",2582,713,1311,157,217,184
2021,"Hackney 004","E02000348",2723,830,1339,201,216,137
2021,"Hackney 006","E02000350",3693,1102,1878,145,231,337
2021,"Hackney 007","E02000351",4231,1470,2134,182,224,221
2021,"Hackney 008","E02000352",2685,858,1419,125,150,133
2021,"Hackney 009","E02000353",3156,910,1779,94,193,180
2021,"Hackney 010","E02000354",3989,1434,1843,271,191,250
2021,"Hackney 011","E02000355",3114,902,1682,126,148,256
2021,"Hackney 012","E02000356",3062,952,1718,98,151,143
2021,"Hackney 013","E02000357",2719,937,1348,190,98,146
2021,"Hackney 014","E02000358",4818,1612,2382,220,248,356
2021,"Hackney 015","E02000359",2437,607,1446,125,101,158
2021,"Hackney 016","E02000360",4851,1668,2299,364,260,260
2021,"Hackney 017","E02000361",3677,1327,1792,181,155,222
2021,"Hackney 018","E02000362",2805,857,1527,128,132,161
2021,"Hackney 019","E02000363",4441,1345,2283,415,158,240
2021,"Hackney 020","E02000364",4100,1456,2086,164,189,205
2021,"Hackney 022","E02000366",3539,1306,1744,163,145,181
2021,"Hackney 023","E02000367",4594,1508,2421,181,223,261
2021,"Hackney 024","E02000368",4151,1416,1988,284,182,281
2021,"Hackney 025","E02000369",5930,1927,2899,398,328,378
2021,"Hackney 026","E02000370",3992,1417,1802,254,224,295
2021,"Hammersmith and Fulham 001","E02000372",3876,1408,1818,237,160,253
2021,"Hammersmith and Fulham 002","E02000373",2537,659,1208,330,131,209
2021,"Hammersmith and Fulham 003","E02000374",2618,757,1351,171,143,196
2021,"Hammersmith and Fulham 004","E02000375",3498,1407,1504,172,204,211
2021,"Hammersmith and Fulham 005","E02000376",3183,1262,1416,126,176,203
2021,"Hammersmith and Fulham 006","E02000377",3447,1317,1650,137,164,179
2021,"Hammersmith and Fulham 007","E02000378",3251,1379,1414,118,194,146
2021,"Hammersmith and Fulham 008","E02000379",3104,1036,1605,137,182,144
2021,"Hammersmith and Fulham 009","E02000380",2498,907,1288,67,148,88
2021,"Hammersmith and Fulham 010","E02000381",3546,1372,1708,115,236,115
2021,"Hammersmith and Fulham 011","E02000382",2772,1037,1365,87,161,122
2021,"Hammersmith and Fulham 012","E02000383",4111,1702,1755,167,245,242
2021,"Hammersmith and Fulham 013","E02000384",3807,1507,1664,200,216,220
2021,"Hammersmith and Fulham 014","E02000385",2850,1188,1275,63,161,163
2021,"Hammersmith and Fulham 015","E02000386",3366,1235,1547,225,171,188
2021,"Hammersmith and Fulham 016","E02000387",2587,933,1220,115,121,198
2021,"Hammersmith and Fulham 017","E02000388",4134,1592,2007,117,210,208
2021,"Hammersmith and Fulham 018","E02000389",3676,1128,1980,105,232,231
2021,"Hammersmith and Fulham 019","E02000390",2719,901,1438,94,140,146
2021,"Hammersmith and Fulham 020","E02000391",3281,1109,1724,93,199,156
2021,"Hammersmith and Fulham 021","E02000392",4041,1398,2068,168,213,194
2021,"Hammersmith and Fulham 022","E02000393",2588,759,1471,58,173,127
2021,"Hammersmith and Fulham 023","E02000394",4346,1647,2142,190,223,144
2021,"Hammersmith and Fulham 024","E02000395",2640,895,1421,58,148,118
2021,"Hammersmith and Fulham 025","E02000396",2770,789,1540,115,174,152
2021,"Haringey 001","E02000397",3472,1231,1593,227,205,216
2021,"Haringey 002","E02000398",2880,941,1331,295,106,207
2021,"Haringey 004","E02000400",3119,872,1642,275,164,166
2021,"Haringey 005","E02000401",2477,615,1280,279,123,180
2021,"Haringey 006","E02000402",2424,672,1217,266,97,172
2021,"Haringey 007","E02000403",2993,884,1430,188,183,308
2021,"Haringey 008","E02000404",2664,738,1228,274,136,288
2021,"Haringey 009","E02000405",2463,584,1621,59,132,67
2021,"Haringey 010","E02000406",2597,727,1273,224,126,247
2021,"Haringey 011","E02000407",3004,960,1400,263,137,244
2021,"Haringey 012","E02000408",3000,852,1473,315,121,239
2021,"Haringey 013","E02000409",2371,710,1104,259,105,193
2021,"Haringey 014","E02000410",2613,752,1556,70,148,87
2021,"Haringey 015","E02000411",3952,1104,1957,345,233,313
2021,"Haringey 016","E02000412",2869,969,1247,246,157,250
2021,"Haringey 017","E02000413",2964,753,1799,138,175,99
2021,"Haringey 018","E02000414",2718,768,1415,177,116,242
2021,"Haringey 019","E02000415",2838,842,1363,203,148,282
2021,"Haringey 020","E02000416",3919,1425,1969,205,205,115
2021,"Haringey 021","E02000417",2867,951,1633,59,151,73
2021,"Haringey 022","E02000418",2212,528,1489,43,97,55
2021,"Haringey 023","E02000419",3645,1110,1755,226,231,323
2021,"Haringey 024","E02000420",3434,1184,1574,252,166,258
2021,"Haringey 025","E02000421",3140,1013,1425,281,142,279
2021,"Haringey 026","E02000422",2887,880,1409,230,150,218
2021,"Haringey 027","E02000423",2672,754,1312,206,129,271
2021,"Haringey 028","E02000424",2984,984,1673,85,149,93
2021,"Haringey 029","E02000425",2163,464,1209,124,151,215
2021,"Haringey 030","E02000426",2741,857,1557,84,147,96
2021,"Haringey 031","E02000427",2870,926,1452,119,172,201
2021,"Haringey 032","E02000428",2921,847,1337,304,152,281
2021,"Haringey 033","E02000429",3202,1215,1631,74,203,79
2021,"Haringey 034","E02000430",3248,1217,1666,69,201,95
2021,"Haringey 035","E02000431",2845,1013,1504,56,198,74
2021,"Haringey 036","E02000432",2797,982,1511,71,119,114
2021,"Harrow 001","E02000433",3544,1099,1989,173,136,147
2021,"Harrow 002","E02000434",3638,920,2110,210,172,226
2021,"Harrow 003","E02000435",2812,671,1639,196,97,209
2021,"Harrow 004","E02000436",2044,339,1452,86,51,116
2021,"Harrow 005","E02000437",3089,753,1787,225,127,197
2021,"Harrow 006","E02000438",3044,756,1782,208,109,189
2021,"Harrow 007","E02000439",2948,614,1571,308,154,301
2021,"Harrow 008","E02000440",3055,474,1980,225,124,252
2021,"Harrow 009","E02000441",2794,730,1642,196,107,119
2021,"Harrow 010","E02000442",2667,405,1401,340,127,394
2021,"Harrow 011","E02000443",3546,785,1954,346,160,301
2021,"Harrow 012","E02000444",2669,418,1540,315,135,261
2021,"Harrow 013","E02000445",3820,875,2060,355,202,328
2021,"Harrow 015","E02000447",2742,461,1765,243,119,154
2021,"Harrow 016","E02000448",2760,726,1720,102,104,108
2021,"Harrow 017","E02000449",2527,444,1386,283,105,309
2021,"Harrow 019","E02000451",2328,457,1472,157,95,147
2021,"Harrow 020","E02000452",3452,905,1779,277,217,274
2021,"Harrow 021","E02000453",3046,692,1757,258,164,175
2021,"Harrow 022","E02000454",2524,423,1735,159,107,100
2021,"Harrow 023","E02000455",4758,1464,2481,290,274,249
2021,"Harrow 024","E02000456",2718,720,1429,225,145,199
2021,"Harrow 025","E02000457",2563,556,1511,208,130,158
2021,"Harrow 027","E02000459",3418,870,1767,382,192,207
2021,"Harrow 028","E02000460",2414,488,1331,297,131,167
2021,"Harrow 029","E02000461",2559,731,1430,145,126,127
2021,"Harrow 030","E02000462",2287,498,1195,252,122,220
2021,"Harrow 031","E02000463",2833,522,1578,382,124,227
2021,"Havering 001","E02000464",2871,739,1920,87,62,63
2021,"Havering 002","E02000465",3492,945,2211,138,99,99
2021,"Havering 003","E02000466",3293,710,2372,79,70,62
2021,"Havering 004","E02000467",4292,1292,2620,161,111,108
2021,"Havering 005","E02000468",3165,728,2182,104,64,87
2021,"Havering 006","E02000469",2698,710,1728,106,57,97
2021,"Havering 007","E02000470",4131,1190,2683,78,117,63
2021,"Havering 008","E02000471",2941,615,2151,51,64,60
2021,"Havering 009","E02000472",3527,772,2491,82,82,100
