"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
2021,"Barnet 012","E02000035",8530,4401,4129
2021,"Barnet 013","E02000036",11244,5748,5496
2021,"Barnet 014","E02000037",10835,5587,5248
2021,"Barnet 015","E02000038",10719,5544,5175
2021,"Barnet 016","E02000039",7168,3674,3494
2021,"Barnet 017","E02000040",9139,4743,4396
2021,"Barnet 018","E02000041",9455,4900,4555
2021,"Barnet 019","E02000042",11559,5885,5674
2021,"Barnet 020","E02000043",7570,3889,3681
2021,"Barnet 021","E02000044",8844,4597,4247
2021,"Barnet 022","E02000045",10524,5505,5019
2021,"Barnet 023","E02000046",6962,3608,3354
2021,"Barnet 024","E02000047",12397,6381,6016
2021,"Barnet 025","E02000048",10283,5398,4885
2021,"Barnet 026","E02000049",10532,5498,5034
2021,"Barnet 027","E02000050",10378,5300,5078
2021,"Barnet 028","E02000051",9160,4806,4354
2021,"Barnet 029","E02000052",9849,5200,4649
2021,"Barnet 031","E02000054",7631,3850,3781
2021,"Barnet 032","E02000055",11725,5948,5777
2021,"Barnet 033","E02000056",9130,4849,4281
2021,"Barnet 034","E02000057",8013,4048,3965
2021,"Barnet 035","E02000058",10227,5439,4788
2021,"Barnet 036","E02000059",11626,5902,5724
2021,"Barnet 037","E02000060",11558,5748,5810
2021,"Barnet 038","E02000061",8346,4284,4062
2021,"Barnet 039","E02000062",6958,3568,3390
2021,"Barnet 040","E02000063",7584,3928,3656
2021,"Barnet 041","E02000064",6676,3464,3212
2021,"Barnet 042","E02006953",9169,4665,4504
2021,"Barnet 043","E02006954",10113,5065,5048
2021,"Bexley 001","E02000065",8062,4144,3918
2021,"Bexley 002","E02000066",9430,4873,4557
2021,"Bexley 003","E02000067",10231,5225,5006
2021,"Bexley 004","E02000068",8176,4323,3853
2021,"Bexley 005","E02000069",7212,3750,3462
2021,"Bexley 006","E02000070",8111,4237,3874
2021,"Bexley 007","E02000071",7672,3952,3720
2021,"Bexley 008","E02000072",12924,6827,6097
2021,"Bexley 009","E02000073",10726,5508,5218
2021,"Bexley 010","E02000074",8861,4666,4195
2021,"Bexley 011","E02000075",7986,4133,3853
2021,"Bexley 013","E02000077",8140,4270,3870
2021,"Bexley 014","E02000078",7933,4092,3841
2021,"Bexley 015","E02000079",8770,4633,4137
2021,"Bexley 016","E02000080",10065,5147,4918
2021,"Bexley 017","E02000081",8306,4336,3970
2021,"Bexley 018","E02000082",9336,4702,4634
2021,"Bexley 019","E02000083",11270,5817,5453
2021,"Bexley 020","E02000084",11115,5717,5398
2021,"Bexley 021","E02000085",7961,4173,3788
2021,"Bexley 022","E02000086",7178,3718,3460
2021,"Bexley 023","E02000087",8209,4195,4014
2021,"Bexley 024","E02000088",7750,3979,3771
2021,"Bexley 025","E02000089",7869,4000,3869
2021,"Bexley 026","E02000090",9638,5141,4497
2021,"Bexley 027","E02000091",10164,5378,4786
2021,"Bexley 028","E02000092",6753,3607,3146
2021,"Bexley 029","E02006785",6623,3426,3197
2021,"Brent 001","E02000093",11877,5894,5983
2021,"Brent 002","E02000094",10462,5212,5250
2021,"Brent 003","E02000095",10461,5141,5320
2021,"Brent 004","E02000096",7632,3867,3765
2021,"Brent 005","E02000097",9532,4776,4756
2021,"Brent 006","E02000098",8744,4468,4276
2021,"Brent 007","E02000099",9560,4670,4890
2021,"Brent 008","E02000100",8319,4303,4016
2021,"Brent 009","E02000101",9937,5204,4733
2021,"Brent 010","E02000102",8328,4141,4187
2021,"Brent 011","E02000103",9973,5198,4775
2021,"Brent 012","E02000104",7505,3718,3787
2021,"Brent 013","E02000105",9844,4869,4975
2021,"Brent 014","E02000106",10353,5162,5191
2021,"Brent 015","E02000107",10937,5562,5375
2021,"Brent 016","E02000108",7259,3644,3615
2021,"Brent 018","E02000110",8175,4159,4016
2021,"Brent 019","E02000111",11284,5499,5785
2021,"Brent 020","E02000112",11749,5771,5978
2021,"Brent 021","E02000113",9630,5076,4554
2021,"Brent 022","E02000114",8996,4573,4423
2021,"Brent 023","E02000115",8622,4359,4263
2021,"Brent 024","E02000116",8549,4519,4030
2021,"Brent 025","E02000117",12733,6872,5861
2021,"Brent 026","E02000118",11294,5570,5724
2021,"Brent 027","E02000119",10624,5559,5065
2021,"Brent 028","E02000120",9017,4738,4279
2021,"Brent 029","E02000121",12240,6124,6116
2021,"Brent 030","E02000122",8177,4249,3928
2021,"Brent 031","E02000123",13578,7143,6435
2021,"Brent 032","E02000124",9954,5331,4623
2021,"Brent 033","E02000125",9941,5270,4671
2021,"Brent 034","E02000126",8194,4243,3951
2021,"Brent 035","E02006955",7508,3909,3599
2021,"Brent 036","E02006956",8830,4329,4501
2021,"Bromley 001","E02000127",9330,4963,4367
2021,"Bromley 002","E02000128",7789,3999,3790
2021,"Bromley 004","E02000130",8426,4471,3955
2021,"Bromley 005","E02000131",10485,5474,5011
2021,"Bromley 006","E02000132",9832,5089,4743
2021,"Bromley 007","E02000133",10753,5594,5159
2021,"Bromley 008","E02000134",11751,6112,5639
2021,"Bromley 009","E02000135",9871,5270,4601
2021,"Bromley 010","E02000136",5744,3011,2733
2021,"Bromley 011","E02000137",8402,4423,3979
2021,"Bromley 012","E02000138",8502,4462,4040
2021,"Bromley 013","E02000139",7714,4001,3713
2021,"Bromley 014","E02000140",8680,4562,4118
2021,"Bromley 015","E02000141",7232,3801,3431
2021,"Bromley 016","E02000142",8816,4635,4181
2021,"Bromley 018","E02000144",10063,5147,4916
2021,"Bromley 019","E02000145",8824,4768,4056
2021,"Bromley 020","E02000146",9703,5106,4597
2021,"Bromley 021","E02000147",8190,4124,4066
2021,"Bromley 022","E02000148",6723,3481,3242
2021,"Bromley 023","E02000149",8166,4244,3922
2021,"Bromley 024","E02000150",8516,4380,4136
2021,"Bromley 025","E02000151",7542,3895,3647
2021,"Bromley 026","E02000152",7966,4150,3816
2021,"Bromley 027","E02000153",8106,4164,3942
2021,"Bromley 028","E02000154",8528,4357,4171
2021,"Bromley 029","E02000155",7156,3700,3456
2021,"Bromley 030","E02000156",12292,6314,5978
2021,"Bromley 031","E02000157",8367,4322,4045
2021,"Bromley 032","E02000158",7788,4102,3686
2021,"Bromley 033","E02000159",7117,3666,3451
2021,"Bromley 034","E02000160",8108,4160,3948
2021,"Bromley 035","E02000161",8702,4464,4238
2021,"Bromley 036","E02000162",7121,3806,3315
2021,"Bromley 037","E02000163",7716,3973,3743
2021,"Bromley 039","E02000165",7172,3667,3505
2021,"Bromley 040","E02006782",8126,4315,3811
2021,"Bromley 041","E02006787",7894,4079,3815
2021,"Bromley 042","E02006789",6780,3485,3295
2021,"Camden 001","E02000166",7745,4157,3588
2021,"Camden 002","E02000167",7199,3767,3432
2021,"Camden 003","E02000168",7814,4141,3673
2021,"Camden 004","E02000169",7177,3771,3406
2021,"Camden 005","E02000170",7916,4127,3789
2021,"Camden 006","E02000171",7391,3931,3460
2021,"Camden 007","E02000172",9998,5338,4660
2021,"Camden 008","E02000173",7493,3953,3540
2021,"Camden 009","E02000174",8086,4407,3679
2021,"Camden 010","E02000175",9082,4770,4312
2021,"Camden 011","E02000176",5914,3152,2762
2021,"Camden 012","E02000177",8488,4594,3894
2021,"Camden 013","E02000178",8903,4696,4207
2021,"Camden 014","E02000179",5748,3049,2699
2021,"Camden 015","E02000180",7879,4129,3750
2021,"Camden 016","E02000181",8076,4215,3861
2021,"Camden 017","E02000182",7117,3819,3298
2021,"Camden 018","E02000183",7591,3942,3649
2021,"Camden 019","E02000184",8908,4637,4271
2021,"Camden 020","E02000185",8881,4749,4132
2021,"Camden 021","E02000186",6223,3217,3006
2021,"Camden 022","E02000187",9784,5185,4599
2021,"Camden 023","E02000188",7179,3854,3325
2021,"Camden 026","E02000191",5337,2721,2616
2021,"Camden 027","E02000192",6659,3321,3338
2021,"Camden 028","E02000193",5961,2953,3008
2021,"Camden 029","E02007115",11588,6058,5530
2021,"Croydon 001","E02000194",9211,4840,4371
2021,"Croydon 002","E02000195",9649,5043,4606
2021,"Croydon 003","E02000196",7913,4152,3761
2021,"Croydon 004","E02000197",9025,4688,4337
2021,"Croydon 005","E02000198",8885,4695,4190
2021,"Croydon 006","E02000199",8413,4379,4034
2021,"Croydon 007","E02000200",9049,4767,4282
2021,"Croydon 008","E02000201",8692,4663,4029
2021,"Croydon 009","E02000202",8929,4600,4329
2021,"Croydon 010","E02000203",7965,4162,3803
2021,"Croydon 011","E02000204",9655,4955,4700
2021,"Croydon 013","E02000206",10818,5672,5146
2021,"Croydon 014","E02000207",8902,4713,4189
2021,"Croydon 015","E02000208",10862,5675,5187
2021,"Croydon 016","E02000209",9067,4704,4363
2021,"Croydon 017","E02000210",8713,4527,4186
2021,"Croydon 018","E02000211",8273,4311,3962
2021,"Croydon 019","E02000212",9462,4883,4579
2021,"Croydon 020","E02000213",12798,6458,6340
2021,"Croydon 021","E02000214",6236,3187,3049
2021,"Croydon 022","E02000215",11825,5944,5881
2021,"Croydon 023","E02000216",7162,3653,3509
2021,"Croydon 024","E02000217",11925,6129,5796
2021,"Croydon 025","E02000218",6671,3583,3088
2021,"Croydon 026","E02000219",7629,4001,3628
2021,"Croydon 028","E02000221",10858,5684,5174
2021,"Croydon 029","E02000222",8350,4324,4026
2021,"Croydon 030","E02000223",8530,4690,3840
2021,"Croydon 031","E02000224",8053,4185,3868
2021,"Croydon 032","E02000225",7499,3961,3538
2021,"Croydon 033","E02000226",7615,3896,3719
2021,"Croydon 034","E02000227",11681,6211,5470
2021,"Croydon 035","E02000228",7956,4055,3901
2021,"Croydon 036","E02000229",6235,3249,2986
2021,"Croydon 037","E02000230",10502,5394,5108
2021,"Croydon 038","E02000231",7930,4056,3874
2021,"Croydon 039","E02000232",6199,3257,2942
2021,"Croydon 040","E02000233",6364,3304,3060
2021,"Croydon 041","E02000234",9449,4898,4551
2021,"Croydon 042","E02000235",6891,3546,3345
2021,"Croydon 043","E02000236",9130,4632,4498
2021,"Croydon 044","E02000237",7601,3970,3631
2021,"Croydon 045","E02006788",7611,4104,3507
2021,"Croydon 046","E02006987",7373,3653,3720
2021,"Croydon 047","E02006988",7161,3632,3529
2021,"Ealing 001","E02000238",10707,5325,5382
2021,"Ealing 002","E02000239",9042,4605,4437
2021,"Ealing 003","E02000240",11209,5753,5456
2021,"Ealing 004","E02000241",7395,3782,3613
2021,"Ealing 005","E02000242",6885,3386,3499
2021,"Ealing 006","E02000243",8722,4417,4305
2021,"Ealing 007","E02000244",7889,3811,4078
2021,"Ealing 008","E02000245",9308,4855,4453
2021,"Ealing 009","E02000246",9461,4768,4693
2021,"Ealing 010","E02000247",11155,5748,5407
2021,"Ealing 011","E02000248",7717,3838,3879
2021,"Ealing 012","E02000249",8378,4256,4122
2021,"Ealing 013","E02000250",6482,3338,3144
2021,"Ealing 014","E02000251",8313,4132,4181
2021,"Ealing 015","E02000252",12238,6290,5948
2021,"Ealing 016","E02000253",10344,5436,4908
2021,"Ealing 017","E02000254",9209,4549,4660
2021,"Ealing 018","E02000255",9862,5137,4725
2021,"Ealing 019","E02000256",9183,4678,4505
2021,"Ealing 021","E02000258",6901,3479,3422
2021,"Ealing 022","E02000259",6584,3340,3244
2021,"Ealing 023","E02000260",9835,4803,5032
2021,"Ealing 024","E02000261",12652,6573,6079
2021,"Ealing 025","E02000262",9348,4801,4547
2021,"Ealing 026","E02000263",13706,6601,7105
2021,"Ealing 027","E02000264",8494,4274,4220
2021,"Ealing 028","E02000265",11234,5777,5457
2021,"Ealing 029","E02000266",13114,6672,6442
2021,"Ealing 030","E02000267",8150,4209,3941
2021,"Ealing 031","E02000268",9250,4754,4496
2021,"Ealing 032","E02000269",8167,4257,3910
2021,"Ealing 033","E02000270",9607,4976,4631
2021,"Ealing 034","E02000271",6950,3665,3285
2021,"Ealing 035","E02000272",6713,3445,3268
2021,"Ealing 038","E02000275",8170,4028,4142
2021,"Ealing 039","E02000276",6761,3479,3282
2021,"Ealing 040","E02006791",7566,3916,3650
2021,"Ealing 041","E02006968",8349,4265,4084
2021,"Ealing 042","E02006969",6424,3257,3167
2021,"Ealing 043","E02006970",7343,3467,3876
2021,"Ealing 044","E02006971",8295,4064,4231
2021,"Enfield 001","E02000277",7524,3931,3593
2021,"Enfield 002","E02000278",9430,5053,4377
2021,"Enfield 003","E02000279",12320,6547,5773
2021,"Enfield 004","E02000280",8634,4560,4074
2021,"Enfield 005","E02000281",9653,5113,4540
2021,"Enfield 006","E02000282",9951,5373,4578
2021,"Enfield 007","E02000283",8537,4452,4085
2021,"Enfield 008","E02000284",8741,4582,4159
2021,"Enfield 009","E02000285",6643,3441,3202
2021,"Enfield 010","E02000286",8688,4659,4029
2021,"Enfield 011","E02000287",7357,3811,3546
2021,"Enfield 012","E02000288",12784,6729,6055
2021,"Enfield 013","E02000289",6774,3493,3281
2021,"Enfield 014","E02000290",6687,3534,3153
2021,"Enfield 015","E02000291",10162,5368,4794
2021,"Enfield 016","E02000292",9837,5187,4650
2021,"Enfield 017","E02000293",6397,3276,3121
2021,"Enfield 018","E02000294",9369,4896,4473
2021,"Enfield 019","E02000295",8688,4531,4157
2021,"Enfield 020","E02000296",10343,5405,4938
2021,"Enfield 021","E02000297",9398,4795,4603
2021,"Enfield 022","E02000298",8253,4208,4045
2021,"Enfield 023","E02000299",9495,4972,4523
2021,"Enfield 024","E02000300",8855,4624,4231
2021,"Enfield 025","E02000301",10220,5506,4714
2021,"Enfield 026","E02000302",8668,4372,4296
2021,"Enfield 027","E02000303",8367,4411,3956
2021,"Enfield 028","E02000304",8039,4154,3885
2021,"Enfield 029","E02000305",8878,4558,4320
2021,"Enfield 030","E02000306",9134,4886,4248
2021,"Enfield 031","E02000307",10112,5258,4854
2021,"Enfield 032","E02000308",8759,4433,4326
2021,"Enfield 033","E02000309",11794,6050,5744
2021,"Enfield 035","E02000311",10544,5378,5166
2021,"Enfield 036","E02000312",11303,5754,5549
2021,"Enfield 037","E02006793",9645,5173,4472
2021,"Greenwich 001","E02000313",6489,3337,3152
2021,"Greenwich 002","E02000314",14106,6694,7412
2021,"Greenwich 003","E02000315",9871,5076,4795
2021,"Greenwich 005","E02000317",7561,3922,3639
2021,"Greenwich 006","E02000318",11061,5618,5443
2021,"Greenwich 007","E02000319",10618,5329,5289
2021,"Greenwich 008","E02000320",7041,3559,3482
2021,"Greenwich 009","E02000321",7721,4084,3637
2021,"Greenwich 011","E02000323",12860,6708,6152
2021,"Greenwich 012","E02000324",7867,4094,3773
2021,"Greenwich 014","E02000326",7798,3959,3839
2021,"Greenwich 015","E02000327",6625,3434,3191
2021,"Greenwich 016","E02000328",6512,3405,3107
2021,"Greenwich 017","E02000329",6331,3290,3041
2021,"Greenwich 019","E02000331",8235,4284,3951
2021,"Greenwich 020","E02000332",7451,3785,3666
2021,"Greenwich 021","E02000333",6242,3248,2994
2021,"Greenwich 022","E02000334",6639,3393,3246
2021,"Greenwich 023","E02000335",6675,3446,3229
2021,"Greenwich 025","E02000337",8471,4380,4091
2021,"Greenwich 027","E02000339",6291,3273,3018
2021,"Greenwich 028","E02000340",6865,3532,3333
2021,"Greenwich 029","E02000341",7995,4228,3767
2021,"Greenwich 030","E02000342",6347,3443,2904
2021,"Greenwich 031","E02000343",7047,3614,3433
2021,"Greenwich 032","E02000344",6430,3257,3173
2021,"Greenwich 033","E02006786",7558,3973,3585
2021,"Greenwich 034","E02006927",12367,6519,5848
2021,"Greenwich 035","E02006928",12093,6324,5769
2021,"Greenwich 037","E02006930",9846,4943,4903
2021,"Greenwich 038","E02006931",9461,4873,4588
2021,"Greenwich 039","E02006991",6319,3133,3186
2021,"Greenwich 040","E02006992",8229,4268,3961
2021,"Greenwich 041","E02006993",8400,4235,4165
2021,"Greenwich 042","E02006994",7641,3910,3731
2021,"Hackney 001","E02000345",8199,4168,4031
2021,"Hackney 002","E02000346",9398,4901,4497
2021,"Hackney 003","E02000347",8153,4197,3956
2021,"Hackney 004","E02000348",8106,4177,3929
2021,"Hackney 006","E02000350",10241,5294,4947
2021,"Hackney 007","E02000351",9286,4855,4431
2021,"Hackney 008","E02000352",6749,3601,3148
2021,"Hackney 009","E02000353",7763,4029,3734
2021,"Hackney 010","E02000354",9609,5075,4534
2021,"Hackney 011","E02000355",8194,4359,3835
2021,"Hackney 012","E02000356",7034,3679,3355
2021,"Hackney 013","E02000357",6845,3579,3266
2021,"Hackney 014","E02000358",11090,5867,5223
2021,"Hackney 015","E02000359",6697,3578,3119
2021,"Hackney 016","E02000360",11512,6016,5496
2021,"Hackney 017","E02000361",8058,4288,3770
2021,"Hackney 018","E02000362",6961,3525,3436
2021,"Hackney 019","E02000363",11883,6370,5513
2021,"Hackney 020","E02000364",9217,4828,4389
2021,"Hackney 022","E02000366",8328,4406,3922
2021,"Hackney 023","E02000367",10420,5438,4982
2021,"Hackney 024","E02000368",9922,5262,4660
2021,"Hackney 025","E02000369",13458,6900,6558
2021,"Hackney 026","E02000370",8863,4605,4258
2021,"Hackney 028","E02006918",8398,4410,3988
2021,"Hackney 029","E02006921",7926,4251,3675
2021,"Hackney 030","E02007108",5941,2916,3025
2021,"Hackney 031","E02007109",7614,3993,3621
2021,"Hackney 032","E02007110",7332,3793,3539
2021,"Hackney 033","E02007111",5949,2942,3007
2021,"Hammersmith and Fulham 001","E02000372",9984,5117,4867
2021,"Hammersmith and Fulham 002","E02000373",7034,3826,3208
2021,"Hammersmith and Fulham 003","E02000374",6914,3761,3153
2021,"Hammersmith and Fulham 004","E02000375",7483,3912,3571
2021,"Hammersmith and Fulham 005","E02000376",6701,3454,3247
2021,"Hammersmith and Fulham 006","E02000377",7795,4099,3696
2021,"Hammersmith and Fulham 007","E02000378",6433,3402,3031
2021,"Hammersmith and Fulham 008","E02000379",7388,3965,3423
2021,"Hammersmith and Fulham 009","E02000380",5508,2870,2638
2021,"Hammersmith and Fulham 010","E02000381",7628,4052,3576
2021,"Hammersmith and Fulham 011","E02000382",6190,3228,2962
2021,"Hammersmith and Fulham 012","E02000383",8462,4562,3900
2021,"Hammersmith and Fulham 013","E02000384",8267,4404,3863
2021,"Hammersmith and Fulham 014","E02000385",5614,2882,2732
2021,"Hammersmith and Fulham 015","E02000386",7582,4048,3534
2021,"Hammersmith and Fulham 016","E02000387",6025,3196,2829
2021,"Hammersmith and Fulham 017","E02000388",8657,4503,4154
2021,"Hammersmith and Fulham 018","E02000389",8648,4544,4104
2021,"Hammersmith and Fulham 019","E02000390",6192,3312,2880
2021,"Hammersmith and Fulham 020","E02000391",7587,3937,3650
2021,"Hammersmith and Fulham 021","E02000392",9229,5063,4166
2021,"Hammersmith and Fulham 022","E02000393",5975,3276,2699
2021,"Hammersmith and Fulham 023","E02000394",9281,5048,4233
2021,"Hammersmith and Fulham 024","E02000395",5680,3082,2598
2021,"Hammersmith and Fulham 025","E02000396",6898,3671,3227
2021,"Haringey 001","E02000397",7907,4064,3843
2021,"Haringey 002","E02000398",7519,3927,3592
2021,"Haringey 004","E02000400",7988,4223,3765
2021,"Haringey 005","E02000401",6864,3611,3253
2021,"Haringey 006","E02000402",6472,3515,2957
2021,"Haringey 007","E02000403",7513,3854,3659
2021,"Haringey 008","E02000404",7111,3676,3435
2021,"Haringey 009","E02000405",6474,3375,3099
2021,"Haringey 010","E02000406",6736,3553,3183
2021,"Haringey 011","E02000407",7605,3868,3737
2021,"Haringey 012","E02000408",8252,4338,3914
2021,"Haringey 013","E02000409",6061,3194,2867
2021,"Haringey 014","E02000410",6418,3375,3043
2021,"Haringey 015","E02000411",11428,5892,5536
2021,"Haringey 016","E02000412",7323,3721,3602
2021,"Haringey 017","E02000413",7763,4099,3664
2021,"Haringey 018","E02000414",7079,3560,3519
2021,"Haringey 019","E02000415",7242,3750,3492
2021,"Haringey 020","E02000416",8453,4400,4053
2021,"Haringey 021","E02000417",6556,3362,3194
2021,"Haringey 022","E02000418",5431,2846,2585
2021,"Haringey 023","E02000419",8736,4428,4308
2021,"Haringey 024","E02000420",7988,4139,3849
2021,"Haringey 025","E02000421",8511,4419,4092
2021,"Haringey 026","E02000422",7458,3860,3598
2021,"Haringey 027","E02000423",6907,3496,3411
2021,"Haringey 028","E02000424",6754,3671,3083
2021,"Haringey 029","E02000425",8169,4020,4149
2021,"Haringey 030","E02000426",6492,3407,3085
2021,"Haringey 031","E02000427",6621,3327,3294
2021,"Haringey 032","E02000428",8434,4298,4136
2021,"Haringey 033","E02000429",6793,3520,3273
2021,"Haringey 034","E02000430",6922,3608,3314
2021,"Haringey 035","E02000431",5848,3063,2785
2021,"Haringey 036","E02000432",6120,3161,2959
2021,"Haringey 037","E02006794",8286,4370,3916
2021,"Harrow 001","E02000433",8602,4615,3987
2021,"Harrow 002","E02000434",9848,5063,4785
2021,"Harrow 003","E02000435",8191,4289,3902
2021,"Harrow 004","E02000436",5758,2957,2801
2021,"Harrow 005","E02000437",8760,4523,4237
2021,"Harrow 006","E02000438",8548,4577,3971
2021,"Harrow 007","E02000439",9266,4646,4620
2021,"Harrow 008","E02000440",9605,4862,4743
2021,"Harrow 009","E02000441",7481,3880,3601
2021,"Harrow 010","E02000442",9585,4561,5024
2021,"Harrow 011","E02000443",10747,5492,5255
2021,"Harrow 012","E02000444",8715,4338,4377
2021,"Harrow 013","E02000445",11773,5927,5846
2021,"Harrow 015","E02000447",8192,4123,4069
2021,"Harrow 016","E02000448",7070,3668,3402
2021,"Harrow 017","E02000449",8295,4133,4162
2021,"Harrow 019","E02000451",6711,3436,3275
2021,"Harrow 020","E02000452",9503,4754,4749
2021,"Harrow 021","E02000453",8386,4232,4154
2021,"Harrow 022","E02000454",7339,3785,3554
2021,"Harrow 023","E02000455",11669,5869,5800
2021,"Harrow 024","E02000456",7823,3900,3923
2021,"Harrow 025","E02000457",7059,3550,3509
2021,"Harrow 027","E02000459",9326,4810,4516
2021,"Harrow 028","E02000460",7312,3776,3536
2021,"Harrow 029","E02000461",7290,3330,3960
2021,"Harrow 030","E02000462",6982,3547,3435
2021,"Harrow 031","E02000463",8706,4424,4282
2021,"Harrow 032","E02006795",8269,4080,4189
2021,"Harrow 033","E02006882",14394,7259,7135
2021,"Havering 001","E02000464",7757,4075,3682
2021,"Havering 002","E02000465",9346,4775,4571
2021,"Havering 003","E02000466",9069,4733,4336
2021,"Havering 004","E02000467",11457,5973,5484
2021,"Havering 005","E02000468",8650,4572,4078
2021,"Havering 006","E02000469",7283,3773,3510
2021,"Havering 007","E02000470",9782,5012,4770
2021,"Havering 008","E02000471",7820,3987,3833
2021,"Havering 009","E02000472",9472,4870,4602
2021,"Havering 010","E02000473",10493,5409,5084
2021,"Havering 011","E02000474",9185,4820,4365
2021,"Havering 012","E02000475",9612,4995,4617
2021,"Havering 013","E02000476",9363,4803,4560
2021,"Havering 014","E02000477",9535,4903,4632
2021,"Havering 015","E02000478",5990,3041,2949
2021,"Havering 016","E02000479",9449,4969,4480
2021,"Havering 017","E02000480",13842,7230,6612
2021,"Havering 018","E02000481",8234,4331,3903
2021,"Havering 019","E02000482",6588,3389,3199
2021,"Havering 020","E02000483",8001,4163,3838
2021,"Havering 021","E02000484",8492,4349,4143
2021,"Havering 022","E02000485",8476,4387,4089
2021,"Havering 023","E02000486",7355,3752,3603
2021,"Havering 024","E02000487",7912,4131,3781
2021,"Havering 025","E02000488",7579,3884,3695
2021,"Havering 026","E02000489",8635,4493,4142
2021,"Havering 027","E02000490",8471,4353,4118
2021,"Havering 028","E02000491",10639,5464,5175
2021,"Havering 029","E02000492",6830,3519,3311
2021,"Havering 030","E02000493",6737,3515,3222
2021,"Hillingdon 001","E02000494",7958,4204,3754
2021,"Hillingdon 002","E02000495",10417,5425,4992
2021,"Hillingdon 003","E02000496",7801,3982,3819
2021,"Hillingdon 004","E02000497",9522,4940,4582
2021,"Hillingdon 005","E02000498",6377,3331,3046
2021,"Hillingdon 006","E02000499",7727,3950,3777
2021,"Hillingdon 007","E02000500",8278,4256,4022
2021,"Hillingdon 008","E02000501",8475,4414,4061
2021,"Hillingdon 009","E02000502",8929,4603,4326
2021,"Hillingdon 010","E02000503",8688,4440,4248
2021,"Hillingdon 011","E02000504",7644,3905,3739
2021,"Hillingdon 013","E02000506",7961,4021,3940
2021,"Hillingdon 014","E02000507",8244,4199,4045
2021,"Hillingdon 015","E02000508",11949,6029,5920
2021,"Hillingdon 016","E02000509",10555,5165,5390
2021,"Hillingdon 017","E02000510",9115,4697,4418
2021,"Hillingdon 018","E02000511",9932,5011,4921
2021,"Hillingdon 019","E02000512",8823,4482,4341
2021,"Hillingdon 020","E02000513",9760,4988,4772
2021,"Hillingdon 021","E02000514",10674,5196,5478
2021,"Hillingdon 022","E02000515",13293,6580,6713
2021,"Hillingdon 023","E02000516",8646,4347,4299
2021,"Hillingdon 024","E02000517",10470,5310,5160
2021,"Hillingdon 025","E02000518",9632,5055,4577
2021,"Hillingdon 026","E02000519",9554,4815,4739
2021,"Hillingdon 027","E02000520",14062,6986,7076
2021,"Hillingdon 028","E02000521",13190,6687,6503
2021,"Hillingdon 029","E02000522",9574,4815,4759
2021,"Hillingdon 030","E02000523",11368,5542,5826
2021,"Hillingdon 031","E02000524",7535,3628,3907
2021,"Hillingdon 032","E02000525",10062,5017,5045
2021,"Hillingdon 033","E02006796",9694,4840,4854
2021,"Hounslow 001","E02000526",8640,4466,4174
2021,"Hounslow 004","E02000529",9716,4930,4786
2021,"Hounslow 005","E02000530",8117,4146,3971
2021,"Hounslow 006","E02000531",11583,5935,5648
2021,"Hounslow 007","E02000532",8976,4581,4395
2021,"Hounslow 008","E02000533",8402,4328,4074
2021,"Hounslow 009","E02000534",8558,4313,4245
2021,"Hounslow 010","E02000535",10052,4964,5088
2021,"Hounslow 011","E02000536",10841,5491,5350
