"date","geography","geography code","Communal establishment management and type: Total: All usual residents in communal establishments","Communal establishment management and type: Medical and care establishment","Communal establishment management and type: Medical and care establishment:NHS","Communal establishment management and type: Medical and care establishment: NHS: General hospital","Communal establishment management and type: Medical and care establishment: NHS: Mental health hospital or unit (including secure units)","Communal establishment management and type: Medical and care establishment: NHS: Other hospital","Communal establishment management and type: Medical and care establishment:Local Authority","Communal establishment management and type: Medical and care establishment: Local Authority: Children's home (including secure units)","Communal establishment management and type: Medical and care establishment: Local Authority: Care home with nursing","Communal establishment management and type: Medical and care establishment: Local Authority: Care home without nursing","Communal establishment management and type: Medical and care establishment: Local Authority: Other home","Communal establishment management and type: Medical and care establishment:Registered Social Landlord or Housing Association","Communal establishment management and type: Medical and care establishment: Registered Social Landlord or Housing Association: Home or hostel","Communal establishment management and type: Medical and care establishment:Other","Communal establishment management and type: Medical and care establishment: Other: Care home with nursing","Communal establishment management and type: Medical and care establishment: Other: Care home without nursing","Communal establishment management and type: Medical and care establishment: Other: Children's home (including secure units)","Communal establishment management and type: Medical and care establishment: Other: Mental health hospital or unit (including secure units)","Communal establishment management and type: Medical and care establishment: Other: Other hospital","Communal establishment management and type: Medical and care establishment: Other: Other establishment","Communal establishment management and type: Other establishment","Communal establishment management and type: Other establishment: Defence","Communal establishment management and type: Other establishment: Prison service","Communal establishment management and type: Other establishment: Approved premises (probation or bail hostel)","Communal establishment management and type: Other establishment: Detention centres and other detention","Communal establishment management and type: Other establishment: Education","Communal establishment management and type: Other establishment: Hotel, guest house, B&B or youth hostel","Communal establishment management and type: Other establishment: Hostel or temporary shelter for the homeless","Communal establishment management and type: Other establishment: Holiday accommodation","Communal establishment management and type: Other establishment: Other travel or temporary accommodation","Communal establishment management and type: Other establishment: Religious","Communal establishment management and type: Other establishment: Staff or worker accommodation or Other","Communal establishment management and type: Establishment not stated"
2021,"Barking and Dagenham 011","E02000012",7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 012","E02000013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 013","E02000014",47,46,0,0,0,0,0,0,0,0,0,0,0,46,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barking and Dagenham 014","E02000015",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barking and Dagenham 015","E02000016",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,2
2021,"Barking and Dagenham 016","E02000017",45,35,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2021,"Barking and Dagenham 017","E02000018",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021,"Barking and Dagenham 018","E02000019",59,57,0,0,0,0,0,0,0,0,0,0,0,57,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Barking and Dagenham 019","E02000020",9,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barking and Dagenham 020","E02000021",101,93,0,0,0,0,0,0,0,0,0,0,0,93,93,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3
2021,"Barking and Dagenham 021","E02000022",28,15,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0
2021,"Barking and Dagenham 022","E02000023",87,16,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,59,0,0,0,0,0,0,59,0,0,0,0,12
2021,"Barnet 001","E02000024",104,103,0,0,0,0,0,0,0,0,0,0,0,103,76,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barnet 002","E02000025",4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 003","E02000026",28,16,0,0,0,0,7,0,0,7,0,0,0,9,0,9,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0
2021,"Barnet 004","E02000027",103,99,0,0,0,0,8,0,0,8,0,0,0,91,56,25,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Barnet 005","E02000028",16,16,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 006","E02000029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 007","E02000030",96,92,0,0,0,0,0,0,0,0,0,0,0,92,77,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Barnet 008","E02000031",165,154,0,0,0,0,0,0,0,0,0,7,7,147,0,147,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,1
2021,"Barnet 009","E02000032",10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 010","E02000033",45,45,0,0,0,0,39,0,0,39,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 011","E02000034",43,43,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 012","E02000035",317,193,0,0,0,0,58,0,0,58,0,0,0,135,48,87,0,0,0,0,117,0,0,0,0,114,0,0,0,0,0,3,7
2021,"Barnet 013","E02000036",58,41,0,0,0,0,0,0,0,0,0,0,0,41,14,27,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,6
2021,"Barnet 014","E02000037",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barnet 015","E02000038",253,251,0,0,0,0,0,0,0,0,0,0,0,251,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Barnet 016","E02000039",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Barnet 017","E02000040",280,36,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,156,0,0,0,0,156,0,0,0,0,0,0,88
2021,"Barnet 018","E02000041",42,42,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 019","E02000042",209,198,0,0,0,0,40,0,0,40,0,0,0,158,42,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2021,"Barnet 020","E02000043",75,75,0,0,0,0,0,0,0,0,0,0,0,75,29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 021","E02000044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 022","E02000045",40,40,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 023","E02000046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 024","E02000047",62,62,6,0,0,6,0,0,0,0,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 025","E02000048",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 026","E02000049",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Barnet 027","E02000050",26,13,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,2
2021,"Barnet 028","E02000051",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,44,0,0,0,2,0
2021,"Barnet 029","E02000052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 031","E02000054",37,37,0,0,0,0,0,0,0,0,0,0,0,37,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 032","E02000055",109,22,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,87,0,0,0,0,87,0,0,0,0,0,0,0
2021,"Barnet 033","E02000056",79,79,0,0,0,0,0,0,0,0,0,0,0,79,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 034","E02000057",47,45,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
2021,"Barnet 035","E02000058",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2
2021,"Barnet 036","E02000059",5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barnet 037","E02000060",139,138,0,0,0,0,0,0,0,0,0,0,0,138,13,125,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2021,"Barnet 038","E02000061",118,112,0,0,0,0,0,0,0,0,0,0,0,112,112,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4
2021,"Barnet 039","E02000062",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,6,15,0,0,0,0,0
2021,"Barnet 040","E02000063",73,65,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5
2021,"Barnet 041","E02000064",81,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,78,0,0,0,0,74,4,0,0,0,0,0,2
2021,"Bexley 001","E02000065",49,46,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021,"Bexley 002","E02000066",44,44,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 003","E02000067",7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,2
2021,"Bexley 004","E02000068",11,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Bexley 005","E02000069",28,21,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,1
2021,"Bexley 006","E02000070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 007","E02000071",7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 008","E02000072",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Bexley 009","E02000073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 010","E02000074",28,24,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Bexley 011","E02000075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 013","E02000077",73,73,0,0,0,0,0,0,0,0,0,0,0,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 014","E02000078",53,53,0,0,0,0,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 015","E02000079",188,182,0,0,0,0,0,0,0,0,0,0,0,182,131,51,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,1,2
2021,"Bexley 016","E02000080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 017","E02000081",49,49,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 018","E02000082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 019","E02000083",22,18,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Bexley 020","E02000084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 021","E02000085",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021,"Bexley 022","E02000086",4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 023","E02000087",10,10,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 024","E02000088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 025","E02000089",126,126,0,0,0,0,17,0,0,17,0,0,0,109,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bexley 026","E02000090",381,214,0,0,0,0,0,0,0,0,0,0,0,214,181,33,0,0,0,0,167,0,0,0,0,167,0,0,0,0,0,0,0
2021,"Bexley 027","E02000091",70,66,7,0,7,0,0,0,0,0,0,0,0,59,0,54,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2021,"Bexley 028","E02000092",50,50,0,0,0,0,0,0,0,0,0,0,0,50,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 001","E02000093",54,47,35,0,35,0,0,0,0,0,0,0,0,12,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2021,"Brent 002","E02000094",67,62,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2021,"Brent 003","E02000095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 004","E02000096",47,47,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 005","E02000097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 006","E02000098",123,117,0,0,0,0,0,0,0,0,0,0,0,117,109,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2021,"Brent 007","E02000099",5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 008","E02000100",381,28,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,336,0,0,0,0,333,0,0,0,0,0,3,17
2021,"Brent 009","E02000101",194,172,0,0,0,0,4,0,0,4,0,14,14,154,104,50,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,2
2021,"Brent 010","E02000102",9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 011","E02000103",166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,155,11
2021,"Brent 012","E02000104",112,98,0,0,0,0,0,0,0,0,0,0,0,98,35,63,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,5
2021,"Brent 013","E02000105",48,43,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2021,"Brent 014","E02000106",12,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Brent 015","E02000107",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,12,0
2021,"Brent 016","E02000108",29,19,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
2021,"Brent 018","E02000110",11,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1
2021,"Brent 019","E02000111",127,71,0,0,0,0,0,0,0,0,0,0,0,71,56,15,0,0,0,0,51,0,0,0,0,0,49,0,0,0,0,2,5
2021,"Brent 020","E02000112",90,74,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,12
2021,"Brent 021","E02000113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Brent 022","E02000114",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 023","E02000115",120,45,0,0,0,0,0,0,0,0,0,0,0,45,0,45,0,0,0,0,63,0,0,0,0,0,3,0,0,0,11,49,12
2021,"Brent 024","E02000116",35,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,19,0,0,0,0,0,0,19,0,0,0,0,8
2021,"Brent 025","E02000117",49,49,0,0,0,0,0,0,0,0,0,0,0,49,40,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 026","E02000118",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Brent 027","E02000119",189,128,19,2,17,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,60,0,0,0,0,0,0,44,0,0,0,16,1
2021,"Brent 028","E02000120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 029","E02000121",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Brent 030","E02000122",13,11,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Brent 031","E02000123",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,1
2021,"Brent 032","E02000124",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14
2021,"Brent 033","E02000125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Brent 034","E02000126",46,44,0,0,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Bromley 001","E02000127",28,26,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Bromley 002","E02000128",195,47,0,0,0,0,0,0,0,0,0,0,0,47,35,12,0,0,0,0,148,0,0,0,0,148,0,0,0,0,0,0,0
2021,"Bromley 004","E02000130",8,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Bromley 005","E02000131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 006","E02000132",45,28,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,14,0,0,11,0,0,1,0,0,0,0,2,3
2021,"Bromley 007","E02000133",105,87,0,0,0,0,0,0,0,0,0,0,0,87,49,38,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0
2021,"Bromley 008","E02000134",80,60,0,0,0,0,0,0,0,0,0,0,0,60,44,13,3,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0
2021,"Bromley 009","E02000135",159,151,0,0,0,0,0,0,0,0,0,0,0,151,49,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2021,"Bromley 010","E02000136",150,107,0,0,0,0,0,0,0,0,0,43,43,64,56,0,8,0,0,0,43,0,0,0,0,43,0,0,0,0,0,0,0
2021,"Bromley 011","E02000137",128,128,0,0,0,0,0,0,0,0,0,0,0,128,114,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 012","E02000138",7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 013","E02000139",81,21,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,10
2021,"Bromley 014","E02000140",18,18,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 015","E02000141",28,26,0,0,0,0,0,0,0,0,0,0,0,26,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021,"Bromley 016","E02000142",134,134,0,0,0,0,0,0,0,0,0,0,0,134,94,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 018","E02000144",36,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,29,0,0,0,0,0,29,0,0,0,0,0,0
2021,"Bromley 019","E02000145",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
2021,"Bromley 020","E02000146",163,163,0,0,0,0,0,0,0,0,0,0,0,163,104,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 021","E02000147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 022","E02000148",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
2021,"Bromley 023","E02000149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 024","E02000150",97,96,96,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,"Bromley 025","E02000151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Bromley 026","E02000152",10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
