"date","geography","geography code","Age: Total","Age: Aged 4 years and under","Age: Aged 5 to 9 years","Age: Aged 10 to 14 years","Age: Aged 15 to 19 years","Age: Aged 20 to 24 years","Age: Aged 25 to 29 years","Age: Aged 30 to 34 years","Age: Aged 35 to 39 years","Age: Aged 40 to 44 years","Age: Aged 45 to 49 years","Age: Aged 50 to 54 years","Age: Aged 55 to 59 years","Age: Aged 60 to 64 years","Age: Aged 65 to 69 years","Age: Aged 70 to 74 years","Age: Aged 75 to 79 years","Age: Aged 80 to 84 years","Age: Aged 85 years and over"
2021,"Camden 006","E02000171",7390,354,380,377,347,434,729,699,609,524,521,505,441,406,280,327,212,121,124
2021,"Camden 007","E02000172",9998,524,564,624,735,846,988,961,747,686,609,606,593,443,327,268,184,154,139
2021,"Camden 008","E02000173",7492,465,437,357,273,428,736,821,735,661,564,486,341,267,211,230,206,141,133
2021,"Camden 009","E02000174",8085,370,419,449,451,765,866,843,645,544,447,554,483,361,288,223,180,117,80
2021,"Camden 010","E02000175",9083,444,332,353,455,725,1350,1222,906,672,575,494,409,313,266,231,159,108,69
2021,"Camden 011","E02000176",5914,336,307,265,173,258,539,677,609,546,448,434,347,229,213,182,152,91,108
2021,"Camden 012","E02000177",8495,429,406,466,506,792,870,841,691,555,535,534,465,361,278,266,186,152,162
2021,"Camden 013","E02000178",8905,479,366,387,357,696,1273,1128,826,660,561,519,488,324,252,255,159,92,83
2021,"Camden 014","E02000179",5749,284,319,350,343,363,492,528,454,425,411,383,338,271,208,208,141,115,116
2021,"Camden 015","E02000180",7879,329,336,401,391,983,917,910,651,493,451,487,397,349,251,205,158,91,79
2021,"Camden 016","E02000181",8076,461,361,339,288,509,1064,1074,816,650,547,502,341,321,243,211,159,87,103
2021,"Camden 017","E02000182",7117,459,419,384,361,489,664,698,636,622,466,451,335,300,202,195,162,110,164
2021,"Camden 018","E02000183",7591,388,339,352,344,523,737,741,556,485,482,542,488,414,326,305,245,179,145
2021,"Camden 019","E02000184",8907,373,364,353,811,1377,1075,855,678,574,454,475,447,364,225,190,134,82,76
2021,"Camden 020","E02000185",8883,466,506,543,553,626,871,856,682,597,612,587,507,360,331,306,204,144,132
2021,"Camden 021","E02000186",6224,233,234,268,332,924,782,655,470,379,340,362,352,255,193,155,130,81,79
2021,"Camden 022","E02000187",9784,500,543,642,802,1458,951,861,680,549,526,549,481,392,292,222,147,106,83
2021,"Camden 023","E02000188",7178,354,367,419,779,965,618,561,452,423,418,457,448,272,215,149,105,89,87
2021,"Camden 026","E02000191",5340,111,96,96,1134,1049,584,440,298,228,223,223,219,197,124,103,88,65,62
2021,"Camden 027","E02000192",6658,252,308,300,372,777,739,594,476,423,433,431,458,332,257,211,131,85,79
2021,"Camden 028","E02000193",5958,155,135,141,379,1105,722,518,382,331,309,366,379,294,219,209,152,79,83
2021,"Croydon 001","E02000194",9212,627,534,486,407,398,715,1004,898,764,718,585,553,434,346,284,182,135,142
2021,"Croydon 002","E02000195",9646,573,587,639,540,504,547,630,681,764,680,629,710,592,429,384,309,220,228
2021,"Croydon 003","E02000196",7914,486,403,445,468,436,651,713,577,536,472,517,514,447,362,287,217,179,204
2021,"Croydon 004","E02000197",9025,476,534,593,527,539,637,737,702,695,628,632,618,469,348,318,235,180,157
2021,"Croydon 005","E02000198",8885,577,606,581,613,534,622,668,704,696,646,730,645,450,269,211,141,108,84
2021,"Croydon 006","E02000199",8413,511,473,569,553,508,579,618,634,627,591,666,625,510,339,253,164,102,91
2021,"Croydon 007","E02000200",9048,598,491,526,447,429,673,900,857,752,616,675,602,456,279,238,192,141,176
2021,"Croydon 008","E02000201",8696,602,593,604,465,468,624,796,822,683,575,623,548,475,259,212,142,110,95
2021,"Croydon 009","E02000202",8926,468,540,645,646,534,627,669,602,597,561,661,687,526,358,305,197,165,138
2021,"Croydon 010","E02000203",7965,541,494,528,499,458,526,639,634,587,549,544,587,460,278,241,151,132,117
2021,"Croydon 011","E02000204",9656,629,636,660,573,639,758,718,668,646,616,680,662,546,389,287,230,172,147
2021,"Croydon 013","E02000206",10817,836,741,737,631,631,815,972,986,788,764,781,593,487,350,242,173,142,148
2021,"Croydon 014","E02000207",8902,530,535,528,577,618,729,702,686,624,565,683,780,504,292,214,146,116,73
2021,"Croydon 015","E02000208",10863,920,864,803,677,658,895,904,973,853,766,737,594,435,283,176,125,106,94
2021,"Croydon 016","E02000209",9063,532,688,721,654,631,670,679,651,678,603,715,587,435,266,212,157,89,95
2021,"Croydon 017","E02000210",8712,565,578,516,530,467,605,769,748,651,646,666,634,445,305,233,144,116,94
2021,"Croydon 018","E02000211",8275,419,417,521,443,411,496,500,540,509,470,612,642,526,439,468,377,251,234
2021,"Croydon 019","E02000212",9459,679,711,737,683,687,686,766,701,683,696,704,528,419,299,179,120,104,77
2021,"Croydon 020","E02000213",12798,1122,933,743,615,808,1274,1332,1272,1036,824,889,601,472,274,238,164,112,89
2021,"Croydon 021","E02000214",6236,392,335,361,319,314,371,389,428,409,386,458,482,446,339,321,188,163,135
2021,"Croydon 022","E02000215",11825,919,667,525,476,664,1104,1496,1164,909,732,740,626,498,386,321,225,202,171
2021,"Croydon 023","E02000216",7159,460,456,420,319,287,428,633,698,638,483,350,379,346,287,285,242,217,231
2021,"Croydon 024","E02000217",11926,940,798,746,619,677,1083,1313,1232,927,819,762,688,465,300,194,161,125,77
2021,"Croydon 025","E02000218",6669,369,487,580,518,413,372,350,374,410,453,480,463,379,311,274,179,129,128
2021,"Croydon 026","E02000219",7631,302,344,377,399,394,425,375,386,397,451,535,631,583,467,532,416,295,322
2021,"Croydon 028","E02000221",10858,699,791,854,768,641,745,810,790,810,759,802,681,499,322,322,189,170,206
2021,"Croydon 029","E02000222",8350,557,505,500,325,355,704,822,741,738,599,537,556,367,322,259,184,153,126
2021,"Croydon 030","E02000223",8532,510,797,1000,888,554,492,473,501,537,642,579,477,319,225,175,168,108,87
2021,"Croydon 031","E02000224",8052,594,497,477,405,418,672,794,732,612,517,539,520,357,284,264,180,106,84
2021,"Croydon 032","E02000225",7498,416,536,595,560,492,422,468,448,462,518,558,535,433,308,306,203,130,108
2021,"Croydon 033","E02000226",7613,349,421,469,466,383,357,341,451,488,437,562,603,534,472,454,328,259,239
2021,"Croydon 034","E02000227",11684,680,769,713,613,603,718,789,804,826,711,820,836,700,568,674,383,235,242
2021,"Croydon 035","E02000228",7955,422,512,526,365,334,292,332,515,585,520,538,531,542,475,530,353,270,313
2021,"Croydon 036","E02000229",6235,369,474,551,468,388,368,389,412,363,437,478,442,281,236,201,133,124,121
2021,"Croydon 037","E02000230",10503,647,588,597,481,496,641,852,803,785,691,655,797,564,540,431,348,275,312
2021,"Croydon 038","E02000231",7928,388,438,467,436,428,485,436,476,522,457,550,603,561,476,417,313,201,274
