"date","geography","geography code","Number of households: Number of households; measures: Value"
2021,"Brent 024","E02000116",3237
2021,"Brent 025","E02000117",4759
2021,"Brent 026","E02000118",3157
2021,"Brent 027","E02000119",3952
2021,"Brent 028","E02000120",4243
2021,"Brent 029","E02000121",3627
2021,"Brent 030","E02000122",3160
2021,"Brent 031","E02000123",5539
2021,"Brent 032","E02000124",4161
2021,"Brent 033","E02000125",3942
2021,"Brent 034","E02000126",3405
2021,"Brent 035","E02006955",2709
2021,"Brent 036","E02006956",2505
2021,"Bromley 001","E02000127",3785
2021,"Bromley 002","E02000128",3063
2021,"Bromley 004","E02000130",3665
2021,"Bromley 005","E02000131",5068
2021,"Bromley 006","E02000132",4942
2021,"Bromley 007","E02000133",4328
2021,"Bromley 008","E02000134",5300
2021,"Bromley 009","E02000135",4443
2021,"Bromley 010","E02000136",2295
2021,"Bromley 011","E02000137",3674
2021,"Bromley 012","E02000138",4139
2021,"Bromley 013","E02000139",3308
2021,"Bromley 014","E02000140",3339
2021,"Bromley 015","E02000141",3092
2021,"Bromley 016","E02000142",3452
2021,"Bromley 018","E02000144",4312
2021,"Bromley 019","E02000145",3514
2021,"Bromley 020","E02000146",4040
2021,"Bromley 021","E02000147",3167
2021,"Bromley 022","E02000148",2699
2021,"Bromley 023","E02000149",3284
2021,"Bromley 024","E02000150",3115
2021,"Bromley 025","E02000151",2970
2021,"Bromley 026","E02000152",3096
2021,"Bromley 027","E02000153",2895
2021,"Bromley 028","E02000154",3573
2021,"Bromley 029","E02000155",3040
2021,"Bromley 030","E02000156",4861
2021,"Bromley 031","E02000157",3279
2021,"Bromley 032","E02000158",3034
2021,"Bromley 033","E02000159",2822
2021,"Bromley 034","E02000160",3042
2021,"Bromley 035","E02000161",3345
2021,"Bromley 036","E02000162",2964
2021,"Bromley 037","E02000163",3068
2021,"Bromley 039","E02000165",2741
2021,"Bromley 040","E02006782",3196
2021,"Bromley 041","E02006787",3089
2021,"Bromley 042","E02006789",2788
2021,"Camden 001","E02000166",3396
2021,"Camden 002","E02000167",3373
2021,"Camden 003","E02000168",3494
2021,"Camden 004","E02000169",3024
2021,"Camden 005","E02000170",3465
2021,"Camden 006","E02000171",3330
2021,"Camden 007","E02000172",4035
2021,"Camden 008","E02000173",3500
2021,"Camden 009","E02000174",3551
2021,"Camden 010","E02000175",4308
2021,"Camden 011","E02000176",3001
2021,"Camden 012","E02000177",3654
2021,"Camden 013","E02000178",4166
2021,"Camden 014","E02000179",2547
2021,"Camden 015","E02000180",3516
2021,"Camden 016","E02000181",3751
2021,"Camden 017","E02000182",3082
2021,"Camden 018","E02000183",3617
2021,"Camden 019","E02000184",3634
2021,"Camden 020","E02000185",4069
2021,"Camden 021","E02000186",2941
2021,"Camden 022","E02000187",3817
2021,"Camden 023","E02000188",2719
2021,"Camden 026","E02000191",2106
2021,"Camden 027","E02000192",3090
2021,"Camden 028","E02000193",3101
2021,"Camden 029","E02007115",4469
2021,"Croydon 001","E02000194",4203
2021,"Croydon 002","E02000195",3488
2021,"Croydon 003","E02000196",2816
2021,"Croydon 004","E02000197",3318
2021,"Croydon 005","E02000198",3502
2021,"Croydon 006","E02000199",3207
2021,"Croydon 007","E02000200",4002
2021,"Croydon 008","E02000201",3820
2021,"Croydon 009","E02000202",3035
2021,"Croydon 010","E02000203",3119
2021,"Croydon 011","E02000204",3227
2021,"Croydon 013","E02000206",4465
2021,"Croydon 014","E02000207",3560
2021,"Croydon 015","E02000208",4098
2021,"Croydon 016","E02000209",3063
2021,"Croydon 017","E02000210",3444
2021,"Croydon 018","E02000211",3294
2021,"Croydon 019","E02000212",3263
2021,"Croydon 020","E02000213",5391
2021,"Croydon 021","E02000214",2326
2021,"Croydon 022","E02000215",5255
2021,"Croydon 023","E02000216",2942
2021,"Croydon 024","E02000217",5021
2021,"Croydon 025","E02000218",2351
2021,"Croydon 026","E02000219",2983
2021,"Croydon 028","E02000221",3988
2021,"Croydon 029","E02000222",3635
2021,"Croydon 030","E02000223",2789
2021,"Croydon 031","E02000224",3271
2021,"Croydon 032","E02000225",2658
2021,"Croydon 033","E02000226",2781
2021,"Croydon 034","E02000227",4838
2021,"Croydon 035","E02000228",3007
2021,"Croydon 036","E02000229",2237
2021,"Croydon 037","E02000230",4231
2021,"Croydon 038","E02000231",2750
2021,"Croydon 039","E02000232",2370
2021,"Croydon 040","E02000233",2396
2021,"Croydon 041","E02000234",3720
2021,"Croydon 042","E02000235",2657
2021,"Croydon 043","E02000236",3308
2021,"Croydon 044","E02000237",3034
2021,"Croydon 045","E02006788",2895
2021,"Croydon 046","E02006987",3879
2021,"Croydon 047","E02006988",3307
2021,"Ealing 001","E02000238",3736
2021,"Ealing 002","E02000239",2929
2021,"Ealing 003","E02000240",3897
2021,"Ealing 004","E02000241",2600
2021,"Ealing 005","E02000242",2231
2021,"Ealing 006","E02000243",3128
2021,"Ealing 007","E02000244",2937
2021,"Ealing 008","E02000245",3354
2021,"Ealing 009","E02000246",3072
2021,"Ealing 010","E02000247",3892
2021,"Ealing 011","E02000248",2989
2021,"Ealing 012","E02000249",2913
2021,"Ealing 013","E02000250",2544
2021,"Ealing 014","E02000251",2542
2021,"Ealing 015","E02000252",4410
2021,"Ealing 016","E02000253",3839
2021,"Ealing 017","E02000254",2610
2021,"Ealing 018","E02000255",3791
2021,"Ealing 019","E02000256",4026
2021,"Ealing 021","E02000258",2604
2021,"Ealing 022","E02000259",2395
2021,"Ealing 023","E02000260",2754
2021,"Ealing 024","E02000261",4977
2021,"Ealing 025","E02000262",3946
2021,"Ealing 026","E02000263",3646
2021,"Ealing 027","E02000264",3543
2021,"Ealing 028","E02000265",4733
2021,"Ealing 029","E02000266",4296
2021,"Ealing 030","E02000267",3219
2021,"Ealing 031","E02000268",3863
2021,"Ealing 032","E02000269",3303
2021,"Ealing 033","E02000270",4116
2021,"Ealing 034","E02000271",2978
2021,"Ealing 035","E02000272",2540
2021,"Ealing 038","E02000275",2348
2021,"Ealing 039","E02000276",2724
2021,"Ealing 040","E02006791",3449
2021,"Ealing 041","E02006968",3560
2021,"Ealing 042","E02006969",2976
2021,"Ealing 043","E02006970",2028
2021,"Ealing 044","E02006971",2223
2021,"Enfield 001","E02000277",2627
2021,"Enfield 002","E02000278",3339
2021,"Enfield 003","E02000279",4415
2021,"Enfield 004","E02000280",3413
2021,"Enfield 005","E02000281",3549
2021,"Enfield 006","E02000282",3467
2021,"Enfield 007","E02000283",2800
2021,"Enfield 008","E02000284",3619
2021,"Enfield 009","E02000285",2460
2021,"Enfield 010","E02000286",3998
2021,"Enfield 011","E02000287",2873
2021,"Enfield 012","E02000288",4053
2021,"Enfield 013","E02000289",2424
2021,"Enfield 014","E02000290",2519
2021,"Enfield 015","E02000291",4330
2021,"Enfield 016","E02000292",3569
2021,"Enfield 017","E02000293",2491
2021,"Enfield 018","E02000294",3086
2021,"Enfield 019","E02000295",3350
2021,"Enfield 020","E02000296",4039
2021,"Enfield 021","E02000297",3475
2021,"Enfield 022","E02000298",3056
2021,"Enfield 023","E02000299",3314
2021,"Enfield 024","E02000300",2999
2021,"Enfield 025","E02000301",3725
2021,"Enfield 026","E02000302",3114
2021,"Enfield 027","E02000303",2976
2021,"Enfield 028","E02000304",2907
2021,"Enfield 029","E02000305",3453
2021,"Enfield 030","E02000306",3399
2021,"Enfield 031","E02000307",3343
2021,"Enfield 032","E02000308",3226
2021,"Enfield 033","E02000309",3988
2021,"Enfield 035","E02000311",3635
2021,"Enfield 036","E02000312",4495
2021,"Enfield 037","E02006793",3390
2021,"Greenwich 001","E02000313",2596
2021,"Greenwich 002","E02000314",4536
2021,"Greenwich 003","E02000315",3490
2021,"Greenwich 005","E02000317",2822
2021,"Greenwich 006","E02000318",3581
2021,"Greenwich 007","E02000319",3919
2021,"Greenwich 008","E02000320",2556
2021,"Greenwich 009","E02000321",2957
2021,"Greenwich 011","E02000323",4817
2021,"Greenwich 012","E02000324",2854
2021,"Greenwich 014","E02000326",3049
2021,"Greenwich 015","E02000327",2635
2021,"Greenwich 016","E02000328",2946
2021,"Greenwich 017","E02000329",2462
2021,"Greenwich 019","E02000331",3191
2021,"Greenwich 020","E02000332",2999
2021,"Greenwich 021","E02000333",2883
2021,"Greenwich 022","E02000334",2543
2021,"Greenwich 023","E02000335",2592
2021,"Greenwich 025","E02000337",3084
2021,"Greenwich 027","E02000339",2591
2021,"Greenwich 028","E02000340",3020
2021,"Greenwich 029","E02000341",2941
2021,"Greenwich 030","E02000342",2342
2021,"Greenwich 031","E02000343",2695
2021,"Greenwich 032","E02000344",2448
2021,"Greenwich 033","E02006786",2874
2021,"Greenwich 034","E02006927",5086
2021,"Greenwich 035","E02006928",5265
2021,"Greenwich 037","E02006930",4226
2021,"Greenwich 038","E02006931",4137
2021,"Greenwich 039","E02006991",3233
2021,"Greenwich 040","E02006992",3769
2021,"Greenwich 041","E02006993",3625
2021,"Greenwich 042","E02006994",3284
2021,"Hackney 001","E02000345",2589
2021,"Hackney 002","E02000346",3972
2021,"Hackney 003","E02000347",2582
2021,"Hackney 004","E02000348",2723
2021,"Hackney 006","E02000350",3693
2021,"Hackney 007","E02000351",4231
2021,"Hackney 008","E02000352",2685
2021,"Hackney 009","E02000353",3156
2021,"Hackney 010","E02000354",3989
2021,"Hackney 011","E02000355",3114
2021,"Hackney 012","E02000356",3061
2021,"Hackney 013","E02000357",2720
2021,"Hackney 014","E02000358",4816
2021,"Hackney 015","E02000359",2437
2021,"Hackney 016","E02000360",4851
2021,"Hackney 017","E02000361",3679
2021,"Hackney 018","E02000362",2805
2021,"Hackney 019","E02000363",4441
2021,"Hackney 020","E02000364",4099
2021,"Hackney 022","E02000366",3539
2021,"Hackney 023","E02000367",4594
2021,"Hackney 024","E02000368",4152
2021,"Hackney 025","E02000369",5929
2021,"Hackney 026","E02000370",3991
2021,"Hackney 028","E02006918",3170
2021,"Hackney 029","E02006921",2782
2021,"Hackney 030","E02007108",2801
2021,"Hackney 031","E02007109",3302
2021,"Hackney 032","E02007110",3361
2021,"Hackney 033","E02007111",2816
2021,"Hammersmith and Fulham 001","E02000372",3876
2021,"Hammersmith and Fulham 002","E02000373",2537
2021,"Hammersmith and Fulham 003","E02000374",2616
2021,"Hammersmith and Fulham 004","E02000375",3498
2021,"Hammersmith and Fulham 005","E02000376",3183
2021,"Hammersmith and Fulham 006","E02000377",3446
2021,"Hammersmith and Fulham 007","E02000378",3251
2021,"Hammersmith and Fulham 008","E02000379",3104
2021,"Hammersmith and Fulham 009","E02000380",2498
2021,"Hammersmith and Fulham 010","E02000381",3547
2021,"Hammersmith and Fulham 011","E02000382",2772
2021,"Hammersmith and Fulham 012","E02000383",4111
2021,"Hammersmith and Fulham 013","E02000384",3807
2021,"Hammersmith and Fulham 014","E02000385",2850
2021,"Hammersmith and Fulham 015","E02000386",3366
2021,"Hammersmith and Fulham 016","E02000387",2587
2021,"Hammersmith and Fulham 017","E02000388",4134
2021,"Hammersmith and Fulham 018","E02000389",3678
2021,"Hammersmith and Fulham 019","E02000390",2719
2021,"Hammersmith and Fulham 020","E02000391",3281
2021,"Hammersmith and Fulham 021","E02000392",4039
2021,"Hammersmith and Fulham 022","E02000393",2588
2021,"Hammersmith and Fulham 023","E02000394",4346
2021,"Hammersmith and Fulham 024","E02000395",2640
2021,"Hammersmith and Fulham 025","E02000396",2770
2021,"Haringey 001","E02000397",3472
2021,"Haringey 002","E02000398",2880
2021,"Haringey 004","E02000400",3120
2021,"Haringey 005","E02000401",2477
2021,"Haringey 006","E02000402",2424
2021,"Haringey 007","E02000403",2990
2021,"Haringey 008","E02000404",2665
2021,"Haringey 009","E02000405",2462
2021,"Haringey 010","E02000406",2597
2021,"Haringey 011","E02000407",3005
2021,"Haringey 012","E02000408",3000
2021,"Haringey 013","E02000409",2370
2021,"Haringey 014","E02000410",2614
2021,"Haringey 015","E02000411",3952
2021,"Haringey 016","E02000412",2870
2021,"Haringey 017","E02000413",2963
2021,"Haringey 018","E02000414",2718
2021,"Haringey 019","E02000415",2835
2021,"Haringey 020","E02000416",3919
2021,"Haringey 021","E02000417",2866
2021,"Haringey 022","E02000418",2208
2021,"Haringey 023","E02000419",3645
2021,"Haringey 024","E02000420",3436
2021,"Haringey 025","E02000421",3140
2021,"Haringey 026","E02000422",2887
2021,"Haringey 027","E02000423",2672
2021,"Haringey 028","E02000424",2984
2021,"Haringey 029","E02000425",2163
2021,"Haringey 030","E02000426",2744
2021,"Haringey 031","E02000427",2869
2021,"Haringey 032","E02000428",2922
2021,"Haringey 033","E02000429",3201
2021,"Haringey 034","E02000430",3249
2021,"Haringey 035","E02000431",2848
2021,"Haringey 036","E02000432",2798
2021,"Haringey 037","E02006794",3125
2021,"Harrow 001","E02000433",3544
2021,"Harrow 002","E02000434",3638
2021,"Harrow 003","E02000435",2812
2021,"Harrow 004","E02000436",2044
2021,"Harrow 005","E02000437",3089
2021,"Harrow 006","E02000438",3044
2021,"Harrow 007","E02000439",2948
2021,"Harrow 008","E02000440",3055
2021,"Harrow 009","E02000441",2794
2021,"Harrow 010","E02000442",2667
2021,"Harrow 011","E02000443",3546
2021,"Harrow 012","E02000444",2670
2021,"Harrow 013","E02000445",3820
2021,"Harrow 015","E02000447",2744
2021,"Harrow 016","E02000448",2759
2021,"Harrow 017","E02000449",2527
2021,"Harrow 019","E02000451",2329
2021,"Harrow 020","E02000452",3452
2021,"Harrow 021","E02000453",3047
2021,"Harrow 022","E02000454",2524
2021,"Harrow 023","E02000455",4758
2021,"Harrow 024","E02000456",2717
2021,"Harrow 025","E02000457",2563
2021,"Harrow 027","E02000459",3418
2021,"Harrow 028","E02000460",2414
2021,"Harrow 029","E02000461",2559
2021,"Harrow 030","E02000462",2286
2021,"Harrow 031","E02000463",2834
2021,"Harrow 032","E02006795",2645
2021,"Harrow 033","E02006882",4397
2021,"Havering 001","E02000464",2873
2021,"Havering 002","E02000465",3492
2021,"Havering 003","E02000466",3293
2021,"Havering 004","E02000467",4290
2021,"Havering 005","E02000468",3165
2021,"Havering 006","E02000469",2699
2021,"Havering 007","E02000470",4131
2021,"Havering 008","E02000471",2941
2021,"Havering 009","E02000472",3527
2021,"Havering 010","E02000473",4022
2021,"Havering 011","E02000474",3532
2021,"Havering 012","E02000475",3958
2021,"Havering 013","E02000476",4198
2021,"Havering 014","E02000477",3715
2021,"Havering 015","E02000478",2151
2021,"Havering 016","E02000479",3789
2021,"Havering 017","E02000480",5012
2021,"Havering 018","E02000481",3246
2021,"Havering 019","E02000482",2577
2021,"Havering 020","E02000483",3473
2021,"Havering 021","E02000484",3253
2021,"Havering 022","E02000485",3455
2021,"Havering 023","E02000486",2990
2021,"Havering 024","E02000487",2944
2021,"Havering 025","E02000488",3012
2021,"Havering 026","E02000489",3261
2021,"Havering 027","E02000490",3225
2021,"Havering 028","E02000491",3934
2021,"Havering 029","E02000492",2622
2021,"Havering 030","E02000493",2498
2021,"Hillingdon 001","E02000494",3216
2021,"Hillingdon 002","E02000495",4305
2021,"Hillingdon 003","E02000496",3177
2021,"Hillingdon 004","E02000497",3693
2021,"Hillingdon 005","E02000498",2638
2021,"Hillingdon 006","E02000499",3014
2021,"Hillingdon 007","E02000500",3306
2021,"Hillingdon 008","E02000501",3273
2021,"Hillingdon 009","E02000502",3530
2021,"Hillingdon 010","E02000503",3254
2021,"Hillingdon 011","E02000504",2922
2021,"Hillingdon 013","E02000506",2899
2021,"Hillingdon 014","E02000507",2781
2021,"Hillingdon 015","E02000508",4339
2021,"Hillingdon 016","E02000509",3402
2021,"Hillingdon 017","E02000510",3261
2021,"Hillingdon 018","E02000511",3262
2021,"Hillingdon 019","E02000512",3106
2021,"Hillingdon 020","E02000513",3323
2021,"Hillingdon 021","E02000514",3180
2021,"Hillingdon 022","E02000515",5345
2021,"Hillingdon 023","E02000516",2817
2021,"Hillingdon 024","E02000517",3321
2021,"Hillingdon 025","E02000518",3329
2021,"Hillingdon 026","E02000519",3022
2021,"Hillingdon 027","E02000520",4455
2021,"Hillingdon 028","E02000521",4351
2021,"Hillingdon 029","E02000522",3488
2021,"Hillingdon 030","E02000523",3683
2021,"Hillingdon 031","E02000524",2639
2021,"Hillingdon 032","E02000525",3318
2021,"Hillingdon 033","E02006796",3579
2021,"Hounslow 001","E02000526",3617
2021,"Hounslow 004","E02000529",3036
2021,"Hounslow 005","E02000530",2517
2021,"Hounslow 006","E02000531",4936
2021,"Hounslow 007","E02000532",3818
2021,"Hounslow 008","E02000533",3688
2021,"Hounslow 009","E02000534",2999
2021,"Hounslow 010","E02000535",3005
2021,"Hounslow 011","E02000536",3245
2021,"Hounslow 012","E02000537",3158
2021,"Hounslow 013","E02000538",3005
2021,"Hounslow 014","E02000539",4734
2021,"Hounslow 015","E02000540",4486
2021,"Hounslow 016","E02000541",3281
2021,"Hounslow 017","E02000542",3952
2021,"Hounslow 018","E02000543",4892
2021,"Hounslow 019","E02000544",2922
2021,"Hounslow 020","E02000545",3548
2021,"Hounslow 021","E02000546",3159
2021,"Hounslow 022","E02000547",3852
2021,"Hounslow 023","E02000548",3726
2021,"Hounslow 024","E02000549",4083
2021,"Hounslow 025","E02000550",3721
2021,"Hounslow 026","E02000551",3416
2021,"Hounslow 027","E02000552",3359
2021,"Hounslow 028","E02000553",2600
2021,"Hounslow 029","E02006792",4147
2021,"Hounslow 030","E02006972",2334
2021,"Hounslow 031","E02006973",3726
2021,"Islington 001","E02000554",4200
2021,"Islington 002","E02000555",4033
2021,"Islington 003","E02000556",4950
2021,"Islington 004","E02000557",4139
2021,"Islington 005","E02000558",3957
2021,"Islington 006","E02000559",3995
2021,"Islington 007","E02000560",3274
2021,"Islington 008","E02000561",3158
2021,"Islington 009","E02000562",3487
2021,"Islington 010","E02000563",3858
2021,"Islington 011","E02000564",5664
2021,"Islington 012","E02000565",3494
2021,"Islington 013","E02000566",3837
2021,"Islington 014","E02000567",4896
2021,"Islington 015","E02000568",4669
2021,"Islington 016","E02000569",4602
2021,"Islington 017","E02000570",3990
2021,"Islington 018","E02000571",4122
2021,"Islington 019","E02000572",3523
2021,"Islington 020","E02000573",4921
2021,"Islington 021","E02000574",3605
2021,"Islington 022","E02000575",5170
2021,"Islington 023","E02000576",4953
2021,"Kensington and Chelsea 001","E02000577",3175
2021,"Kensington and Chelsea 002","E02000578",2309
2021,"Kensington and Chelsea 003","E02000579",3820
2021,"Kensington and Chelsea 004","E02000580",3988
2021,"Kensington and Chelsea 005","E02000581",3010
2021,"Kensington and Chelsea 006","E02000582",3270
2021,"Kensington and Chelsea 007","E02000583",3118
2021,"Kensington and Chelsea 008","E02000584",3331
2021,"Kensington and Chelsea 009","E02000585",3386
2021,"Kensington and Chelsea 010","E02000586",2880
2021,"Kensington and Chelsea 011","E02000587",3027
2021,"Kensington and Chelsea 012","E02000588",3077
2021,"Kensington and Chelsea 013","E02000589",3658
2021,"Kensington and Chelsea 014","E02000590",3049
2021,"Kensington and Chelsea 015","E02000591",3241
2021,"Kensington and Chelsea 016","E02000592",2839
2021,"Kensington and Chelsea 017","E02000593",3685
2021,"Kensington and Chelsea 018","E02000594",2922
2021,"Kensington and Chelsea 019","E02000595",3029
2021,"Kensington and Chelsea 020","E02000596",3073
2021,"Kensington and Chelsea 021","E02000597",2997
2021,"Kingston upon Thames 001","E02000598",2970
2021,"Kingston upon Thames 002","E02000599",2352
2021,"Kingston upon Thames 003","E02000600",3378
2021,"Kingston upon Thames 004","E02000601",4858
2021,"Kingston upon Thames 005","E02000602",4046
2021,"Kingston upon Thames 006","E02000603",2953
2021,"Kingston upon Thames 007","E02000604",3559
2021,"Kingston upon Thames 008","E02000605",3115
2021,"Kingston upon Thames 009","E02000606",4811
2021,"Kingston upon Thames 010","E02000607",2583
2021,"Kingston upon Thames 011","E02000608",3406
2021,"Kingston upon Thames 012","E02000609",2737
2021,"Kingston upon Thames 013","E02000610",3870
2021,"Kingston upon Thames 014","E02000611",2652
2021,"Kingston upon Thames 015","E02000612",3078
2021,"Kingston upon Thames 016","E02000613",3195
2021,"Kingston upon Thames 017","E02000614",3374
2021,"Kingston upon Thames 018","E02000615",2956
2021,"Kingston upon Thames 019","E02000616",2390
2021,"Kingston upon Thames 020","E02000617",3343
2021,"Lambeth 002","E02000619",4054
2021,"Lambeth 003","E02000620",4589
2021,"Lambeth 004","E02000621",6009
2021,"Lambeth 005","E02000622",3633
2021,"Lambeth 006","E02000623",3331
2021,"Lambeth 007","E02000624",4272
2021,"Lambeth 008","E02000625",3797
2021,"Lambeth 009","E02000626",3448
2021,"Lambeth 010","E02000627",3917
2021,"Lambeth 011","E02000628",4483
2021,"Lambeth 012","E02000629",4016
2021,"Lambeth 013","E02000630",3430
2021,"Lambeth 014","E02000631",3739
2021,"Lambeth 015","E02000632",4261
2021,"Lambeth 016","E02000633",3962
2021,"Lambeth 017","E02000634",3106
2021,"Lambeth 018","E02000635",4337
2021,"Lambeth 019","E02000636",3079
2021,"Lambeth 020","E02000637",3705
2021,"Lambeth 021","E02000638",4107
2021,"Lambeth 022","E02000639",3725
2021,"Lambeth 023","E02000640",3804
2021,"Lambeth 024","E02000641",3391
2021,"Lambeth 025","E02000642",4170
2021,"Lambeth 026","E02000643",3948
2021,"Lambeth 027","E02000644",3496
2021,"Lambeth 028","E02000645",4047
2021,"Lambeth 029","E02000646",3905
2021,"Lambeth 030","E02000647",3422
2021,"Lambeth 031","E02000648",3188
2021,"Lambeth 032","E02000649",5304
2021,"Lambeth 033","E02000650",3277
2021,"Lambeth 034","E02000651",3479
2021,"Lambeth 035","E02000652",2544
2021,"Lambeth 036","E02006801",3712
2021,"Lewisham 001","E02000653",5293
2021,"Lewisham 002","E02000654",3596
2021,"Lewisham 003","E02000655",4007
2021,"Lewisham 005","E02000657",3990
2021,"Lewisham 006","E02000658",3458
2021,"Lewisham 007","E02000659",3541
2021,"Lewisham 008","E02000660",3603
2021,"Lewisham 009","E02000661",3044
2021,"Lewisham 010","E02000662",3304
2021,"Lewisham 011","E02000663",2819
2021,"Lewisham 013","E02000665",3414
2021,"Lewisham 014","E02000666",2735
2021,"Lewisham 015","E02000667",2524
2021,"Lewisham 016","E02000668",2727
2021,"Lewisham 017","E02000669",3308
2021,"Lewisham 018","E02000670",2782
2021,"Lewisham 019","E02000671",3682
2021,"Lewisham 020","E02000672",4200
2021,"Lewisham 021","E02000673",3496
2021,"Lewisham 022","E02000674",3057
2021,"Lewisham 023","E02000675",3420
2021,"Lewisham 024","E02000676",3190
2021,"Lewisham 025","E02000677",2645
2021,"Lewisham 026","E02000678",2614
2021,"Lewisham 027","E02000679",3375
2021,"Lewisham 028","E02000680",2913
2021,"Lewisham 029","E02000681",3351
2021,"Lewisham 030","E02000682",3218
2021,"Lewisham 031","E02000683",2724
2021,"Lewisham 033","E02000685",3423
2021,"Lewisham 034","E02000686",3044
2021,"Lewisham 035","E02000687",3455
2021,"Lewisham 037","E02006783",2895
2021,"Lewisham 038","E02006784",3125
2021,"Lewisham 039","E02006798",3776
2021,"Lewisham 040","E02007008",2660
2021,"Lewisham 041","E02007009",3987
2021,"Merton 001","E02000689",3512
2021,"Merton 002","E02000690",2225
2021,"Merton 003","E02000691",2957
