"date","geography","geography code","Number of cars or vans: Total: All households","Number of cars or vans: No cars or vans in household","Number of cars or vans: 1 car or van in household","Number of cars or vans: 2 cars or vans in household","Number of cars or vans: 3 or more cars or vans in household"
2021,"Bromley 014","E02000140",3338,947,1450,680,261
2021,"Bromley 015","E02000141",3091,998,1557,396,140
2021,"Bromley 016","E02000142",3454,644,1711,823,276
2021,"Bromley 018","E02000144",4315,1330,2062,745,178
2021,"Bromley 019","E02000145",3514,979,1583,722,230
2021,"Bromley 020","E02000146",4040,974,2081,784,201
2021,"Bromley 021","E02000147",3167,468,1306,969,424
2021,"Bromley 022","E02000148",2699,397,1283,760,259
2021,"Bromley 023","E02000149",3284,735,1492,786,271
2021,"Bromley 024","E02000150",3115,457,1452,893,313
2021,"Bromley 025","E02000151",2970,365,1418,920,267
2021,"Bromley 026","E02000152",3096,698,1441,731,226
2021,"Bromley 027","E02000153",2895,305,1259,975,356
2021,"Bromley 028","E02000154",3573,802,1624,858,289
2021,"Bromley 029","E02000155",3040,556,1452,781,251
2021,"Bromley 030","E02000156",4861,772,2152,1407,530
2021,"Bromley 031","E02000157",3279,389,1586,948,356
2021,"Bromley 032","E02000158",3034,608,1311,856,259
2021,"Bromley 033","E02000159",2822,287,1077,948,510
2021,"Bromley 034","E02000160",3042,364,1288,986,404
2021,"Bromley 035","E02000161",3344,406,1623,993,322
2021,"Bromley 036","E02000162",2964,593,1271,799,301
2021,"Bromley 037","E02000163",3067,364,1348,960,395
2021,"Bromley 039","E02000165",2740,216,987,1038,499
2021,"Camden 001","E02000166",3396,1689,1279,352,76
2021,"Camden 002","E02000167",3373,1569,1362,353,89
2021,"Camden 003","E02000168",3494,1960,1285,215,34
2021,"Camden 004","E02000169",3027,1226,1264,420,117
2021,"Camden 005","E02000170",3464,1822,1314,270,58
2021,"Camden 006","E02000171",3330,1813,1279,211,27
2021,"Camden 007","E02000172",4035,2666,1200,145,24
2021,"Camden 008","E02000173",3501,2066,1151,221,63
2021,"Camden 009","E02000174",3551,2311,1079,137,24
2021,"Camden 010","E02000175",4308,2708,1374,200,26
2021,"Camden 011","E02000176",3000,1789,1019,168,24
2021,"Camden 012","E02000177",3648,2358,1144,123,23
2021,"Camden 013","E02000178",4166,2764,1235,141,26
2021,"Camden 014","E02000179",2547,1400,936,175,36
2021,"Camden 015","E02000180",3516,2344,1008,143,21
2021,"Camden 016","E02000181",3753,2197,1334,197,25
2021,"Camden 017","E02000182",3082,1789,1035,210,48
2021,"Camden 018","E02000183",3617,2083,1232,264,38
2021,"Camden 019","E02000184",3634,2646,868,99,21
2021,"Camden 020","E02000185",4069,2861,1034,152,22
2021,"Camden 021","E02000186",2941,2042,725,145,29
2021,"Camden 022","E02000187",3817,2821,885,99,12
2021,"Camden 023","E02000188",2719,1965,667,72,15
2021,"Camden 026","E02000191",2104,1709,330,56,9
2021,"Camden 027","E02000192",3090,2357,632,89,12
2021,"Camden 028","E02000193",3102,2545,476,66,15
2021,"Croydon 001","E02000194",4203,1764,1913,402,124
2021,"Croydon 002","E02000195",3490,843,1625,721,301
2021,"Croydon 003","E02000196",2816,988,1178,469,181
2021,"Croydon 004","E02000197",3318,1163,1496,510,149
2021,"Croydon 005","E02000198",3502,1429,1541,411,121
2021,"Croydon 006","E02000199",3206,1084,1516,485,121
2021,"Croydon 007","E02000200",4002,1767,1701,423,111
2021,"Croydon 008","E02000201",3820,1855,1521,364,80
2021,"Croydon 009","E02000202",3035,999,1409,500,127
2021,"Croydon 010","E02000203",3119,1535,1197,308,79
2021,"Croydon 011","E02000204",3227,1151,1373,546,157
2021,"Croydon 013","E02000206",4466,2088,1861,408,109
2021,"Croydon 014","E02000207",3560,1347,1542,530,141
2021,"Croydon 015","E02000208",4098,1975,1619,402,102
2021,"Croydon 016","E02000209",3063,964,1452,535,112
2021,"Croydon 017","E02000210",3444,1108,1686,524,126
2021,"Croydon 018","E02000211",3296,487,1485,968,356
2021,"Croydon 019","E02000212",3263,1376,1373,405,109
2021,"Croydon 020","E02000213",5391,3135,1845,346,65
2021,"Croydon 021","E02000214",2327,546,1103,498,180
2021,"Croydon 022","E02000215",5255,2662,2116,397,80
2021,"Croydon 023","E02000216",2942,1006,1441,386,109
2021,"Croydon 024","E02000217",5020,2427,2086,425,82
2021,"Croydon 025","E02000218",2351,628,939,562,222
2021,"Croydon 026","E02000219",2981,443,1282,876,380
2021,"Croydon 028","E02000221",3988,1248,1806,697,237
2021,"Croydon 029","E02000222",3635,1102,1813,568,152
2021,"Croydon 030","E02000223",2789,1096,1118,433,142
2021,"Croydon 031","E02000224",3271,940,1636,544,151
2021,"Croydon 032","E02000225",2657,708,1110,602,237
2021,"Croydon 033","E02000226",2781,349,1160,919,353
2021,"Croydon 034","E02000227",4838,942,2366,1166,364
2021,"Croydon 035","E02000228",3005,334,1236,1032,403
2021,"Croydon 036","E02000229",2237,744,888,436,169
2021,"Croydon 037","E02000230",4231,1095,1958,878,300
2021,"Croydon 038","E02000231",2750,290,1031,890,539
2021,"Croydon 039","E02000232",2370,305,969,759,337
2021,"Croydon 040","E02000233",2395,408,1169,623,195
2021,"Croydon 041","E02000234",3719,782,1720,894,323
2021,"Croydon 042","E02000235",2658,325,1160,836,337
2021,"Croydon 043","E02000236",3309,346,1521,1063,379
2021,"Croydon 044","E02000237",3033,496,1210,963,364
2021,"Ealing 001","E02000238",3736,1050,1690,786,210
2021,"Ealing 002","E02000239",2929,619,1332,743,235
2021,"Ealing 003","E02000240",3897,1196,1755,746,200
2021,"Ealing 004","E02000241",2600,654,1224,548,174
2021,"Ealing 005","E02000242",2231,523,1018,535,155
2021,"Ealing 006","E02000243",3129,957,1375,601,196
2021,"Ealing 007","E02000244",2936,895,1333,543,165
2021,"Ealing 008","E02000245",3354,1192,1523,507,132
2021,"Ealing 009","E02000246",3070,842,1337,647,244
2021,"Ealing 010","E02000247",3892,1123,1821,739,209
2021,"Ealing 011","E02000248",2989,1045,1378,449,117
2021,"Ealing 012","E02000249",2913,944,1231,554,184
2021,"Ealing 013","E02000250",2543,577,1352,522,92
2021,"Ealing 014","E02000251",2542,555,1078,634,275
2021,"Ealing 015","E02000252",4410,2506,1488,344,72
2021,"Ealing 016","E02000253",3839,1460,1709,553,117
2021,"Ealing 017","E02000254",2610,631,1024,648,307
2021,"Ealing 018","E02000255",3792,1195,1858,602,137
2021,"Ealing 019","E02000256",4026,1684,1721,503,118
2021,"Ealing 021","E02000258",2601,986,1212,341,62
2021,"Ealing 022","E02000259",2395,672,1205,431,87
2021,"Ealing 023","E02000260",2754,1045,1000,494,215
2021,"Ealing 024","E02000261",4975,2645,1799,435,96
2021,"Ealing 025","E02000262",3946,2051,1505,332,58
2021,"Ealing 026","E02000263",3646,1433,1390,598,225
2021,"Ealing 027","E02000264",3543,1392,1555,494,102
2021,"Ealing 028","E02000265",4733,2234,2001,440,58
2021,"Ealing 029","E02000266",4296,1545,1855,650,246
2021,"Ealing 030","E02000267",3219,1149,1605,405,60
2021,"Ealing 031","E02000268",3863,1410,1792,532,129
2021,"Ealing 032","E02000269",3303,1082,1716,427,78
2021,"Ealing 033","E02000270",4116,2249,1563,257,47
2021,"Ealing 034","E02000271",2977,1031,1508,379,59
2021,"Ealing 035","E02000272",2540,630,1390,430,90
2021,"Ealing 038","E02000275",2348,853,839,399,257
2021,"Ealing 039","E02000276",2724,995,1391,284,54
2021,"Enfield 001","E02000277",2627,728,1116,560,223
2021,"Enfield 002","E02000278",3339,1102,1485,565,187
2021,"Enfield 003","E02000279",4415,1396,2084,737,198
2021,"Enfield 004","E02000280",3413,850,1583,734,246
2021,"Enfield 005","E02000281",3550,963,1587,709,291
2021,"Enfield 006","E02000282",3467,1330,1462,498,177
2021,"Enfield 007","E02000283",2800,699,1220,627,254
2021,"Enfield 008","E02000284",3619,1005,1805,650,159
2021,"Enfield 009","E02000285",2458,387,1101,725,245
2021,"Enfield 010","E02000286",4001,974,2017,800,210
2021,"Enfield 011","E02000287",2873,511,1112,833,417
2021,"Enfield 012","E02000288",4053,1429,1714,679,231
2021,"Enfield 013","E02000289",2426,290,1026,806,304
2021,"Enfield 014","E02000290",2519,1039,1104,287,89
2021,"Enfield 015","E02000291",4330,1583,2005,583,159
2021,"Enfield 016","E02000292",3569,914,1698,742,215
2021,"Enfield 017","E02000293",2491,394,1073,729,295
2021,"Enfield 018","E02000294",3086,964,1302,596,224
2021,"Enfield 019","E02000295",3350,754,1622,720,254
2021,"Enfield 020","E02000296",4038,1312,1910,647,169
2021,"Enfield 021","E02000297",3475,627,1555,921,372
2021,"Enfield 022","E02000298",3056,490,1423,786,357
2021,"Enfield 023","E02000299",3314,1404,1339,447,124
2021,"Enfield 024","E02000300",2999,1146,1251,457,145
2021,"Enfield 025","E02000301",3722,1640,1534,435,113
2021,"Enfield 026","E02000302",3114,710,1425,731,248
2021,"Enfield 027","E02000303",2975,1272,1168,400,135
2021,"Enfield 028","E02000304",2910,452,1347,842,269
2021,"Enfield 029","E02000305",3453,991,1732,591,139
2021,"Enfield 030","E02000306",3399,1791,1226,308,74
2021,"Enfield 031","E02000307",3343,971,1441,680,251
2021,"Enfield 032","E02000308",3226,1126,1512,451,137
2021,"Enfield 033","E02000309",3988,1767,1651,467,103
2021,"Enfield 035","E02000311",3637,1121,1632,695,189
2021,"Enfield 036","E02000312",4495,1828,1995,537,135
2021,"Greenwich 001","E02000313",2596,1213,1060,260,63
2021,"Greenwich 002","E02000314",4536,1708,2102,589,137
2021,"Greenwich 003","E02000315",3490,1430,1495,474,91
2021,"Greenwich 005","E02000317",2822,1384,1147,251,40
2021,"Greenwich 006","E02000318",3581,1678,1428,388,87
2021,"Greenwich 007","E02000319",3920,1767,1669,399,85
2021,"Greenwich 008","E02000320",2556,946,1134,359,117
2021,"Greenwich 009","E02000321",2958,1460,1186,268,44
2021,"Greenwich 011","E02000323",4820,2650,1662,398,110
2021,"Greenwich 012","E02000324",2854,1264,1187,308,95
2021,"Greenwich 014","E02000326",3048,1169,1463,315,101
2021,"Greenwich 015","E02000327",2637,1276,1104,210,47
2021,"Greenwich 016","E02000328",2946,1245,1325,309,67
2021,"Greenwich 017","E02000329",2462,870,1073,394,125
2021,"Greenwich 019","E02000331",3189,1217,1457,397,118
2021,"Greenwich 020","E02000332",2999,870,1468,515,146
2021,"Greenwich 021","E02000333",2883,1037,1412,352,82
2021,"Greenwich 022","E02000334",2541,680,1248,487,126
2021,"Greenwich 023","E02000335",2592,593,1308,535,156
2021,"Greenwich 025","E02000337",3084,934,1501,504,145
2021,"Greenwich 027","E02000339",2590,815,1196,427,152
2021,"Greenwich 028","E02000340",3020,1023,1327,491,179
2021,"Greenwich 029","E02000341",2940,969,1364,492,115
2021,"Greenwich 030","E02000342",2342,738,1123,377,104
2021,"Greenwich 031","E02000343",2695,738,1206,569,182
2021,"Greenwich 032","E02000344",2448,443,1186,608,211
2021,"Hackney 001","E02000345",2589,1432,979,151,27
2021,"Hackney 002","E02000346",3971,2775,1040,131,25
2021,"Hackney 003","E02000347",2580,1486,971,103,20
2021,"Hackney 004","E02000348",2722,1676,909,124,13
2021,"Hackney 006","E02000350",3693,2260,1187,187,59
2021,"Hackney 007","E02000351",4231,2796,1269,144,22
2021,"Hackney 008","E02000352",2685,1523,1001,134,27
2021,"Hackney 009","E02000353",3156,1807,1170,151,28
2021,"Hackney 010","E02000354",3989,2490,1264,198,37
2021,"Hackney 011","E02000355",3114,1723,1155,195,41
2021,"Hackney 012","E02000356",3061,1791,1130,117,23
2021,"Hackney 013","E02000357",2721,1700,863,133,25
2021,"Hackney 014","E02000358",4816,3248,1369,154,45
2021,"Hackney 015","E02000359",2437,1270,1006,141,20
2021,"Hackney 016","E02000360",4852,3264,1409,155,24
2021,"Hackney 017","E02000361",3678,2596,981,93,8
2021,"Hackney 018","E02000362",2805,1680,974,131,20
2021,"Hackney 019","E02000363",4441,3011,1260,152,18
2021,"Hackney 020","E02000364",4098,2638,1283,145,32
2021,"Hackney 022","E02000366",3537,2079,1254,171,33
2021,"Hackney 023","E02000367",4594,3108,1301,156,29
2021,"Hackney 024","E02000368",4148,2730,1205,176,37
2021,"Hackney 025","E02000369",5929,4166,1564,172,27
2021,"Hackney 026","E02000370",3991,2848,1000,125,18
2021,"Hammersmith and Fulham 001","E02000372",3876,2418,1225,198,35
2021,"Hammersmith and Fulham 002","E02000373",2537,1545,871,104,17
2021,"Hammersmith and Fulham 003","E02000374",2616,1328,1059,190,39
2021,"Hammersmith and Fulham 004","E02000375",3497,2315,1030,132,20
2021,"Hammersmith and Fulham 005","E02000376",3185,2128,892,139,26
2021,"Hammersmith and Fulham 006","E02000377",3447,2019,1203,192,33
2021,"Hammersmith and Fulham 007","E02000378",3251,2176,946,112,17
2021,"Hammersmith and Fulham 008","E02000379",3104,1418,1370,272,44
2021,"Hammersmith and Fulham 009","E02000380",2498,1255,1041,180,22
2021,"Hammersmith and Fulham 010","E02000381",3547,2038,1261,204,44
2021,"Hammersmith and Fulham 011","E02000382",2773,1506,1057,183,27
2021,"Hammersmith and Fulham 012","E02000383",4111,2769,1177,138,27
2021,"Hammersmith and Fulham 013","E02000384",3807,2581,1070,140,16
2021,"Hammersmith and Fulham 014","E02000385",2850,1886,836,114,14
2021,"Hammersmith and Fulham 015","E02000386",3366,2221,970,149,26
2021,"Hammersmith and Fulham 016","E02000387",2587,1613,807,141,26
2021,"Hammersmith and Fulham 017","E02000388",4134,2534,1387,182,31
2021,"Hammersmith and Fulham 018","E02000389",3678,1738,1581,300,59
2021,"Hammersmith and Fulham 019","E02000390",2719,1417,1061,211,30
2021,"Hammersmith and Fulham 020","E02000391",3281,1608,1286,327,60
2021,"Hammersmith and Fulham 021","E02000392",4041,2163,1527,305,46
2021,"Hammersmith and Fulham 022","E02000393",2588,1185,1156,201,46
2021,"Hammersmith and Fulham 023","E02000394",4346,2363,1667,271,45
2021,"Hammersmith and Fulham 024","E02000395",2640,1210,1073,285,72
2021,"Hammersmith and Fulham 025","E02000396",2769,1248,1199,276,46
2021,"Haringey 001","E02000397",3472,1884,1312,227,49
2021,"Haringey 002","E02000398",2881,1653,992,192,44
2021,"Haringey 004","E02000400",3120,1257,1461,330,72
2021,"Haringey 005","E02000401",2477,1099,1016,303,59
2021,"Haringey 006","E02000402",2426,1164,972,237,53
2021,"Haringey 007","E02000403",2990,1743,1066,146,35
2021,"Haringey 008","E02000404",2666,1414,1018,198,36
2021,"Haringey 009","E02000405",2462,666,1367,364,65
2021,"Haringey 010","E02000406",2596,1460,914,188,34
2021,"Haringey 011","E02000407",3005,1854,965,156,30
2021,"Haringey 012","E02000408",3000,1773,967,217,43
2021,"Haringey 013","E02000409",2371,1293,877,167,34
2021,"Haringey 014","E02000410",2614,963,1219,372,60
2021,"Haringey 015","E02000411",3952,2299,1378,234,41
2021,"Haringey 016","E02000412",2870,1873,804,173,20
2021,"Haringey 017","E02000413",2962,1016,1434,423,89
2021,"Haringey 018","E02000414",2718,1560,930,199,29
2021,"Haringey 019","E02000415",2835,1661,947,190,37
2021,"Haringey 020","E02000416",3919,2114,1564,210,31
2021,"Haringey 021","E02000417",2868,1100,1322,365,81
2021,"Haringey 022","E02000418",2208,693,1174,308,33
2021,"Haringey 023","E02000419",3645,2280,1158,171,36
2021,"Haringey 024","E02000420",3436,2149,1057,183,47
2021,"Haringey 025","E02000421",3141,2067,906,137,31
2021,"Haringey 026","E02000422",2887,1706,982,169,30
2021,"Haringey 027","E02000423",2672,1684,829,135,24
2021,"Haringey 028","E02000424",2982,1448,1291,209,34
2021,"Haringey 029","E02000425",2163,1091,853,180,39
2021,"Haringey 030","E02000426",2746,1039,1131,426,150
2021,"Haringey 031","E02000427",2869,1703,1003,129,34
2021,"Haringey 032","E02000428",2922,1770,938,169,45
2021,"Haringey 033","E02000429",3203,1392,1458,293,60
2021,"Haringey 034","E02000430",3249,1657,1344,217,31
2021,"Haringey 035","E02000431",2845,1373,1221,218,33
2021,"Haringey 036","E02000432",2799,1640,988,152,19
2021,"Harrow 001","E02000433",3547,851,1538,872,286
2021,"Harrow 002","E02000434",3638,807,1680,883,268
2021,"Harrow 003","E02000435",2812,528,1184,811,289
2021,"Harrow 004","E02000436",2044,177,754,820,293
2021,"Harrow 005","E02000437",3091,658,1341,805,287
2021,"Harrow 006","E02000438",3044,662,1346,794,242
2021,"Harrow 007","E02000439",2948,805,1308,632,203
2021,"Harrow 008","E02000440",3055,373,1270,1079,333
2021,"Harrow 009","E02000441",2794,577,1254,729,234
2021,"Harrow 010","E02000442",2667,531,1167,730,239
2021,"Harrow 011","E02000443",3548,1204,1580,595,169
2021,"Harrow 012","E02000444",2670,488,1138,783,261
2021,"Harrow 013","E02000445",3818,1264,1654,677,223
2021,"Harrow 015","E02000447",2745,461,1249,776,259
2021,"Harrow 016","E02000448",2759,555,1257,712,235
2021,"Harrow 017","E02000449",2527,644,1055,617,211
2021,"Harrow 019","E02000451",2329,370,1090,650,219
2021,"Harrow 020","E02000452",3452,1439,1475,426,112
2021,"Harrow 021","E02000453",3047,900,1479,521,147
2021,"Harrow 022","E02000454",2525,283,1132,873,237
2021,"Harrow 023","E02000455",4758,2290,1920,453,95
2021,"Harrow 024","E02000456",2718,800,1239,481,198
2021,"Harrow 025","E02000457",2563,608,1179,607,169
2021,"Harrow 027","E02000459",3418,1157,1581,532,148
2021,"Harrow 028","E02000460",2413,633,1156,484,140
2021,"Harrow 029","E02000461",2559,667,1284,482,126
2021,"Harrow 030","E02000462",2286,641,1034,453,158
2021,"Harrow 031","E02000463",2834,649,1174,762,249
2021,"Havering 001","E02000464",2873,649,1211,746,267
2021,"Havering 002","E02000465",3491,910,1519,800,262
2021,"Havering 003","E02000466",3293,667,1354,888,384
2021,"Havering 004","E02000467",4290,1452,1868,738,232
2021,"Havering 005","E02000468",3165,538,1353,921,353
2021,"Havering 006","E02000469",2699,726,1168,599,206
2021,"Havering 007","E02000470",4129,762,2065,1003,299
2021,"Havering 008","E02000471",2941,339,1158,990,454
2021,"Havering 009","E02000472",3527,576,1575,1001,375
2021,"Havering 010","E02000473",4022,610,1812,1131,469
2021,"Havering 011","E02000474",3530,860,1592,834,244
2021,"Havering 012","E02000475",3958,793,1775,976,414
2021,"Havering 013","E02000476",4198,1874,1673,492,159
2021,"Havering 014","E02000477",3716,510,1728,1083,395
2021,"Havering 015","E02000478",2151,222,674,745,510
2021,"Havering 016","E02000479",3789,1104,1824,655,206
2021,"Havering 017","E02000480",5012,1526,2276,898,312
2021,"Havering 018","E02000481",3244,556,1414,913,361
2021,"Havering 019","E02000482",2578,354,1095,819,310
2021,"Havering 020","E02000483",3473,934,1530,740,269
2021,"Havering 021","E02000484",3253,506,1403,963,381
2021,"Havering 022","E02000485",3455,648,1682,865,260
2021,"Havering 023","E02000486",2990,613,1405,737,235
2021,"Havering 024","E02000487",2944,248,1230,1042,424
2021,"Havering 025","E02000488",3012,442,1420,834,316
2021,"Havering 026","E02000489",3261,690,1531,777,263
2021,"Havering 027","E02000490",3225,693,1436,800,296
2021,"Havering 028","E02000491",3934,942,1755,934,303
2021,"Havering 029","E02000492",2621,386,1098,768,369
2021,"Havering 030","E02000493",2497,675,1083,540,199
2021,"Hillingdon 001","E02000494",3217,507,1398,964,348
2021,"Hillingdon 002","E02000495",4303,992,2126,942,243
2021,"Hillingdon 003","E02000496",3176,504,1280,995,397
2021,"Hillingdon 004","E02000497",3691,637,1735,976,343
2021,"Hillingdon 005","E02000498",2640,424,1180,777,259
2021,"Hillingdon 006","E02000499",3014,481,1373,869,291
2021,"Hillingdon 007","E02000500",3306,610,1415,921,360
2021,"Hillingdon 008","E02000501",3273,460,1603,932,278
2021,"Hillingdon 009","E02000502",3530,681,1743,887,219
2021,"Hillingdon 010","E02000503",3253,409,1619,902,323
